,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,county,township,range,section,data_source,geometry
0,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,40.0,40.62,subsurface,Apache,10N,28E,24,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-109.32232532845316 34.25271230492569, -109.322347916591 34.256364796650914, -109.32674531902707 34.25635063454736, -109.32673217397954 34.25269431083292, -109.32232532845316 34.25271230492569))"
1,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,80.0,81.68,subsurface,Apache,10N,28E,24,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-109.33554280357377 34.24166070001755, -109.33554213253225 34.24532726583802, -109.33554143274465 34.248993802623154, -109.3399475542289 34.248971504673776, -109.33995261533722 34.24530318843894, -109.33995764859776 34.24163487346097, -109.33554280357377 34.24166070001755))"
2,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,660.36,661.53,subsurface,Cochise,13S,22E,3,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.08084939461878 32.32500697621056, -110.08084744707125 32.32863016913708, -110.08084549952372 32.332253390127754, -110.08084271654296 32.33587774958611, -110.08083969910193 32.33996952201724, -110.08511997559802 32.33996856267083, -110.08940025029749 32.339967601806485, -110.0936805276919 32.339966669783216, -110.0979607745436 32.33996570967779, -110.09796956455864 32.33588138145319, -110.09797742481737 32.33225254835096, -110.09798458978008 32.32862313330151, -110.0979917547428 32.32499374506092, -110.09370617908483 32.32499703880511, -110.08942057468079 32.325000359876874, -110.08513497117507 32.32500365437993, -110.08084939461878 32.32500697621056))"
3,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,320.0,318.75,subsurface,Cochise,15S,22E,8,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.12264725200066 32.144867533690544, -110.12263904858548 32.144867558029965, -110.12261685031649 32.14124259234635, -110.12259813391756 32.13761761795942, -110.11835510426808 32.13762880207489, -110.11411204677083 32.13764001357315, -110.11412741155544 32.14126638740546, -110.11414277723838 32.14489273340786, -110.11415811507354 32.14851910707989, -110.11417348075649 32.152145481012425, -110.11843492586928 32.152131157614576, -110.12269637188038 32.15211686387585, -110.12267181194053 32.148492184133836, -110.12264725200066 32.144867533690544))"
4,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,320.0,319.47,subsurface,Cochise,15S,22E,20,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.12679778212531 32.11586682941453, -110.1225532217466 32.11587215688848, -110.12255639100293 32.11951594308992, -110.12255958990366 32.12316026092563, -110.1268018703582 32.12314296665604, -110.13104417866049 32.12312567238318, -110.13104223111294 32.119493771272914, -110.13104025481931 32.11586187019186, -110.13103830906842 32.11222996916597, -110.13103635972425 32.108598068221454, -110.12679160620775 32.108590279536834, -110.12254685179292 32.10858246269797, -110.11830207042864 32.108574674012026, -110.1183058810821 32.112225519535805, -110.12255002284587 32.112227058036524, -110.12679416550799 32.11222994557869, -110.12679778212531 32.11586682941453))"
5,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,615.64,615.31,subsurface,Cochise,12S,22E,30,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.14872408346399 32.36172238278725, -110.14872359208553 32.36114705342032, -110.14872095642849 32.35809824285484, -110.14872046505002 32.35753388662365, -110.14871780244351 32.35447407605396, -110.14506986804223 32.354478787783925, -110.14079289285479 32.35448438661495, -110.13651355689478 32.35449029050521, -110.13223422093479 32.35449622171387, -110.13224856523325 32.35811866661379, -110.13226288348058 32.3617411394162, -110.13227719903293 32.36536361125861, -110.13229151728025 32.36898608363259, -110.13657085773183 32.368981789961786, -110.1408501981834 32.36897747125257, -110.14512740064458 32.36897376180594, -110.14873069865773 32.368970717009496, -110.14873007163366 32.36850958052843, -110.14872987220767 32.36837335979881, -110.14872723924557 32.36534654970046, -110.1487267182227 32.364760192690284, -110.14872408346399 32.36172238278725))"
6,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,380.0,379.89,subsurface,Cochise,12S,22E,34,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.0894593306971 32.354464180585445, -110.09374044532136 32.3544625543592, -110.09802158779338 32.35446090005527, -110.09800639009539 32.35083709594797, -110.09799119419405 32.34721331817341, -110.09797597134323 32.34358951439363, -110.0979607745436 32.33996570967779, -110.0936805276919 32.339966669783216, -110.08940025029749 32.339967601806485, -110.08511997559802 32.33996856267083, -110.08513452830562 32.34359303286818, -110.08730751704529 32.34359247959643, -110.08731530633712 32.34721681222177, -110.08942977792088 32.34721618232169, -110.08944455430897 32.35084018157602, -110.0894593306971 32.354464180585445))"
7,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,320.0,317.25,subsurface,Cochise,15S,22E,17,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.13108419231818 32.137595195716784, -110.1310741895775 32.13397782179696, -110.13106418593848 32.130360447435265, -110.12682151651344 32.13037490966284, -110.12257883181704 32.130383205416514, -110.11833617856166 32.13040338756321, -110.11409350913662 32.13041743062233, -110.11410279142845 32.13402872245817, -110.11411204677083 32.13764001357315, -110.11835510426808 32.13762880207489, -110.12259813391756 32.13761761795942, -110.12684116356704 32.13760640797978, -110.13108419231818 32.137595195716784))"
8,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,640.0,638.37,subsurface,Cochise,12S,22E,29,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.1236903819968 32.35448280971462, -110.11941846252778 32.35447613027417, -110.11514654305876 32.35446942199669, -110.11516024416348 32.358089033001455, -110.11517397221765 32.36170864330178, -110.11518767242404 32.365328254389105, -110.11520137352876 32.36894786547865, -110.11947390924206 32.36895740655114, -110.12374644495534 32.36896697341958, -110.12801898066864 32.36897651448998, -110.13229151728025 32.36898608363259, -110.13227719903293 32.36536361125861, -110.13226288348058 32.3617411394162, -110.13224856523325 32.35811866661379, -110.13223422093479 32.35449622171387, -110.12796230146579 32.3544895157145, -110.1236903819968 32.35448280971462))"
9,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,640.0,640.65,subsurface,Cochise,12S,22E,33,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.11512047394922 32.34721786787363, -110.11510744029277 32.343592091015964, -110.11509440483967 32.33996628498207, -110.11081101747776 32.339966162786794, -110.10652760406468 32.33996601175051, -110.10224418975329 32.33996586147313, -110.0979607745436 32.33996570967779, -110.09797597134323 32.34358951439363, -110.09799119419405 32.34721331817341, -110.09800639009539 32.35083709594797, -110.09802158779338 32.35446090005527, -110.1023028120121 32.354463023331604, -110.10658406407859 32.354465174685494, -110.11086531704339 32.35446729872056, -110.11514654305876 32.35446942199669, -110.11513350850399 32.35084364588778, -110.11512047394922 32.34721786787363))"
