,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,activity,county,meridian,township,range,section,geometry
0,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,313.8,subsurface+surface,Oil & Gas,Otero,6th Meridian,21S,54W,2.0,"POLYGON ((637242.2429 4234124.175100001, 636842.1787999999 4234115.2872, 636833.9950000001 4234510.6273, 636825.6368000004 4234906.3883, 637225.9741000002 4234916.5518, 637626.1442 4234926.7325, 638024.9719000002 4234937.3334, 638423.9737 4234947.533500001, 638433.2810000004 4234549.6699, 638442.4209000003 4234151.8037, 638042.3568000002 4234142.8564, 637642.2998000002 4234133.505999999, 637242.2429 4234124.175100001))"
1,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,313.8,subsurface+surface,Other Minerals,Otero,6th Meridian,21S,54W,2.0,"POLYGON ((637242.2429 4234124.175100001, 636842.1787999999 4234115.2872, 636833.9950000001 4234510.6273, 636825.6368000004 4234906.3883, 637225.9741000002 4234916.5518, 637626.1442 4234926.7325, 638024.9719000002 4234937.3334, 638423.9737 4234947.533500001, 638433.2810000004 4234549.6699, 638442.4209000003 4234151.8037, 638042.3568000002 4234142.8564, 637642.2998000002 4234133.505999999, 637242.2429 4234124.175100001))"
2,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,320.0,313.8,subsurface+surface,Coal,Otero,6th Meridian,21S,54W,2.0,"POLYGON ((637242.2429 4234124.175100001, 636842.1787999999 4234115.2872, 636833.9950000001 4234510.6273, 636825.6368000004 4234906.3883, 637225.9741000002 4234916.5518, 637626.1442 4234926.7325, 638024.9719000002 4234937.3334, 638423.9737 4234947.533500001, 638433.2810000004 4234549.6699, 638442.4209000003 4234151.8037, 638042.3568000002 4234142.8564, 637642.2998000002 4234133.505999999, 637242.2429 4234124.175100001))"
3,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,108.48,108.46,subsurface,Oil & Gas,Moffat,6th Meridian,5N,94W,32.0,"POLYGON ((248117.80709999986 4470575.6315, 248113.0058000004 4470432.484300001, 248045.76740000024 4470434.739800001, 247710.8853000002 4470446.4067, 247702.17810000014 4470187.2171, 247697.53139999975 4470044.0645, 247630.28949999996 4470046.3236, 247227.9707000004 4470059.852600001, 246893.21800000034 4470071.1262, 246897.8942999998 4470214.702400001, 246906.45299999975 4470473.474400001, 247241.02579999994 4470462.2061, 247308.58839999977 4470459.932399999, 247313.40500000026 4470603.0798, 247647.9709999999 4470591.829299999, 248050.4079 4470577.8924, 248117.80709999986 4470575.6315))"
4,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,108.48,108.46,subsurface,Other Minerals,Moffat,6th Meridian,5N,94W,32.0,"POLYGON ((248117.80709999986 4470575.6315, 248113.0058000004 4470432.484300001, 248045.76740000024 4470434.739800001, 247710.8853000002 4470446.4067, 247702.17810000014 4470187.2171, 247697.53139999975 4470044.0645, 247630.28949999996 4470046.3236, 247227.9707000004 4470059.852600001, 246893.21800000034 4470071.1262, 246897.8942999998 4470214.702400001, 246906.45299999975 4470473.474400001, 247241.02579999994 4470462.2061, 247308.58839999977 4470459.932399999, 247313.40500000026 4470603.0798, 247647.9709999999 4470591.829299999, 248050.4079 4470577.8924, 248117.80709999986 4470575.6315))"
5,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,108.48,108.46,subsurface,Coal,Moffat,6th Meridian,5N,94W,32.0,"POLYGON ((248117.80709999986 4470575.6315, 248113.0058000004 4470432.484300001, 248045.76740000024 4470434.739800001, 247710.8853000002 4470446.4067, 247702.17810000014 4470187.2171, 247697.53139999975 4470044.0645, 247630.28949999996 4470046.3236, 247227.9707000004 4470059.852600001, 246893.21800000034 4470071.1262, 246897.8942999998 4470214.702400001, 246906.45299999975 4470473.474400001, 247241.02579999994 4470462.2061, 247308.58839999977 4470459.932399999, 247313.40500000026 4470603.0798, 247647.9709999999 4470591.829299999, 248050.4079 4470577.8924, 248117.80709999986 4470575.6315))"
6,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,240.0,244.68,subsurface,Coal,Pueblo,6th Meridian,19S,67W,25.0,"POLYGON ((514870.60809999984 4246588.6426, 514870.87760000024 4246181.711100001, 514871.26960000023 4245774.6194, 514466.1358000003 4245773.063200001, 514465.4386 4246179.161699999, 514464.8521999996 4246585.318600001, 514059.0197999999 4246582.101500001, 514058.1469999999 4246987.176000001, 514057.1074000001 4247392.250499999, 514463.6150000002 4247397.625499999, 514869.95529999956 4247403.021, 514870.20660000015 4246995.828500001, 514870.60809999984 4246588.6426))"
7,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,240.0,244.68,subsurface,Other Minerals,Pueblo,6th Meridian,19S,67W,25.0,"POLYGON ((514870.60809999984 4246588.6426, 514870.87760000024 4246181.711100001, 514871.26960000023 4245774.6194, 514466.1358000003 4245773.063200001, 514465.4386 4246179.161699999, 514464.8521999996 4246585.318600001, 514059.0197999999 4246582.101500001, 514058.1469999999 4246987.176000001, 514057.1074000001 4247392.250499999, 514463.6150000002 4247397.625499999, 514869.95529999956 4247403.021, 514870.20660000015 4246995.828500001, 514870.60809999984 4246588.6426))"
8,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,240.0,244.68,subsurface,Oil & Gas,Pueblo,6th Meridian,19S,67W,25.0,"POLYGON ((514870.60809999984 4246588.6426, 514870.87760000024 4246181.711100001, 514871.26960000023 4245774.6194, 514466.1358000003 4245773.063200001, 514465.4386 4246179.161699999, 514464.8521999996 4246585.318600001, 514059.0197999999 4246582.101500001, 514058.1469999999 4246987.176000001, 514057.1074000001 4247392.250499999, 514463.6150000002 4247397.625499999, 514869.95529999956 4247403.021, 514870.20660000015 4246995.828500001, 514870.60809999984 4246588.6426))"
9,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,145.18,144.79,subsurface,Coal,Moffat,6th Meridian,4N,93W,12.0,"POLYGON ((265232.90079999994 4467549.650800001, 265226.0889999997 4467400.6839000005, 264824.27359999996 4467413.184900001, 264422.4367000004 4467425.703199999, 264020.65330000035 4467438.2393, 263680.76290000044 4467448.709799999, 263693.1666000001 4467851.7147, 263697.716 4467999.363399999, 264040.65639999975 4468006.4958, 264443.7982999999 4468014.899900001, 264517.70639999956 4468016.443, 264515.3596999999 4467825.776000001, 264512.4902999997 4467592.2958, 264830.28270000033 4467573.4626, 265232.90079999994 4467549.650800001))"
