,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,data_source,geometry
0,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,313.0,317.41,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.90688422404892 42.44591275822888, -113.90891717211593 42.44590963202349, -113.91181494302556 42.44376603642762, -113.91181161777843 42.442260648228896, -113.91180356921137 42.438616188379314, -113.9117955491796 42.43497172982862, -113.91178750053945 42.43132727253281, -113.90686528915066 42.431340844304586, -113.90194310487905 42.4313544154843, -113.90194453767596 42.43499612267849, -113.9019459702399 42.438637830252894, -113.90194740321964 42.442279122132156, -113.90194880800284 42.445920411666364, -113.90688422404892 42.44591275822888))"
1,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,320.0,324.22,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.89702764144268 42.4677700293001, -113.89209651958154 42.46776898650304, -113.89210555816993 42.47140783269382, -113.89211457055966 42.47504670445983, -113.89704430840074 42.47505016613057, -113.9019740468951 42.47505360129412, -113.90690375801634 42.47505703424368, -113.91183349649951 42.47506046952796, -113.91182722632325 42.471416232806085, -113.91182098331569 42.46777196856325, -113.90688985873933 42.46777153607819, -113.9019587638351 42.467770880667054, -113.89702764144268 42.4677700293001))"
2,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,8.0,7.95,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.92026515961963 42.41672633598774, -113.92026333212287 42.41911280200281, -113.92172703547827 42.419111490833956, -113.92174683021568 42.41672187414259, -113.92026515961963 42.41672633598774))"
3,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,120.0,121.99,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.76399612278564 42.4673975093927, -113.75906597139029 42.46731132754729, -113.75908903601575 42.470963408956514, -113.75415715964343 42.47087214277809, -113.75417849958549 42.47451936399583, -113.75911210032929 42.47461537995907, -113.76404570059886 42.474711369983126, -113.76402091189887 42.47105445301735, -113.76399612278564 42.4673975093927))"
4,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,80.0,81.3,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.75905424515159 42.452700720769705, -113.75903705729758 42.45635349690099, -113.75901987064007 42.460006134709445, -113.76394657262108 42.460085455087935, -113.7639616743862 42.456426623296, -113.76397677707584 42.45276779096425, -113.75905424515159 42.452700720769705))"
5,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,40.0,39.83,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.7099848244106 42.444928549610616, -113.70511924239803 42.44490426340513, -113.70511231744712 42.44853009214725, -113.70998314917946 42.448549293787856, -113.7099848244106 42.444928549610616))"
6,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,4.81,4.79,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.54146517572659 43.404738610093524, -116.54113711715168 43.406801954859205, -116.54151256199394 43.406821477140355, -116.5418429328442 43.404738936617385, -116.54230185367312 43.40110809803757, -116.5419243691135 43.401107576927025, -116.54146517572659 43.404738610093524))"
7,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,6.1,6.14,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.54112014942358 43.40917501686828, -116.54169441658759 43.41199981117425, -116.54246272419222 43.41563143374286, -116.54284353698652 43.41563190759125, -116.54207520390891 43.41200028010996, -116.54149428517607 43.40914580742906, -116.54142927212607 43.408369029897884, -116.54105244765036 43.408368599392674, -116.54112014942358 43.40917501686828))"
8,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,640.0,638.07,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-115.79709148047634 43.13052398583873, -115.79707942301177 43.13411257413233, -115.79706736670859 43.13770113425848, -115.79705530833763 43.14128972389719, -115.80203363153132 43.1413412346772, -115.80701198396306 43.141392774873744, -115.8119903061162 43.14144428599425, -115.81696865625173 43.141495825645556, -115.8169794624091 43.137910931288886, -115.81699029741657 43.134326065062595, -115.81700110423844 43.13074116934299, -115.81701193790633 43.12715627567241, -115.81203483719909 43.127101070315305, -115.80705770888456 43.12704586476642, -115.80208060992564 43.12699063111243, -115.79710351004333 43.12693542656311, -115.79709148047634 43.13052398583873))"
9,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,640.0,642.76,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-115.86192020404971 43.127717649874555, -115.85693879640122 43.127651833113475, -115.85693091007424 43.131257396612504, -115.85692305142278 43.13486292970772, -115.8569151644868 43.138468492737694, -115.85690730408105 43.14207402808376, -115.86189612910877 43.14214440048917, -115.86688495236943 43.142214773046916, -115.87187380461445 43.14228514615295, -115.87686262799357 43.14235551804991, -115.87686309711987 43.13874540060576, -115.876863566616 43.13513525319953, -115.87686403458544 43.13152513439191, -115.87686447680146 43.12791501576592, -115.8718830702623 43.12784922727078, -115.86690163780094 43.127783438174326, -115.86192020404971 43.127717649874555))"
