,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,data_source,geometry
0,MN,University of Minnesota,37.57,38.65,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,5,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461918.6476999996 5083870.9451, 462331.40809999965 5083853.4266, 462339.5552000003 5083471.614700001, 461927.4408 5083494.1121, 461918.6476999996 5083870.9451))"
1,MN,University of Minnesota,37.17,38.14,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,5,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461505.8897000002 5083888.4915, 461918.6476999996 5083870.9451, 461927.4408 5083494.1121, 461515.31819999963 5083516.609999999, 461505.8897000002 5083888.4915))"
2,MN,University of Minnesota,40.0,40.89,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,23,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((467714.57320000045 5077860.4967, 468125.58139999956 5077851.992900001, 468131.3331000004 5077449.748299999, 467720.4501 5077457.863399999, 467714.57320000045 5077860.4967))"
3,MN,University of Minnesota,40.0,40.93,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,23,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((467303.5647 5077869.000700001, 467714.57320000045 5077860.4967, 467720.4501 5077457.863399999, 467309.5669999998 5077465.9782, 467303.5647 5077869.000700001))"
4,MN,University of Minnesota,40.0,40.91,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,23,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((467309.5669999998 5077465.9782, 467720.4501 5077457.863399999, 467726.32749999966 5077055.2162, 467315.5694000004 5077062.9563, 467309.5669999998 5077465.9782))"
5,MN,University of Minnesota,40.0,40.88,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,23,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((467720.4501 5077457.863399999, 468131.3331000004 5077449.748299999, 468137.0861999998 5077047.503699999, 467726.32749999966 5077055.2162, 467720.4501 5077457.863399999))"
6,MN,University of Minnesota,40.0,41.42,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,24,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((468542.96470000036 5077844.614700001, 468960.3479000004 5077837.236, 468961.22389999963 5077434.5888, 468546.27859999985 5077442.168500001, 468542.96470000036 5077844.614700001))"
7,MN,University of Minnesota,40.0,41.4,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,24,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((468125.58139999956 5077851.992900001, 468542.96470000036 5077844.614700001, 468546.27859999985 5077442.168500001, 468131.3331000004 5077449.748299999, 468125.58139999956 5077851.992900001))"
8,MN,University of Minnesota,40.0,41.16,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,24,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((468131.3331000004 5077449.748299999, 468546.27859999985 5077442.168500001, 468549.5926000001 5077039.708799999, 468137.0861999998 5077047.503699999, 468131.3331000004 5077449.748299999))"
9,MN,University of Minnesota,40.0,41.18,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,24,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((468546.27859999985 5077442.168500001, 468961.22389999963 5077434.5888, 468962.0996000003 5077031.9418, 468549.5926000001 5077039.708799999, 468546.27859999985 5077442.168500001))"
