,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,county,township,range,section,aliquot,data_source,geometry
0,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,40.0,40.0,subsurface,Blue Earth,107.0,29.0,24.0,NWNW,,"POLYGON ((398379.7452999996 4879894.399900001, 398782.49430000037 4879885.6197999995, 398775.4363000002 4879483.258300001, 398373.99909999967 4879492.389, 398379.7452999996 4879894.399900001))"
1,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,40.0,39.87,subsurface,Blue Earth,107.0,29.0,24.0,SWNW,,"POLYGON ((398373.99909999967 4879492.389, 398775.4363000002 4879483.258300001, 398768.37820000015 4879080.885, 398368.2533 4879090.3780000005, 398373.99909999967 4879492.389))"
2,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,40.0,40.17,subsurface,Blue Earth,108.0,29.0,12.0,NWNW,,"POLYGON ((398582.60280000046 4892787.7476, 398984.10309999995 4892777.9684999995, 398977.79480000027 4892374.1698, 398575.8565999996 4892382.986500001, 398582.60280000046 4892787.7476))"
3,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,40.0,40.2,subsurface,Dodge,106.0,18.0,30.0,NWNE,,"POLYGON ((497141.2374999998 4867956.599400001, 497545.16669999994 4867954.3533, 497545.1468000002 4867552.429400001, 497140.9424999999 4867553.983899999, 497141.2374999998 4867956.599400001))"
4,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,40.0,40.12,subsurface,Dodge,106.0,18.0,32.0,NWSW,,"POLYGON ((497951.12770000007 4865538.589, 498352.38599999994 4865539.4684, 498353.1414999999 4865135.3862, 497951.6330000004 4865134.331499999, 497951.12770000007 4865538.589))"
5,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,40.0,40.15,subsurface,Dodge,106.0,18.0,32.0,SWSW,,"POLYGON ((497951.6330000004 4865134.331499999, 498353.1414999999 4865135.3862, 498353.89690000005 4864731.291999999, 497952.1386000002 4864730.0744, 497951.6330000004 4865134.331499999))"
6,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,40.0,40.35,subsurface,Sibley,112.0,31.0,20.0,SESE,,"POLYGON ((374495.5126 4927343.9965, 374898.8881999999 4927336.1971, 374891.8959999997 4926931.9407, 374488.3948999997 4926939.4026, 374495.5126 4927343.9965))"
7,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,35.46,34.73,subsurface,Stearns,124.0,31.0,2.0,NENW,,"POLYGON ((379721.3881000001 5049171.3465, 379744.64219999965 5049171.059900001, 380120.1330000004 5049166.456900001, 380116.14279999956 5048811.0594, 379718.7207000004 5048821.069399999, 379721.3881000001 5049171.3465))"
8,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,40.0,39.74,subsurface,Stearns,126.0,31.0,6.0,SESE,,"POLYGON ((373902.4007000001 5067411.5352, 374302.3200000003 5067411.1472, 374296.3383999998 5067009.3484000005, 373896.85080000013 5067008.924900001, 373902.4007000001 5067411.5352))"
9,MN,11 Stat. 166-167 (1857); 11 Stat. 285 (1858),Agricultural College,Department of Natural Resources,University of Minnesota,40.0,39.69,subsurface,Stearns,123.0,34.0,23.0,SESW,,"POLYGON ((349694.6409999998 5034215.079299999, 350094.6442 5034208.0008000005, 350083.6492999997 5033806.596100001, 349684.1459999997 5033813.3621, 349694.6409999998 5034215.079299999))"
