,state,university,rights_type,activity,acres,gis_acres,trust_name,managing_agency,township,range,section,aliquot,data_source,geometry
0,MT,Montana State University,subsurface,,80.0,79.59,State Normal School,Department of Natural Resources,10S,8W,28,,,"POLYGON ((356169.5613999963 80937.21890000626, 356160.66640000045 80713.00759999827, 356159.09700000286 80673.71400000528, 356153.5569999963 80535.19160000235, 356137.55039999634 80133.16369999573, 355737.5156000033 80149.59860000387, 355737.7199999988 80152.45100000128, 355743.83839999884 80306.89680000022, 355745.76299999654 80355.47910000384, 355747.5505999997 80399.24949999899, 355753.6806000024 80551.75290000439, 355769.8470999971 80953.89420000091, 355772.7529999986 80953.76040000468, 355900.54619999975 80948.44170000404, 356169.5613999963 80937.21890000626))"
1,MT,Montana State University,subsurface,,120.0,121.79,State Normal School,Department of Natural Resources,23N,1E,26,,,"POLYGON ((445615.65779999644 387166.9481999986, 445604.748999998 386760.5850000046, 445200.49920000136 386774.2694000043, 445211.7748000026 387178.05000000447, 444808.5136000216 387193.1503000036, 444819.3950000033 387598.49820000306, 445222.6028999984 387585.95259999856, 445625.83830002695 387573.33410000056, 445615.65779999644 387166.9481999986))"
2,MT,Montana State University,subsurface,,600.0,603.57,State Normal School,Department of Natural Resources,33N,17E,25,,,"POLYGON ((604065.1149000004 482873.3504999988, 604065.3652999997 482650.6055999994, 604068.4126000032 482650.6471000053, 604469.6469999999 482652.73330000043, 604470.4575000107 482250.3286000006, 604471.2681000009 481847.9248000048, 604472.0786000043 481445.5188000053, 604462.2713999972 481445.4611000046, 604067.435800001 481443.27329999954, 603713.733599998 481441.3295999989, 603662.7948000059 481441.0561000034, 603438.459800005 481439.8346999958, 603258.151500009 481438.86410000175, 602853.5078000054 481436.7037000023, 602853.1787000075 481839.2243000008, 602853.0542000011 482041.4184000045, 602853.0267000049 482208.68680000305, 602852.8496000096 482241.74570000544, 602852.5185000002 482644.2679999992, 602852.3751000091 483017.4281000085, 602852.189500004 483046.7884000018, 603256.3517000005 483048.8343999982, 603660.5136000067 483050.9087000005, 604064.6753000095 483053.011300005, 604064.8981999978 483015.76170000806, 604065.133600004 482878.510200005, 604065.1149000004 482873.3504999988))"
3,MT,Montana State University,subsurface,,439.14,439.63,MSU Morrill,Department of Natural Resources,12S,10W,13,,,"POLYGON ((342068.7160000354 64674.93020001426, 342068.424800016 64671.43230000883, 342059.50349999964 64671.79890000075, 341665.2180000022 64689.456200018525, 341262.0099999979 64707.50630000234, 340858.80569999665 64725.58250001818, 340859.065700002 64728.399000018835, 340876.53859999776 65127.732200007886, 340894.27160001546 65529.88420000672, 340912.0041999966 65932.03250001743, 340929.734600015 66334.18000000343, 341332.75930001587 66316.46709999815, 341432.38849999756 66312.08620000258, 341467.2785000056 66310.55490001291, 341490.70880000293 66309.52660000324, 341735.7829000205 66298.77740000561, 341733.6422000006 66247.24540000036, 341727.8541999981 66115.25300001726, 341727.66370001435 66110.90729999542, 341723.0853000134 66006.50000001863, 341718.38820001483 65899.29210000113, 341718.1423999965 65896.47430002317, 341831.5957000032 65891.46810002252, 341842.93520000577 65890.96890000254, 341982.50940000266 65884.8013000004, 341991.8107000366 65884.41380000487, 342121.21389999986 65878.72230001166, 342106.8769999966 65548.01680000871, 342103.6194000244 65476.31450000033, 342096.69290002435 65315.04640001804, 342087.43588760495 65103.321091819555, 342078.1149000004 65126.44960000366, 342047.86170003563 65209.27860000357, 341969.41260002553 65424.0615000166, 341974.994599998 65482.00140001252, 342010.0140465796 65852.89016389847, 342010.08140001446 65853.60350000858, 342000.03339999914 65852.98410001397, 341979.3658000156 65635.0558000058, 341965.1189000383 65482.438800007105, 341959.44409999996 65424.99330000207, 341960.0146000311 65420.6253000088, 342039.0481000021 65204.24260002002, 342068.71670000255 65123.01419999823, 342086.301273793 65077.56297856197, 342086.19160000235 65073.8601000011, 342085.10010001063 65049.791100002825, 342078.897800006 64907.842400018126, 342078.42960002273 64897.27170000598, 342075.14090000093 64821.87360001728, 342074.21079999954 64800.71819999814, 342068.7160000354 64674.93020001426))"
4,MT,Montana State University,subsurface,,165.74,166.09,MSU Morrill,Department of Natural Resources,14N,2E,2,,,"POLYGON ((452274.43470001966 307075.89869999886, 452267.0530000031 306801.9900000021, 452263.25150000304 306673.7158000022, 452159.8210000023 306676.18989999965, 451915.0226000026 306682.0934999995, 451860.61289999634 306683.4255000092, 451735.12690001726 306686.4301000014, 451592.112300016 306689.87850000337, 451457.97190000117 306693.13170000166, 451465.96109999716 306968.23750000075, 451469.31700000167 307095.2949000038, 451481.4171999991 307525.23409999534, 451883.93400000036 307516.6242000051, 452286.4512000233 307508.04140000045, 452283.5877000019 307396.9917000048, 452274.43470001966 307075.89869999886))"
5,MT,Montana State University,subsurface,,160.0,161.34,MSU Morrill,Department of Natural Resources,14N,2E,10,,,"POLYGON ((450628.19129999727 305907.94160000235, 450617.9129000008 305504.59479999915, 450607.6326000169 305101.25160000473, 450357.67329999804 305107.23220000044, 450297.6991999969 305108.67290000245, 450203.8658000007 305110.9510000013, 449800.0991000086 305120.65309999883, 449810.2756000012 305524.24269999936, 449820.45220000297 305927.83580000326, 450224.3224000037 305917.87490000203, 450628.19129999727 305907.94160000235))"
6,MT,Montana State University,subsurface,,40.0,40.21,MSU Morrill,Department of Natural Resources,14N,2E,14,,,"POLYGON ((451766.4298000261 303056.4404000044, 451757.97370000184 302716.7913000025, 451756.10950000584 302653.2105999999, 451510.07090000063 302658.7791000083, 451353.53080002964 302662.375500001, 451363.74890000373 303065.66660000384, 451766.4298000261 303056.4404000044))"
7,MT,Montana State University,subsurface,,320.0,321.33,MSU Morrill,Department of Natural Resources,14N,2E,26,,,"POLYGON ((452903.27910000086 300208.8435000032, 452893.0730000213 299806.1586000025, 452882.86900000274 299403.47679999843, 452480.0248000249 299412.7618000023, 452077.1811000258 299422.077100005, 451674.3381000012 299431.41959999874, 451271.4956000075 299440.78630000725, 451281.55030002445 299843.5424000025, 451291.6073000133 300246.2985999994, 451694.524300009 300236.93640000373, 452097.443400003 300227.5736999996, 452500.3602000028 300218.2073000036, 452903.27910000086 300208.8435000032))"
8,MT,Montana State University,subsurface,,39.72,79.85,MSU Morrill,Department of Natural Resources,24N,3W,15,,,"POLYGON ((415108.9029000029 402120.1225000024, 415509.96150001884 402109.07780000195, 415499.98330000043 401706.6303000003, 415488.6533000022 401304.22750000283, 415087.9909000024 401315.071100004, 415099.31140000373 401717.5861000046, 415108.9029000029 402120.1225000024))"
9,MT,Montana State University,subsurface,,635.84,641.67,MSU 2nd Grant,Department of Natural Resources,1N,5W,4,,,"POLYGON ((388759.9359000027 182939.05000000075, 388740.5452999994 182537.48900000378, 388336.1675000265 182546.73149999976, 387931.7898999974 182556.0009999983, 387531.9676999971 182581.96840000525, 387132.1499999985 182607.9589000009, 387149.4494000003 183010.90740000457, 387166.74809999764 183413.8527000025, 387181.9844999984 183816.8729000017, 387196.3423999995 184196.58999999985, 387601.7442000285 184182.82519999892, 388007.1467999965 184169.08730000257, 388412.54820001125 184155.3735000044, 388817.95270002633 184141.68990000337, 388798.6829000041 183742.05220000446, 388779.325800024 183340.60779999942, 388759.9359000027 182939.05000000075))"
