,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,aliquot,data_source,geometry
0,ND,North Dakota State University,160.0,159.04,North Dakota State University,Commissioner of University and School Lands,HETTINGER,133,92,10,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.22512554312823 46.34898405339677, -102.22500037000401 46.341791450946666, -102.21740485461414 46.34176229158904, -102.21461849226976 46.341751726531335, -102.21454947192997 46.34175146829819, -102.21464963528176 46.34893623068204, -102.22512554312823 46.34898405339677))"
1,ND,North Dakota State University,160.0,160.88,North Dakota State University,Commissioner of University and School Lands,GRANT,133,89,8,NE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-101.88123775219064 46.35640461062716, -101.89168774149375 46.35632010769126, -101.89173760990636 46.34899495917004, -101.88133764189402 46.349129461051874, -101.88123775219064 46.35640461062716))"
2,ND,North Dakota State University,160.0,161.12,North Dakota State University,Commissioner of University and School Lands,LAMOURE,134,65,32,NW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-98.88146212445575 46.377097834905385, -98.8813995896354 46.38430879170457, -98.89182445562889 46.38433999161081, -98.89212696400803 46.37708987552596, -98.88146212445575 46.377097834905385))"
3,ND,North Dakota State University,160.0,160.17,North Dakota State University,Commissioner of University and School Lands,RICHLAND,134,52,22,SW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-97.21858817477795 46.39832253770671, -97.20807836541941 46.3983277309284, -97.20788343842884 46.405566610972514, -97.2183285443579 46.40555789707229, -97.21858475336248 46.3984181176222, -97.21858817477795 46.39832253770671))"
4,ND,North Dakota State University,160.0,160.3,North Dakota State University,Commissioner of University and School Lands,MCINTOSH,132,67,6,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.10736896535593 46.27321876679948, -99.10734737512668 46.28045632376016, -99.11781018533979 46.28042606427237, -99.11783039898815 46.273188482603004, -99.10736896535593 46.27321876679948))"
5,ND,North Dakota State University,160.0,156.44,North Dakota State University,Commissioner of University and School Lands,RANSOM,134,53,28,NE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-97.34337528752663 46.391483412221994, -97.34322001959141 46.39865373922501, -97.35360032173224 46.39871897038906, -97.3536478167556 46.391548783645526, -97.34337528752663 46.391483412221994))"
6,ND,North Dakota State University,160.0,159.96,North Dakota State University,Commissioner of University and School Lands,HETTINGER,133,91,8,NE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.14164817378838 46.355982539518344, -102.14152261538872 46.348755805785316, -102.1310473599408 46.348783652480535, -102.13116677047263 46.3531148469154, -102.13124775972159 46.35605237722905, -102.14164817378838 46.355982539518344))"
7,ND,North Dakota State University,160.0,161.3,North Dakota State University,Commissioner of University and School Lands,PIERCE,157,70,29,SW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.73283692894367 48.38562677376059, -99.72182704695179 48.385682414056966, -99.72177010582882 48.39288715703437, -99.73270257760178 48.39287170706805, -99.73282129837399 48.38646938816882, -99.73283692894367 48.38562677376059))"
8,ND,North Dakota State University,160.0,160.48,North Dakota State University,Commissioner of University and School Lands,MCHENRY,157,75,32,NW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-100.37447573403867 48.38574264189103, -100.37543770894935 48.38574220230236, -100.38140694678069 48.385684527570795, -100.38532392675346 48.38564667081929, -100.38537303856764 48.38059164240261, -100.38539339338405 48.378495365242735, -100.37439936242258 48.37846242309299, -100.37447573403867 48.38574264189103))"
9,ND,North Dakota State University,40.0,40.51,North Dakota State University,Commissioner of University and School Lands,PIERCE,158,72,32,SE4SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.97185631740562 48.461671944936754, -99.97185666721774 48.461713219116874, -99.97731990788903 48.46173862498794, -99.97728665360776 48.45809617411468, -99.97200786873739 48.45805711261175, -99.97182648610391 48.45805577981529, -99.97185631740562 48.461671944936754))"
