,state,trust_name,managing_agency,university,gis_acres,rights_type,county,township,range,section,geometry
0,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,80.11,surface,Cedar,31,01W,02,"POLYGON ((2340179.4125496745 1049402.0654096305, 2338863.252955124 1049358.9145830274, 2338812.6123150885 1050676.6253553778, 2338762.4910309166 1052002.887290597, 2340079.8333657235 1052049.9446049333, 2340129.4405433983 1050722.5878557712, 2340179.4125496745 1049402.0654096305))"
1,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,79.0,surface,Cedar,28,02E,03,"POLYGON ((2399160.1522450596 958676.2566069961, 2397851.738040805 958641.4367993623, 2397808.1292099357 959948.1892617494, 2399117.9249729216 959985.9375408292, 2400433.5258416235 960023.8534704596, 2400474.3590878695 958711.2302856743, 2399160.1522450596 958676.2566069961))"
2,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,501.07,surface,Knox,32,03W,04,"POLYGON ((2265282.704830304 1078738.9211490303, 2263962.9048235714 1078736.3762069494, 2263907.4613722563 1080122.9332891703, 2262591.748955235 1080152.8426741958, 2262539.8028717935 1081482.6603761017, 2262457.2062631696 1082888.338808611, 2262415.1325339973 1084225.4097758979, 2263730.5739542395 1084258.2476323694, 2265046.0137340575 1084291.0897539258, 2266361.4499049634 1084323.940077573, 2267676.8814827055 1084356.7995875329, 2267726.78065449 1082953.570624873, 2266414.690933153 1082936.1080636978, 2266470.1097782105 1081539.1287596077, 2266527.2750106156 1080140.165863961, 2266587.1295417547 1078741.436563611, 2265282.704830304 1078738.9211490303))"
3,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,170.18,surface,Knox,32,03W,05,"POLYGON ((2261288.710395679 1078672.9773920327, 2259949.9652193636 1078612.1648576856, 2259912.973172277 1080004.2238966674, 2259873.259346217 1081395.1772949696, 2261203.8972563595 1081439.783827126, 2262539.8028717935 1081482.6603761017, 2262591.748955235 1080152.8426741958, 2262627.455900073 1078733.8010812104, 2261288.710395679 1078672.9773920327))"
4,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,123.71,surface,Knox,32,03W,08,"POLYGON ((2262661.170395091 1077389.1317049414, 2262694.863236621 1076045.3156732917, 2261361.024545908 1075991.745249495, 2261324.1657006443 1077331.169886291, 2259987.599653542 1077273.3353639692, 2259949.9652193636 1078612.1648576856, 2261288.710395679 1078672.9773920327, 2262627.456228152 1078733.8010812104, 2262661.170395091 1077389.1317049414))"
5,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,80.39,surface,Cedar,32,01E,09,"POLYGON ((2358921.6360289603 1078974.3989932686, 2357588.6864439696 1078960.6703480184, 2357540.2091851532 1080276.1097997427, 2357491.842162326 1081588.560084626, 2358821.7034993023 1081603.8070993572, 2358871.6128416806 1080290.5995982438, 2358921.6360289603 1078974.3989932686))"
6,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,201.13,surface,Knox,32,03W,09,"POLYGON ((2264029.072005287 1076063.723770529, 2262694.863236621 1076045.3156732917, 2262661.170395091 1077389.1317049414, 2263995.9989130944 1077399.6284017116, 2263962.9051516503 1078736.3762069494, 2265282.704830304 1078738.9211490303, 2266587.1295417547 1078741.436563611, 2266619.019237533 1077420.2549981326, 2266650.8892482966 1076099.897249803, 2265347.6561353505 1076081.9163170308, 2264029.072005287 1076063.723770529))"
7,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,158.53,surface,Knox,32,03W,13,"POLYGON ((2279894.300964266 1071209.201643601, 2278578.7876937836 1071158.369402945, 2278547.5000308603 1072473.30524683, 2278516.2874989957 1073785.0928034633, 2279828.675776139 1073834.8354795277, 2281140.097847998 1073884.5417383462, 2281174.429467678 1072573.840465486, 2281208.843108207 1071259.9961546957, 2279894.300964266 1071209.201643601))"
8,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,320.67,surface,Cedar,32,01W,17,"POLYGON ((2324993.3835857213 1070118.628838271, 2323664.437929198 1070080.1518862098, 2323636.2122676075 1071396.3957981765, 2323608.0174458474 1072711.187941581, 2323579.8541200906 1074024.5302849263, 2323551.7213060707 1075336.4257809669, 2324877.7325856537 1075375.0762890875, 2326203.873786226 1075413.7307342142, 2326233.4711640477 1074101.7489522696, 2326263.1013501883 1072788.3199949265, 2326292.7640165836 1071473.4409094453, 2326322.4598194063 1070157.1100554168, 2324993.3835857213 1070118.628838271))"
9,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,160.29,surface,Knox,32,03W,17,"POLYGON ((2262595.5737502277 1072534.4835940301, 2262613.70691365 1072262.486470729, 2262792.1179504693 1072273.299111709, 2262798.5989077687 1072037.95545353, 2262835.0132001936 1070715.6689035296, 2261504.759475589 1070670.191310227, 2260176.7964285165 1070624.792128846, 2260140.445128083 1071944.8014527261, 2260104.093827665 1073264.811104685, 2261431.9938827455 1073312.485543698, 2262762.1849434376 1073360.2423316091, 2262784.724921614 1072541.758840993, 2262595.5737502277 1072534.4835940301))"
