,state,university,rights_type,acres,gis_acres,trust_name,managing_agency,meridian,township,range,section,aliquot,data_source,geometry
0,NM,New Mexico State University,subsurface,40.0,40.99,New Mexico State University,State Land Office,23,12S,09E,09,NESE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399351.1536999997 3683836.371099999, 399353.7293999996 3683425.789999999, 398949.7706000004 3683431.0182000007, 398947.3284999998 3683841.5187999997, 399351.1536999997 3683836.371099999))"
1,NM,New Mexico State University,subsurface,40.0,40.98,New Mexico State University,State Land Office,23,12S,09E,09,NESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398543.50299999956 3683846.6832, 398545.8114 3683436.2433, 398141.8520999998 3683441.4850999992, 398139.6771999998 3683851.8444999997, 398543.50299999956 3683846.6832))"
2,NM,New Mexico State University,subsurface,40.0,40.99,New Mexico State University,State Land Office,23,12S,09E,09,NWSE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398947.3284999998 3683841.5187999997, 398949.7706000004 3683431.0182000007, 398545.8114 3683436.2433, 398543.50299999956 3683846.6832, 398947.3284999998 3683841.5187999997))"
3,NM,New Mexico State University,subsurface,40.0,40.97,New Mexico State University,State Land Office,23,12S,09E,09,NWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398139.6771999998 3683851.8444999997, 398141.8520999998 3683441.4850999992, 397737.8923000004 3683446.7238, 397735.8509999998 3683857.002699999, 398139.6771999998 3683851.8444999997))"
4,NM,New Mexico State University,subsurface,40.0,41.01,New Mexico State University,State Land Office,23,12S,09E,09,SESE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399353.7293999996 3683425.789999999, 399356.30599999987 3683015.2093, 398952.2132000001 3683020.4781, 398949.7706000004 3683431.0182000007, 399353.7293999996 3683425.789999999))"
5,NM,New Mexico State University,subsurface,40.0,40.99,New Mexico State University,State Land Office,23,12S,09E,09,SESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398545.8114 3683436.2433, 398548.1205000002 3683025.7837000005, 398144.0275999997 3683031.1060000006, 398141.8520999998 3683441.4850999992, 398545.8114 3683436.2433))"
6,NM,New Mexico State University,subsurface,40.0,41.0,New Mexico State University,State Land Office,23,12S,09E,09,SWSE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398949.7706000004 3683431.0182000007, 398952.2132000001 3683020.4781, 398548.1205000002 3683025.7837000005, 398545.8114 3683436.2433, 398949.7706000004 3683431.0182000007))"
7,NM,New Mexico State University,subsurface,40.0,40.99,New Mexico State University,State Land Office,23,12S,09E,09,SWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398141.8520999998 3683441.4850999992, 398144.0275999997 3683031.1060000006, 397739.9343999997 3683036.4252000004, 397737.8923000004 3683446.7238, 398141.8520999998 3683441.4850999992))"
8,NM,New Mexico State University,subsurface,40.0,40.95,New Mexico State University,State Land Office,23,12S,09E,10,NESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((400157.6032999996 3683825.1205, 400160.3957000002 3683414.3790000007, 399757.06269999966 3683420.0862000007, 399754.38709999993 3683830.747300001, 400157.6032999996 3683825.1205))"
9,NM,New Mexico State University,subsurface,40.0,40.94,New Mexico State University,State Land Office,23,12S,09E,10,NWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399754.38709999993 3683830.747300001, 399757.06269999966 3683420.0862000007, 399353.7293999996 3683425.789999999, 399351.1536999997 3683836.371099999, 399754.38709999993 3683830.747300001))"
10,NM,New Mexico State University,subsurface,40.0,40.96,New Mexico State University,State Land Office,23,12S,09E,10,SESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((400160.3957000002 3683414.3790000007, 400163.17250000034 3683003.6579, 399759.73929999955 3683009.4253000002, 399757.06269999966 3683420.0862000007, 400160.3957000002 3683414.3790000007))"
11,NM,New Mexico State University,subsurface,40.0,40.95,New Mexico State University,State Land Office,23,12S,09E,10,SWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399757.06269999966 3683420.0862000007, 399759.73929999955 3683009.4253000002, 399356.30599999987 3683015.2093, 399353.7293999996 3683425.789999999, 399757.06269999966 3683420.0862000007))"
12,NM,New Mexico State University,subsurface,40.0,40.94,New Mexico State University,State Land Office,23,12S,09E,15,NENW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((400163.17250000034 3683003.6579, 400155.8755999999 3682593.0604999997, 399752.8953999998 3682598.8826, 399759.73929999955 3683009.4253000002, 400163.17250000034 3683003.6579))"
13,NM,New Mexico State University,subsurface,40.0,40.93,New Mexico State University,State Land Office,23,12S,09E,15,NWNW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399759.73929999955 3683009.4253000002, 399752.8953999998 3682598.8826, 399349.9148000004 3682604.7017, 399356.30599999987 3683015.2093, 399759.73929999955 3683009.4253000002))"
14,NM,New Mexico State University,subsurface,40.0,40.89,New Mexico State University,State Land Office,23,12S,09E,15,SENW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((400155.8755999999 3682593.0604999997, 400148.59559999965 3682182.4630999994, 399746.06819999963 3682188.3202, 399752.8953999998 3682598.8826, 400155.8755999999 3682593.0604999997))"
15,NM,New Mexico State University,subsurface,40.0,40.89,New Mexico State University,State Land Office,23,12S,09E,15,SWNW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399752.8953999998 3682598.8826, 399746.06819999963 3682188.3202, 399343.5236999998 3682194.1743, 399349.9148000004 3682604.7017, 399752.8953999998 3682598.8826))"
16,NM,New Mexico State University,subsurface,40.0,40.86,New Mexico State University,State Land Office,23,12S,09E,21,NENE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399330.7591000004 3681373.1400000006, 399329.68400000036 3680962.578400001, 398927.12179999985 3680968.428099999, 398928.2633999996 3681378.9099000003, 399330.7591000004 3681373.1400000006))"
17,NM,New Mexico State University,subsurface,40.0,40.84,New Mexico State University,State Land Office,23,12S,09E,21,NENW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398525.78440000024 3681384.6962, 398524.55950000044 3680974.294500001, 398121.98029999994 3680980.1578, 398123.3049999997 3681390.4791, 398525.78440000024 3681384.6962))"
18,NM,New Mexico State University,subsurface,40.0,40.87,New Mexico State University,State Land Office,23,12S,09E,21,NESE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399328.6261999998 3680552.0167999994, 399327.5692999996 3680141.475299999, 398924.82380000036 3680147.4656000007, 398925.9809999997 3680557.9667000007, 399328.6261999998 3680552.0167999994))"
19,NM,New Mexico State University,subsurface,40.0,40.86,New Mexico State University,State Land Office,23,12S,09E,21,NESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398523.3186999997 3680563.8933000006, 398522.07799999975 3680153.4526000004, 398119.3487999998 3680159.4560000002, 398120.67260000017 3680569.8167000003, 398523.3186999997 3680563.8933000006))"
20,NM,New Mexico State University,subsurface,40.0,40.85,New Mexico State University,State Land Office,23,12S,09E,21,NWNE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398928.2633999996 3681378.9099000003, 398927.12179999985 3680968.428099999, 398524.55950000044 3680974.294500001, 398525.78440000024 3681384.6962, 398928.2633999996 3681378.9099000003))"
21,NM,New Mexico State University,subsurface,40.0,40.83,New Mexico State University,State Land Office,23,12S,09E,21,NWNW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398123.3049999997 3681390.4791, 398121.98029999994 3680980.1578, 397719.4173999997 3680986.0176999997, 397720.8256999999 3681396.298699999, 398123.3049999997 3681390.4791))"
22,NM,New Mexico State University,subsurface,40.0,40.87,New Mexico State University,State Land Office,23,12S,09E,21,NWSE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398925.9809999997 3680557.9667000007, 398924.82380000036 3680147.4656000007, 398522.07799999975 3680153.4526000004, 398523.3186999997 3680563.8933000006, 398925.9809999997 3680557.9667000007))"
23,NM,New Mexico State University,subsurface,40.0,40.86,New Mexico State University,State Land Office,23,12S,09E,21,NWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398120.67260000017 3680569.8167000003, 398119.3487999998 3680159.4560000002, 397716.60280000046 3680165.4762999993, 397718.00989999995 3680575.7568999995, 398120.67260000017 3680569.8167000003))"
24,NM,New Mexico State University,subsurface,40.0,40.86,New Mexico State University,State Land Office,23,12S,09E,21,SENE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399329.68400000036 3680962.578400001, 399328.6261999998 3680552.0167999994, 398925.9809999997 3680557.9667000007, 398927.12179999985 3680968.428099999, 399329.68400000036 3680962.578400001))"
25,NM,New Mexico State University,subsurface,40.0,40.85,New Mexico State University,State Land Office,23,12S,09E,21,SENW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398524.55950000044 3680974.294500001, 398523.3186999997 3680563.8933000006, 398120.67260000017 3680569.8167000003, 398121.98029999994 3680980.1578, 398524.55950000044 3680974.294500001))"
26,NM,New Mexico State University,subsurface,40.0,40.88,New Mexico State University,State Land Office,23,12S,09E,21,SESE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((399327.5692999996 3680141.475299999, 399326.4961000001 3679730.9144, 398923.6838999996 3679736.9647000004, 398924.82380000036 3680147.4656000007, 399327.5692999996 3680141.475299999))"
27,NM,New Mexico State University,subsurface,40.0,40.87,New Mexico State University,State Land Office,23,12S,09E,21,SESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398522.07799999975 3680153.4526000004, 398520.8547 3679743.0118000004, 398118.0256000003 3679749.0955999997, 398119.3487999998 3680159.4560000002, 398522.07799999975 3680153.4526000004))"
28,NM,New Mexico State University,subsurface,40.0,40.86,New Mexico State University,State Land Office,23,12S,09E,21,SWNE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398927.12179999985 3680968.428099999, 398925.9809999997 3680557.9667000007, 398523.3186999997 3680563.8933000006, 398524.55950000044 3680974.294500001, 398927.12179999985 3680968.428099999))"
29,NM,New Mexico State University,subsurface,40.0,40.84,New Mexico State University,State Land Office,23,12S,09E,21,SWNW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398121.98029999994 3680980.1578, 398120.67260000017 3680569.8167000003, 397718.00989999995 3680575.7568999995, 397719.4173999997 3680986.0176999997, 398121.98029999994 3680980.1578))"
30,NM,New Mexico State University,subsurface,40.0,40.88,New Mexico State University,State Land Office,23,12S,09E,21,SWSE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398924.82380000036 3680147.4656000007, 398923.6838999996 3679736.9647000004, 398520.8547 3679743.0118000004, 398522.07799999975 3680153.4526000004, 398924.82380000036 3680147.4656000007))"
31,NM,New Mexico State University,subsurface,40.0,40.86,New Mexico State University,State Land Office,23,12S,09E,21,SWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((398119.3487999998 3680159.4560000002, 398118.0256000003 3679749.0955999997, 397715.1964999996 3679755.1960000005, 397716.60280000046 3680165.4762999993, 398119.3487999998 3680159.4560000002))"
32,NM,New Mexico State University,subsurface,40.0,40.17,New Mexico State University,State Land Office,23,33S,17W,33,NESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((160142.45880000014 3478678.2163999993, 160134.78830000013 3478272.0263, 159733.26290000044 3478284.2522, 159741.57710000034 3478689.7235000003, 160142.45880000014 3478678.2163999993))"
33,NM,New Mexico State University,subsurface,40.0,39.6,New Mexico State University,State Land Office,23,13N,14W,02,NESE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((201838.4819 3920832.8651, 201825.1344999997 3920430.3904999997, 201427.02759999968 3920443.9773999993, 201439.9288999997 3920846.2880000006, 201838.4819 3920832.8651))"
34,NM,New Mexico State University,subsurface,40.0,39.54,New Mexico State University,State Land Office,23,13N,14W,02,NESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((201041.37530000042 3920859.728599999, 201028.91949999984 3920457.562000001, 200630.92530000024 3920471.1603999995, 200643.0658999998 3920873.1589, 201041.37530000042 3920859.728599999))"
35,NM,New Mexico State University,subsurface,40.0,39.58,New Mexico State University,State Land Office,23,13N,14W,02,NWSE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((201439.9288999997 3920846.2880000006, 201427.02759999968 3920443.9773999993, 201028.91949999984 3920457.562000001, 201041.37530000042 3920859.728599999, 201439.9288999997 3920846.2880000006))"
36,NM,New Mexico State University,subsurface,40.0,39.52,New Mexico State University,State Land Office,23,13N,14W,02,NWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((200643.0658999998 3920873.1589, 200630.92530000024 3920471.1603999995, 200232.9469999997 3920484.7761000004, 200244.7544999998 3920886.5669, 200643.0658999998 3920873.1589))"
37,NM,New Mexico State University,subsurface,40.0,39.63,New Mexico State University,State Land Office,23,13N,14W,02,SENE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((201851.48429999966 3921235.271299999, 201838.4819 3920832.8651, 201439.9288999997 3920846.2880000006, 201452.66789999977 3921248.6042, 201851.48429999966 3921235.271299999))"
38,NM,New Mexico State University,subsurface,40.0,39.59,New Mexico State University,State Land Office,23,13N,14W,02,SENW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((201053.83380000014 3921261.9354, 201041.37530000042 3920859.728599999, 200643.0658999998 3920873.1589, 200655.13069999963 3921275.3001000006, 201053.83380000014 3921261.9354))"
39,NM,New Mexico State University,subsurface,40.0,39.55,New Mexico State University,State Land Office,23,13N,14W,02,SESE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((201825.1344999997 3920430.3904999997, 201811.78899999987 3920027.9361000005, 201414.1275000004 3920041.6668999996, 201427.02759999968 3920443.9773999993, 201825.1344999997 3920430.3904999997))"
40,NM,New Mexico State University,subsurface,40.0,39.51,New Mexico State University,State Land Office,23,13N,14W,02,SESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((201028.91949999984 3920457.562000001, 201016.46559999976 3920055.4154000003, 200618.80310000014 3920069.1816000007, 200630.92530000024 3920471.1603999995, 201028.91949999984 3920457.562000001))"
41,NM,New Mexico State University,subsurface,40.0,39.62,New Mexico State University,State Land Office,23,13N,14W,02,SWNE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((201452.66789999977 3921248.6042, 201439.9288999997 3920846.2880000006, 201041.37530000042 3920859.728599999, 201053.83380000014 3921261.9354, 201452.66789999977 3921248.6042))"
42,NM,New Mexico State University,subsurface,40.0,39.58,New Mexico State University,State Land Office,23,13N,14W,02,SWNW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((200655.13069999963 3921275.3001000006, 200643.0658999998 3920873.1589, 200244.7544999998 3920886.5669, 200256.42569999956 3921288.6425, 200655.13069999963 3921275.3001000006))"
43,NM,New Mexico State University,subsurface,40.0,39.53,New Mexico State University,State Land Office,23,13N,14W,02,SWSE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((201427.02759999968 3920443.9773999993, 201414.1275000004 3920041.6668999996, 201016.46559999976 3920055.4154000003, 201028.91949999984 3920457.562000001, 201427.02759999968 3920443.9773999993))"
44,NM,New Mexico State University,subsurface,40.0,39.49,New Mexico State University,State Land Office,23,13N,14W,02,SWSW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((200630.92530000024 3920471.1603999995, 200618.80310000014 3920069.1816000007, 200221.13999999966 3920082.965399999, 200232.9469999997 3920484.7761000004, 200630.92530000024 3920471.1603999995))"
