,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,county,meridian,township,range,section,aliquot,data_source,geometry
0,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,38.04,surface,CIMARRON,C,5N,3E,5.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-102.76323053774456 36.929726300801605, -102.75876335619543 36.929709006017475, -102.75875629532376 36.933201361866054, -102.7632235760388 36.93320565676311, -102.76323053774456 36.929726300801605))"
1,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,37.9,surface,CIMARRON,C,5N,3E,5.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-102.7632235760388 36.93320565676311, -102.76769075704601 36.93321005163224, -102.76769771944576 36.9297435959646, -102.76323053774456 36.929726300801605, -102.7632235760388 36.93320565676311))"
2,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,39.63,surface,CIMARRON,C,5N,1E,1.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-102.90739102608161 36.933338096323034, -102.91185930810543 36.93334319099712, -102.91189777248084 36.929714444509635, -102.90743229072697 36.92970404933167, -102.90739102608161 36.933338096323034))"
3,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,39.69,surface,CIMARRON,C,5N,1E,1.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-102.90743229072697 36.92970404933167, -102.90296680982082 36.92969375457205, -102.90292264483654 36.9333330006576, -102.90739102608161 36.933338096323034, -102.90743229072697 36.92970404933167))"
4,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,39.92,surface,WOODS,I,24N,16W,15.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.89806811003729 36.56084068149059, -98.9025725687896 36.56087108877479, -98.90259545948005 36.55726042942309, -98.89809120096768 36.55723202194873, -98.89806811003729 36.56084068149059))"
5,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,40.91,surface,WOODS,I,24N,16W,15.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.9025725687896 36.56087108877479, -98.90720213088497 36.56090099600627, -98.90719442045285 36.55728843668665, -98.90259545948005 36.55726042942309, -98.9025725687896 36.56087108877479))"
6,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,43.4,surface,WOODS,I,24N,16W,15.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.89811429210616 36.553622961744914, -98.90261835013912 36.55364956954231, -98.90264184041702 36.54971541434908, -98.8981379824985 36.54970770612737, -98.89811429210616 36.553622961744914))"
7,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.64,surface,WOODS,I,24N,16W,15.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.90719442045285 36.55728843668665, -98.907186710368 36.5536758778785, -98.90261835013912 36.55364956954231, -98.90259545948005 36.55726042942309, -98.90719442045285 36.55728843668665))"
8,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,39.92,surface,WOODS,I,24N,16W,15.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.90259545948005 36.55726042942309, -98.90261835013912 36.55364956954231, -98.89811429210616 36.553622961744914, -98.89809120096768 36.55723202194873, -98.90259545948005 36.55726042942309))"
9,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,44.07,surface,WOODS,I,24N,16W,15.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.90261835013912 36.55364956954231, -98.907186710368 36.5536758778785, -98.90717830001961 36.549723222153595, -98.90264184041702 36.54971541434908, -98.90261835013912 36.55364956954231))"
