,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,meridian,township,range,aliquot,geometry
0,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,17.3,16.85,subsurface,5,109N,56W,SENW,"POLYGON ((-10854154.3791 5508214.306400001, -10854042.7787 5508063.817699999, -10854377.0193 5508063.825300001, -10854373.7255 5508628.0276999995, -10854154.5834 5508628.014200002, -10854154.3791 5508214.306400001))"
1,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,13.35,12.72,subsurface,5,109N,56W,NENW,"POLYGON ((-10854154.724 5508916.723700002, -10854154.5834 5508628.014200002, -10854373.7255 5508628.0276999995, -10854370.586 5509165.054099999, -10854286.4537 5509165.073899999, -10854154.724 5508916.723700002))"
2,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.03,40.13,subsurface,5,11N,67W,NENW,"POLYGON ((-11006614.5279 5522384.180500001, -11007177.1288 5522384.2914, -11007180.7662 5522949.773000002, -11006617.7201 5522948.260399997, -11006614.5279 5522384.180500001))"
3,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.13,40.23,subsurface,5,11N,67W,NWNW,"POLYGON ((-11007177.1288 5522384.2914, -11007739.7266 5522384.3675, -11007743.8155 5522951.289800003, -11007180.7662 5522949.773000002, -11007177.1288 5522384.2914))"
4,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.05,subsurface,5,11N,67W,SWNW,"POLYGON ((-11007173.5007 5521820.237499997, -11007735.6594 5521820.305100001, -11007739.7266 5522384.3675, -11007177.1288 5522384.2914, -11007173.5007 5521820.237499997))"
5,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.05,subsurface,5,11N,67W,NWSE,"POLYGON ((-11003801.1724 5521254.069700003, -11004362.5735 5521254.531099997, -11004363.7309 5521819.194300003, -11003802.0454 5521818.828199998, -11003801.1724 5521254.069700003))"
6,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.05,subsurface,5,11N,67W,NESE,"POLYGON ((-11003239.7713 5521253.574000001, -11003801.1724 5521254.069700003, -11003802.0454 5521818.828199998, -11003240.3566 5521818.427599996, -11003239.7713 5521253.574000001))"
7,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.05,subsurface,5,11N,67W,SENW,"POLYGON ((-11006611.3389 5521820.135200001, -11007173.5007 5521820.237499997, -11007177.1288 5522384.2914, -11006614.5279 5522384.180500001, -11006611.3389 5521820.135200001))"
8,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.03,subsurface,5,11N,67W,SWSE,"POLYGON ((-11003800.2996 5520689.333400004, -11004361.413 5520689.902500004, -11004362.5735 5521254.531099997, -11003801.1724 5521254.069700003, -11003800.2996 5520689.333400004))"
9,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.04,subsurface,5,11N,67W,SESE,"POLYGON ((-11003239.186 5520688.7597, -11003800.2996 5520689.333400004, -11003801.1724 5521254.069700003, -11003239.7713 5521253.574000001, -11003239.186 5520688.7597))"
10,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.01,surface,5,111N,69W,NESE,"POLYGON ((-11039608.628 5532564.486699998, -11039609.0016 5533129.696800001, -11039047.0939 5533130.234200001, -11039046.5781 5532565.097599998, -11039608.628 5532564.486699998))"
11,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.14,surface+subsurface,5,111N,69W,NWSW,"POLYGON ((-11039046.5781 5532565.097599998, -11039047.0939 5533130.234200001, -11038483.1949 5533130.217500001, -11038482.7286 5532565.115500003, -11039046.5781 5532565.097599998))"
12,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.02,surface,5,111N,69W,NWSE,"POLYGON ((-11040170.6778 5532563.845200002, -11040170.9091 5533129.129000001, -11039609.0016 5533129.696800001, -11039608.628 5532564.486699998, -11040170.6778 5532563.845200002))"
13,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.14,surface+subsurface,5,111N,69W,NESW,"POLYGON ((-11037918.8759 5532565.0988000035, -11038482.7286 5532565.115500003, -11038483.1949 5533130.217500001, -11037919.2928 5533130.170299999, -11037918.8759 5532565.0988000035))"
14,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.14,surface+subsurface,5,111N,69W,SWSW,"POLYGON ((-11039046.0623 5531999.995999999, -11039046.5781 5532565.097599998, -11038482.7286 5532565.115500003, -11038482.2624 5532000.027000003, -11039046.0623 5531999.995999999))"
15,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.03,surface,5,111N,69W,SESE,"POLYGON ((-11039608.2575 5531999.294100001, -11039608.628 5532564.486699998, -11039046.5781 5532565.097599998, -11039046.0623 5531999.995999999, -11039608.2575 5531999.294100001))"
16,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.14,surface+subsurface,5,111N,69W,SESW,"POLYGON ((-11038482.2624 5532000.027000003, -11038482.7286 5532565.115500003, -11037918.8759 5532565.0988000035, -11037918.4592 5532000.062299997, -11038482.2624 5532000.027000003))"
17,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.03,surface,5,111N,69W,SWSE,"POLYGON ((-11040170.4495 5531998.592, -11040170.6778 5532563.845200002, -11039608.628 5532564.486699998, -11039608.2575 5531999.294100001, -11040170.4495 5531998.592))"
18,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.02,surface+subsurface,5,111N,69W,NENW,"POLYGON ((-11040731.0019 5529173.184600003, -11040731.1591 5529737.608900003, -11040168.9271 5529739.142099999, -11040168.8132 5529174.358499996, -11040731.0019 5529173.184600003))"
19,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.05,surface+subsurface,5,111N,69W,NENE,"POLYGON ((-11039606.6864 5529175.394000001, -11039606.7478 5529740.402500004, -11039044.5651 5529741.6630000025, -11039044.5564 5529176.3901999965, -11039606.6864 5529175.394000001))"
20,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.03,surface+subsurface,5,111N,69W,NWNE,"POLYGON ((-11040168.8132 5529174.358499996, -11040168.9271 5529739.142099999, -11039606.7478 5529740.402500004, -11039606.6864 5529175.394000001, -11040168.8132 5529174.358499996))"
21,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,38.65,38.64,surface+subsurface,5,111N,69W,NWNW,"POLYGON ((-11041274.0031 5529172.023400001, -11041274.5561 5529736.118900001, -11040731.1591 5529737.608900003, -11040731.0019 5529173.184600003, -11041274.0031 5529172.023400001))"
22,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.05,surface+subsurface,5,111N,69W,SENE,"POLYGON ((-11039606.6252 5528610.398500003, -11039606.6864 5529175.394000001, -11039044.5564 5529176.3901999965, -11039044.551 5528611.152500004, -11039606.6252 5528610.398500003))"
23,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.02,surface+subsurface,5,111N,69W,SENW,"POLYGON ((-11040730.8448 5528608.786499999, -11040731.0019 5529173.184600003, -11040168.8132 5529174.358499996, -11040168.6994 5528609.6098000035, -11040730.8448 5528608.786499999))"
24,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.03,surface+subsurface,5,111N,69W,SWNE,"POLYGON ((-11040168.6994 5528609.6098000035, -11040168.8132 5529174.358499996, -11039606.6864 5529175.394000001, -11039606.6252 5528610.398500003, -11040168.6994 5528609.6098000035))"
25,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,38.63,38.62,surface+subsurface,5,111N,69W,SWNW,"POLYGON ((-11041273.453 5528607.958899997, -11041274.0031 5529172.023400001, -11040731.0019 5529173.184600003, -11040730.8448 5528608.786499999, -11041273.453 5528607.958899997))"
26,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.05,subsurface,5,111N,69W,NESE,"POLYGON ((-11039606.564 5528045.381899998, -11039606.6252 5528610.398500003, -11039044.551 5528611.152500004, -11039044.5424 5528045.9498, -11039606.564 5528045.381899998))"
27,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,38.6,38.59,surface+subsurface,5,111N,69W,NWSW,"POLYGON ((-11041272.9 5528043.929099999, -11041273.453 5528607.958899997, -11040730.8448 5528608.786499999, -11040730.6845 5528044.367200002, -11041272.9 5528043.929099999))"
28,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.02,subsurface,5,111N,69W,NESW,"POLYGON ((-11040730.6845 5528044.367200002, -11040730.8448 5528608.786499999, -11040168.6994 5528609.6098000035, -11040168.5856 5528044.783699997, -11040730.6845 5528044.367200002))"
29,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.15,surface+subsurface,5,111N,69W,NESW,"POLYGON ((-11038481.4044 5528046.045999996, -11038481.3944 5528611.3352999985, -11037918.2409 5528611.4833, -11037918.2696 5528046.111699998, -11038481.4044 5528046.045999996))"
30,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.04,subsurface,5,111N,69W,NWSE,"POLYGON ((-11040168.5856 5528044.783699997, -11040168.6994 5528609.6098000035, -11039606.6252 5528610.398500003, -11039606.564 5528045.381899998, -11040168.5856 5528044.783699997))"
31,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.14,surface+subsurface,5,111N,69W,NWSW,"POLYGON ((-11039044.5424 5528045.9498, -11039044.551 5528611.152500004, -11038481.3944 5528611.3352999985, -11038481.4044 5528046.045999996, -11039044.5424 5528045.9498))"
32,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.14,surface+subsurface,5,111N,69W,SWSW,"POLYGON ((-11038481.4144 5527480.774400003, -11039044.5337 5527480.782200001, -11039044.5424 5528045.9498, -11038481.4044 5528046.045999996, -11038481.4144 5527480.774400003))"
33,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,38.58,38.57,surface+subsurface,5,111N,69W,SWSW,"POLYGON ((-11041272.347 5527479.938500002, -11041272.9 5528043.929099999, -11040730.6845 5528044.367200002, -11040730.5241 5527479.956900001, -11041272.347 5527479.938500002))"
34,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.15,surface+subsurface,5,111N,69W,SESW,"POLYGON ((-11037918.298 5527480.771200001, -11038481.4144 5527480.774400003, -11038481.4044 5528046.045999996, -11037918.2696 5528046.111699998, -11037918.298 5527480.771200001))"
35,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.04,subsurface,5,111N,69W,SWSE,"POLYGON ((-11040168.4717 5527479.988200001, -11040168.5856 5528044.783699997, -11039606.564 5528045.381899998, -11039606.5027 5527480.383000001, -11040168.4717 5527479.988200001))"
36,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.05,subsurface,5,111N,69W,SESE,"POLYGON ((-11039606.5027 5527480.383000001, -11039606.564 5528045.381899998, -11039044.5424 5528045.9498, -11039044.5337 5527480.782200001, -11039606.5027 5527480.383000001))"
37,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.02,subsurface,5,111N,69W,SESW,"POLYGON ((-11040730.5241 5527479.956900001, -11040730.6845 5528044.367200002, -11040168.5856 5528044.783699997, -11040168.4717 5527479.988200001, -11040730.5241 5527479.956900001))"
38,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.93,surface+subsurface,5,111N,71W,NENE,"POLYGON ((-11054666.6386 5528861.124399997, -11054666.6876 5529424.9038999975, -11054105.0899 5529429.8895, -11054105.115 5528865.772200003, -11054666.6386 5528861.124399997))"
39,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.9,surface+subsurface,5,111N,71W,NWNE,"POLYGON ((-11055228.1589 5528856.4463, -11055228.2883 5529419.913999997, -11054666.6876 5529424.9038999975, -11054666.6386 5528861.124399997, -11055228.1589 5528856.4463))"
40,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,111N,71W,NWNW,"POLYGON ((-11056351.4844 5528847.0427, -11056351.7651 5529409.938699998, -11055790.0253 5529414.9243, -11055789.8216 5528851.759800002, -11056351.4844 5528847.0427))"
41,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.92,surface+subsurface,5,111N,71W,NESE,"POLYGON ((-11054666.5342 5527733.605300002, -11054666.5864 5528297.366899997, -11054105.1401 5528301.689800002, -11054105.1652 5527737.642300002, -11054666.5342 5527733.605300002))"
42,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.92,surface+subsurface,5,111N,71W,SESE,"POLYGON ((-11054666.4852 5527169.8653, -11054666.5342 5527733.605300002, -11054105.1652 5527737.642300002, -11054105.1904 5527173.629900001, -11054666.4852 5527169.8653))"
43,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.86,subsurface,5,111N,71W,NWNW,"POLYGON ((-11056348.8491 5526595.551399998, -11056350.645 5527158.5722, -11055789.2111 5527162.336599998, -11055787.9005 5526599.077500001, -11056348.8491 5526595.551399998))"
44,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.85,surface+subsurface,5,111N,71W,NESE,"POLYGON ((-11054665.3733 5525478.509000003, -11054665.7439 5526042.287100002, -11054105.355 5526045.458499998, -11054105.4389 5525481.4252, -11054665.3733 5525478.509000003))"
45,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.84,surface+subsurface,5,111N,71W,NWSE,"POLYGON ((-11055225.3108 5525475.553999998, -11055226.1329 5526039.081, -11054665.7439 5526042.287100002, -11054665.3733 5525478.509000003, -11055225.3108 5525475.553999998))"
46,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.07,subsurface,5,111N,71W,NWSW,"POLYGON ((-11060849.8482 5525450.054200001, -11060850.206 5526014.052500002, -11060287.037 5526015.982000001, -11060286.4411 5525452.355899997, -11060849.8482 5525450.054200001))"
47,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.06,subsurface,5,111N,71W,SESW,"POLYGON ((-11060285.8453 5524888.7513, -11060286.4411 5525452.355899997, -11059723.0341 5525454.6228, -11059722.2 5524891.407799996, -11060285.8453 5524888.7513))"
48,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.09,subsurface,5,111N,71W,SWSW,"POLYGON ((-11060849.4905 5524886.090599999, -11060849.8482 5525450.054200001, -11060286.4411 5525452.355899997, -11060285.8453 5524888.7513, -11060849.4905 5524886.090599999))"
49,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,40.04,subsurface,5,111N,71W,NESW,"POLYGON ((-11060286.4411 5525452.355899997, -11060287.037 5526015.982000001, -11059723.868 5526017.876900002, -11059723.0341 5525454.6228, -11060286.4411 5525452.355899997))"
