,state,university,rights_type,acres,gis_acres,managing_agency,county,section,block,data_source,geometry
0,TX,Texas A&M,surface+subsurface,61.2,69.27,General Land Office,Dawson,01,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.19873359218988 32.53123957630305, -102.2027715427482 32.54395974144058, -102.20268882497851 32.53185545309517, -102.20268357342736 32.53033947534487, -102.19873359218988 32.53123957630305))"
1,TX,Texas A&M,surface+subsurface,578.8,570.62,General Land Office,Gaines,01,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.2027715427482 32.54395974144058, -102.20318248066819 32.545254157514066, -102.21972287163545 32.54148496211039, -102.21527397507234 32.52747038117274, -102.20268357342736 32.53033947534487, -102.20268882497851 32.53185545309517, -102.2027715427482 32.54395974144058))"
2,TX,Texas A&M,surface+subsurface,640.0,640.07,General Land Office,Gaines,02,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.21527397507234 32.52747038117274, -102.21972287163545 32.54148496211039, -102.2362722520438 32.53771175830007, -102.23181536586452 32.523701163483466, -102.21527397507234 32.52747038117274))"
3,TX,Texas A&M,surface+subsurface,61.1,65.43,General Land Office,Andrews,03,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.23398626332623 32.52320544957796, -102.2359988399056 32.523205448820555, -102.24940589458548 32.523224122642745, -102.24835675755504 32.51992395020115, -102.23398626332623 32.52320544957796))"
4,TX,Texas A&M,surface+subsurface,578.9,574.6,General Land Office,Gaines,03,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.23181536586452 32.523701163483466, -102.2362722520438 32.53771175830007, -102.25281263133297 32.53393954560172, -102.24940589458548 32.523224122642745, -102.2359988399056 32.523205448820555, -102.23398626332623 32.52320544957796, -102.23181536586452 32.523701163483466))"
5,TX,Texas A&M,surface+subsurface,232.0,235.42,General Land Office,Andrews,04,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.24940589458548 32.523224122642745, -102.25035884091359 32.52322544967013, -102.25050883890478 32.52319545066639, -102.26713025880902 32.523182962061355, -102.26488900259933 32.516147694700386, -102.24835675755504 32.51992395020115, -102.24940589458548 32.523224122642745))"
6,TX,Texas A&M,surface+subsurface,408.0,404.64,General Land Office,Gaines,04,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.24940589458548 32.523224122642745, -102.25281263133297 32.53393954560172, -102.26935387929306 32.530162326499905, -102.26713025880902 32.523182962061355, -102.25050883890478 32.52319545066639, -102.25035884091359 32.52322544967013, -102.24940589458548 32.523224122642745))"
7,TX,Texas A&M,surface+subsurface,321.0,327.13,General Land Office,Martin,14,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.19428468754191 32.517225014819154, -102.19618691776675 32.52321752613482, -102.20265882843455 32.523195453696125, -102.21113883308848 32.52321545227564, -102.21112189176054 32.52068988270625, -102.21107871423641 32.514251830452395, -102.21082609091052 32.513455795374, -102.19428468754191 32.517225014819154))"
8,TX,Texas A&M,surface+subsurface,32.1,32.2,General Land Office,Andrews,14,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.21113883308848 32.52321545227564, -102.21392955282487 32.523234547987435, -102.21107871423641 32.514251830452395, -102.21112189176054 32.52068988270625, -102.21113883308848 32.52321545227564))"
9,TX,Texas A&M,surface+subsurface,102.3,103.26,General Land Office,Dawson,14,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.19618691776675 32.52321752613482, -102.19873359218988 32.53123957630305, -102.20268357342736 32.53033947534487, -102.20265882843455 32.523195453696125, -102.19618691776675 32.52321752613482))"
10,TX,Texas A&M,surface+subsurface,184.6,177.4,General Land Office,Gaines,14,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.20265882843455 32.523195453696125, -102.20268357342736 32.53033947534487, -102.21527397507234 32.52747038117274, -102.21392955282487 32.523234547987435, -102.21113883308848 32.52321545227564, -102.20265882843455 32.523195453696125))"
