,state,trust_name,managing_agency,university,acres,gis_acres,rights_type,county,section,block,data_source,geometry
0,TX,Texas A&M,General Land Office,Texas A&M,61.2,69.27,subsurface+surface,Dawson,01,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11376710.9832 3833247.8746000007, -11377150.6931 3833129.029299997, -11377151.2777 3833329.192900002, -11377160.4858 3834927.5156000033, -11376710.9832 3833247.8746000007))"
1,TX,Texas A&M,General Land Office,Texas A&M,578.8,570.62,subsurface+surface,Gaines,01,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11377160.4858 3834927.5156000033, -11377151.2777 3833329.192900002, -11377150.6931 3833129.029299997, -11378552.2502 3832750.214900002, -11379047.4991 3834600.713399999, -11377206.2312 3835098.4508000016, -11377160.4858 3834927.5156000033))"
2,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.07,subsurface+surface,Gaines,02,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378552.2502 3832750.214900002, -11380393.6294 3832252.5731000006, -11380889.7677 3834102.467600003, -11379047.4991 3834600.713399999, -11378552.2502 3832750.214900002))"
3,TX,Texas A&M,General Land Office,Texas A&M,61.1,65.43,subsurface+surface,Andrews,03,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11380635.2926 3832187.1265999973, -11382235.0087 3831753.8966000006, -11382351.7981 3832189.5918999985, -11380859.3316 3832187.126500003, -11380635.2926 3832187.1265999973))"
4,TX,Texas A&M,General Land Office,Texas A&M,578.9,574.6,subsurface+surface,Gaines,03,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11380393.6294 3832252.5731000006, -11380635.2926 3832187.1265999973, -11380859.3316 3832187.126500003, -11382351.7981 3832189.5918999985, -11382731.0343 3833604.3735999987, -11380889.7677 3834102.467600003, -11380393.6294 3832252.5731000006))"
5,TX,Texas A&M,General Land Office,Texas A&M,232.0,235.42,subsurface+surface,Andrews,04,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11382351.7981 3832189.5918999985, -11382235.0087 3831753.8966000006, -11384075.3698 3831255.3674999997, -11384324.8653 3832184.157700002, -11382474.5773 3832185.8065000027, -11382457.8796 3832189.767099999, -11382351.7981 3832189.5918999985))"
6,TX,Texas A&M,General Land Office,Texas A&M,408.0,404.64,subsurface+surface,Gaines,04,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11382351.7981 3832189.5918999985, -11382457.8796 3832189.767099999, -11382474.5773 3832185.8065000027, -11384324.8653 3832184.157700002, -11384572.3976 3833105.6394999996, -11382731.0343 3833604.3735999987, -11382351.7981 3832189.5918999985))"
7,TX,Texas A&M,General Land Office,Texas A&M,321.0,327.13,subsurface+surface,Martin,14,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11376215.7334 3831397.5896999985, -11378057.114 3830900.0044, -11378085.2359 3831005.0895000026, -11378090.0424 3831855.0151000023, -11378091.9283 3832188.4472000003, -11377147.9385 3832185.806900002, -11376427.4887 3832188.721000001, -11376215.7334 3831397.5896999985))"
8,TX,Texas A&M,General Land Office,Texas A&M,32.1,32.2,subsurface+surface,Andrews,14,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378091.9283 3832188.4472000003, -11378090.0424 3831855.0151000023, -11378085.2359 3831005.0895000026, -11378402.5898 3832190.9683, -11378091.9283 3832188.4472000003))"
9,TX,Texas A&M,General Land Office,Texas A&M,102.3,103.26,subsurface+surface,Dawson,14,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11376427.4887 3832188.721000001, -11377147.9385 3832185.806900002, -11377150.6931 3833129.029299997, -11376710.9832 3833247.8746000007, -11376427.4887 3832188.721000001))"
10,TX,Texas A&M,General Land Office,Texas A&M,184.6,177.4,subsurface+surface,Gaines,14,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11377147.9385 3832185.806900002, -11378091.9283 3832188.4472000003, -11378402.5898 3832190.9683, -11378552.2502 3832750.214900002, -11377150.6931 3833129.029299997, -11377147.9385 3832185.806900002))"
11,TX,Texas A&M,General Land Office,Texas A&M,404.9,407.4,subsurface+surface,Andrews,05,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11384075.3698 3831255.3674999997, -11385916.7306 3830756.723099999, -11386299.7311 3832182.4617, -11385437.9024 3832183.1657999977, -11384324.8653 3832184.157700002, -11384075.3698 3831255.3674999997))"
12,TX,Texas A&M,General Land Office,Texas A&M,125.1,232.8,subsurface+surface,Gaines,05,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11384324.8653 3832184.157700002, -11385437.9024 3832183.1657999977, -11386299.7311 3832182.4617, -11386413.6488 3832606.526100002, -11384572.3976 3833105.6394999996, -11384324.8653 3832184.157700002))"
13,TX,Texas A&M,General Land Office,Texas A&M,0.2,0.27,subsurface+surface,Martin,13,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378057.114 3830900.0044, -11378084.5996 3830892.5733999982, -11378085.2359 3831005.0895000026, -11378057.114 3830900.0044))"
14,TX,Texas A&M,General Land Office,Texas A&M,525.7,531.88,subsurface+surface,Andrews,13,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378402.5898 3832190.9683, -11378085.2359 3831005.0895000026, -11378084.5996 3830892.5733999982, -11379897.4907 3830402.4416000023, -11380376.079 3832187.1268000007, -11380155.7919 3832187.1269000024, -11379506.7996 3832187.1270999983, -11379120.5201 3832192.407499999, -11378906.7866 3832195.0485000014, -11378558.2543 3832192.2316000015, -11378402.5898 3832190.9683))"
15,TX,Texas A&M,General Land Office,Texas A&M,114.1,107.76,subsurface+surface,Gaines,13,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378402.5898 3832190.9683, -11378558.2543 3832192.2316000015, -11378906.7866 3832195.0485000014, -11379120.5201 3832192.407499999, -11379506.7996 3832187.1270999983, -11380155.7919 3832187.1269000024, -11380376.079 3832187.1268000007, -11380393.6294 3832252.5731000006, -11378552.2502 3832750.214900002, -11378402.5898 3832190.9683))"
16,TX,Texas A&M,General Land Office,Texas A&M,576.2,577.45,subsurface+surface,Andrews,06,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11385916.7306 3830756.723099999, -11387757.1996 3830257.7014999986, -11388254.1193 3832107.299800001, -11387979.2965 3832181.8452999964, -11387054.2623 3832181.845200002, -11386299.7311 3832182.4617, -11385916.7306 3830756.723099999))"
17,TX,Texas A&M,General Land Office,Texas A&M,63.8,62.44,subsurface+surface,Gaines,06,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11386299.7311 3832182.4617, -11387054.2623 3832181.845200002, -11387979.2965 3832181.8452999964, -11386413.6488 3832606.526100002, -11386299.7311 3832182.4617))"
18,TX,Texas A&M,General Land Office,Texas A&M,637.8,638.65,subsurface+surface,Andrews,12,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11379897.4907 3830402.4416000023, -11381738.8697 3829904.3691999987, -11382235.0087 3831753.8966000006, -11380635.2926 3832187.1265999973, -11380376.079 3832187.1268000007, -11379897.4907 3830402.4416000023))"
19,TX,Texas A&M,General Land Office,Texas A&M,2.2,1.49,subsurface+surface,Gaines,12,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11380376.079 3832187.1268000007, -11380635.2926 3832187.1265999973, -11380393.6294 3832252.5731000006, -11380376.079 3832187.1268000007))"
20,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.02,subsurface+surface,Andrews,07,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11387757.1996 3830257.7014999986, -11389597.6686 3829758.6965000033, -11390095.4785 3831607.6941, -11388254.1193 3832107.299800001, -11387757.1996 3830257.7014999986))"
21,TX,Texas A&M,General Land Office,Texas A&M,640.0,639.8,subsurface+surface,Andrews,11,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11381738.8697 3829904.3691999987, -11383579.3473 3829405.783200003, -11384075.3698 3831255.3674999997, -11382235.0087 3831753.8966000006, -11381738.8697 3829904.3691999987))"
22,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.32,subsurface+surface,Andrews,01,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11389597.6686 3829758.6965000033, -11391459.2867 3829253.1098000035, -11391957.0982 3831102.561999999, -11390095.4785 3831607.6941, -11389597.6686 3829758.6965000033))"
23,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.05,subsurface+surface,Martin,15,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11375720.4859 3829547.460500002, -11377561.8666 3829050.4826000035, -11378057.114 3830900.0044, -11376215.7334 3831397.5896999985, -11375720.4859 3829547.460500002))"
24,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.02,subsurface+surface,Andrews,10,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11383579.3473 3829405.783200003, -11385419.8169 3828907.349299997, -11385916.7306 3830756.723099999, -11384075.3698 3831255.3674999997, -11383579.3473 3829405.783200003))"
25,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.21,subsurface+surface,Andrews,02,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11391459.2867 3829253.1098000035, -11393320.1286 3828747.5557999983, -11393817.9378 3830596.920500003, -11391957.0982 3831102.561999999, -11391459.2867 3829253.1098000035))"
26,TX,Texas A&M,General Land Office,Texas A&M,95.3,95.34,subsurface+surface,Martin,16,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11377561.8666 3829050.4826000035, -11378085.9602 3828908.708999999, -11378084.1359 3829578.6120000035, -11378081.909 3830416.8117000014, -11378084.5996 3830892.5733999982, -11378057.114 3830900.0044, -11377561.8666 3829050.4826000035))"
27,TX,Texas A&M,General Land Office,Texas A&M,544.7,544.45,subsurface+surface,Andrews,16,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378085.9602 3828908.708999999, -11379402.3582 3828552.607500002, -11379897.4907 3830402.4416000023, -11378084.5996 3830892.5733999982, -11378081.909 3830416.8117000014, -11378084.1359 3829578.6120000035, -11378085.9602 3828908.708999999))"
28,TX,Texas A&M,General Land Office,Texas A&M,640.0,639.96,subsurface+surface,Andrews,09,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11385419.8169 3828907.349299997, -11387260.2905 3828408.413400002, -11387757.1996 3830257.7014999986, -11385916.7306 3830756.723099999, -11385419.8169 3828907.349299997))"
29,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.46,subsurface+surface,Andrews,03,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11393320.1286 3828747.5557999983, -11395181.8642 3828242.029799998, -11395679.6669 3830090.770199999, -11393817.9378 3830596.920500003, -11393320.1286 3828747.5557999983))"
30,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.09,subsurface+surface,Andrews,17,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11379402.3582 3828552.607500002, -11381242.7391 3828054.6218999997, -11381738.8697 3829904.3691999987, -11379897.4907 3830402.4416000023, -11379402.3582 3828552.607500002))"
31,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.01,subsurface+surface,Andrews,08,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11387260.2905 3828408.413400002, -11389100.7629 3827909.367899999, -11389597.6686 3829758.6965000033, -11387757.1996 3830257.7014999986, -11387260.2905 3828408.413400002))"
32,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.13,subsurface+surface,Andrews,04,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11395181.8642 3828242.029799998, -11397042.7088 3827735.994900003, -11397540.5041 3829584.636699997, -11395679.6669 3830090.770199999, -11395181.8642 3828242.029799998))"
33,TX,Texas A&M,General Land Office,Texas A&M,640.0,639.96,subsurface+surface,Andrews,18,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11381242.7391 3828054.6218999997, -11383083.2253 3827556.6532000005, -11383579.3473 3829405.783200003, -11381738.8697 3829904.3691999987, -11381242.7391 3828054.6218999997))"
