,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,county,meridian,township,range,section,data_source,geometry
0,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,39.31,subsurface,Sevier,SL,22S,2W,26,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.97921506621563 38.86386397855659, -111.98394006161577 38.863890226916745, -111.98391635615957 38.860372420566684, -111.97920876459212 38.86037963635697, -111.97921506621563 38.86386397855659))"
1,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,39.31,subsurface,Sevier,SL,22S,2W,26,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.97921506621563 38.86386397855659, -111.98394006161577 38.863890226916745, -111.98391635615957 38.860372420566684, -111.97920876459212 38.86037963635697, -111.97921506621563 38.86386397855659))"
2,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,39.31,subsurface,Sevier,SL,22S,2W,26,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.97921506621563 38.86386397855659, -111.98394006161577 38.863890226916745, -111.98391635615957 38.860372420566684, -111.97920876459212 38.86037963635697, -111.97921506621563 38.86386397855659))"
3,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.28,40.8,subsurface,Tooele,SL,3S,5W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.39903312379613 40.589792088873565, -112.3991419430171 40.5934646017674, -112.40391451316687 40.59342235840288, -112.4038125767873 40.58974111935844, -112.39903312379613 40.589792088873565))"
4,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.28,40.8,subsurface,Tooele,SL,3S,5W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.39903312379613 40.589792088873565, -112.3991419430171 40.5934646017674, -112.40391451316687 40.59342235840288, -112.4038125767873 40.58974111935844, -112.39903312379613 40.589792088873565))"
5,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.28,40.8,subsurface,Tooele,SL,3S,5W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.39903312379613 40.589792088873565, -112.3991419430171 40.5934646017674, -112.40391451316687 40.59342235840288, -112.4038125767873 40.58974111935844, -112.39903312379613 40.589792088873565))"
6,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.32,40.9,subsurface,Tooele,SL,3S,5W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.40391451316687 40.59342235840288, -112.4086873098361 40.593380005061874, -112.40859225312742 40.58968994926098, -112.4038125767873 40.58974111935844, -112.40391451316687 40.59342235840288))"
7,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.32,40.9,subsurface,Tooele,SL,3S,5W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.40391451316687 40.59342235840288, -112.4086873098361 40.593380005061874, -112.40859225312742 40.58968994926098, -112.4038125767873 40.58974111935844, -112.40391451316687 40.59342235840288))"
8,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.32,40.9,subsurface,Tooele,SL,3S,5W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.40391451316687 40.59342235840288, -112.4086873098361 40.593380005061874, -112.40859225312742 40.58968994926098, -112.4038125767873 40.58974111935844, -112.40391451316687 40.59342235840288))"
9,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,20.0,20.11,subsurface,Salt Lake,SL,3S,1W,28,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.95297964082205 40.536874722395936, -111.95775847194446 40.536879529370694, -111.9577476605165 40.535067324973326, -111.95297899468738 40.535062523395766, -111.95297964082205 40.536874722395936))"
10,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,20.0,20.11,subsurface,Salt Lake,SL,3S,1W,28,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.95297964082205 40.536874722395936, -111.95775847194446 40.536879529370694, -111.9577476605165 40.535067324973326, -111.95297899468738 40.535062523395766, -111.95297964082205 40.536874722395936))"
11,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,20.0,20.11,subsurface,Salt Lake,SL,3S,1W,28,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.95297964082205 40.536874722395936, -111.95775847194446 40.536879529370694, -111.9577476605165 40.535067324973326, -111.95297899468738 40.535062523395766, -111.95297964082205 40.536874722395936))"
12,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,31.89,33.31,subsurface,Wasatch,SL,4S,5E,7,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.42876944102355 40.48176016753305, -111.43049188535672 40.481759260386745, -111.43348045242128 40.479801242898816, -111.43348305153823 40.47809591670521, -111.4287791631577 40.478095985151775, -111.42876944102355 40.48176016753305))"
13,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,31.89,33.31,subsurface,Wasatch,SL,4S,5E,7,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.42876944102355 40.48176016753305, -111.43049188535672 40.481759260386745, -111.43348045242128 40.479801242898816, -111.43348305153823 40.47809591670521, -111.4287791631577 40.478095985151775, -111.42876944102355 40.48176016753305))"
14,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,31.89,33.31,subsurface,Wasatch,SL,4S,5E,7,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.42876944102355 40.48176016753305, -111.43049188535672 40.481759260386745, -111.43348045242128 40.479801242898816, -111.43348305153823 40.47809591670521, -111.4287791631577 40.478095985151775, -111.42876944102355 40.48176016753305))"
15,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,31.89,33.31,subsurface,Wasatch,SL,4S,5E,7,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.42876944102355 40.48176016753305, -111.43049188535672 40.481759260386745, -111.43348045242128 40.479801242898816, -111.43348305153823 40.47809591670521, -111.4287791631577 40.478095985151775, -111.42876944102355 40.48176016753305))"
16,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,39.62,40.48,subsurface,Millard,SL,20S,8W,5,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.7751309952221 39.10827568324104, -112.77505899822278 39.11189125973237, -112.7797770983664 39.11191183995622, -112.77984721063666 39.108295300113916, -112.7751309952221 39.10827568324104))"
