,state,state_enabling_act,trust_name,managing_agency,university,gis_acres,rights_type,activity,data_source,geometry
0,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,118.19,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.88982771655166 48.41996169639985, -117.88448291459655 48.4200284886905, -117.8846802256379 48.41639698443144, -117.87931100984 48.4164771422371, -117.87913809756284 48.420095070025354, -117.8789651205854 48.42371298146262, -117.8896059772989 48.423606799204144, -117.88982771655166 48.41996169639985))"
1,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,38.02,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-120.30264406890666 47.32238558828303, -120.30799618218256 47.32246960796662, -120.30800839625903 47.31905754259856, -120.30279460203407 47.31887183099181, -120.30264406890666 47.32238558828303))"
2,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,567.85,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-120.32349007930111 47.33292495770079, -120.32345757651399 47.32558876743048, -120.32412265824644 47.318832047922356, -120.31322686646193 47.31924318357568, -120.30800839625903 47.31905754259856, -120.30799618218256 47.32246960796662, -120.30264406890666 47.32238558828303, -120.30247448217085 47.325841852560316, -120.30215427908892 47.33281185372358, -120.31336507658342 47.332822727980094, -120.32349007930111 47.33292495770079))"
3,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,165.96,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-123.22309753508166 46.87348906129377, -123.22396193276718 46.87346711200939, -123.22536745309316 46.8734314087832, -123.22588406644871 46.873418281040856, -123.22821568003351 46.87335900243922, -123.23145410324085 46.8732766085816, -123.23333428125963 46.873228731838175, -123.233289139697 46.869506355458114, -123.23324401265695 46.8657841398496, -123.23212895124735 46.865745649343324, -123.22301268464275 46.865448834036705, -123.22309753508166 46.87348906129377))"
4,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,40.29,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.99264317457846 48.350810189336215, -117.99264911608387 48.35443044219494, -117.99810959524082 48.35444177115998, -117.9981156821118 48.35082445380619, -117.99264317457846 48.350810189336215))"
5,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,280.88,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.0145343252849 48.365332154559276, -118.01997601989709 48.365354194720595, -118.01994688626296 48.35812074367059, -118.01991776359117 48.350887279544565, -118.00901222814637 48.35084537182739, -118.0090524926674 48.35809050900596, -118.00907255867176 48.361700187141416, -118.01451700344366 48.361718955752885, -118.0145343252849 48.365332154559276))"
6,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,40.76,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-121.89898872731222 48.022503255765024, -121.9045071357873 48.02247257925602, -121.90445710731618 48.01885621809635, -121.89903102350533 48.01885061680299, -121.89898872731222 48.022503255765024))"
7,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,200.91,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.97641112837894 48.37972607346843, -117.97636235399783 48.38698409439362, -117.97633699782932 48.39061259286595, -117.98176543513348 48.39061288152144, -117.98179454214451 48.38699344203289, -117.98722673232947 48.38700253774955, -117.98729297425334 48.37972254038182, -117.97641112837894 48.37972607346843))"
8,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,76.02,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-121.95865433700929 48.10542827880982, -121.95870002786616 48.108781609758076, -121.96960445713061 48.10859204437127, -121.96968003218348 48.105168471599235, -121.95865433700929 48.10542827880982))"
9,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,161.13,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.9873611646889 48.6700902824094, -117.98792929272112 48.677548267409115, -117.99869531067372 48.67770569194575, -117.99791937313609 48.67021099894936, -117.9873611646889 48.6700902824094))"
10,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,327.68,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.00585780670033 48.67031814238519, -117.99791937313609 48.67021099894936, -117.99869531067372 48.67770569194575, -117.99944447967889 48.685220812528186, -118.00500752180793 48.6853093487755, -118.01048612860939 48.68530333498456, -118.00999599698795 48.68160050807532, -118.00950486285221 48.67789897191338, -118.00900437603825 48.674126359326124, -118.00850283557264 48.670355649787226, -118.00585780670033 48.67031814238519))"
11,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,638.92,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.52231139318 48.58593716973389, -117.52226815410089 48.59319489843441, -117.52248787218448 48.60033586814942, -117.52791191208884 48.60037086380773, -117.53333595937956 48.600405609339724, -117.54427479483941 48.60049617950366, -117.54414642669988 48.5932384191085, -117.54401809262052 48.58598064399715, -117.52231139318 48.58593716973389))"
12,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,40.03,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.52248787218448 48.60033586814942, -117.52244629784386 48.60398355883989, -117.52787395235372 48.60400299737748, -117.52791191208884 48.60037086380773, -117.52248787218448 48.60033586814942))"
13,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,218.34,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.56059690283645 48.57160656704367, -117.55494852595544 48.57154337617203, -117.55497305927878 48.57447687351847, -117.5553330169023 48.57468851239278, -117.55540322584224 48.57473073553141, -117.55547196740591 48.574774002388914, -117.5555381757201 48.57481757925726, -117.55560392542476 48.574862847160055, -117.55566712143745 48.57490834781258, -117.55572975632292 48.574955525996586, -117.55578980866736 48.57500286220222, -117.55584919339368 48.57505185959668, -117.55590598797201 48.575100929845185, -117.55596200416039 48.5751516475754, -117.55601543466074 48.57520235877376, -117.55606796867094 48.57525468711661, -117.55611791258455 48.575306940287625, -117.55616685856208 48.57536077793717, -117.5562132228719 48.57541446386837, -117.5562585187999 48.575469738019095, -117.5560198321616 48.57555134735111, -117.5559831091228 48.57556390338513, -117.555984892027 48.57556613798207, -117.55600453894114 48.575591125147135, -117.55615034249654 48.57577896328732, -117.55811926153544 48.57831542474921, -117.55819671279605 48.578416919744186, -117.55826973168293 48.57851590891567, -117.5583407565917 48.57861553676233, -117.55841195697818 48.57871902884272, -117.55847888023777 48.57881989833694, -117.55854376306092 48.57892135053822, -117.5586065979559 48.5790233715574, -117.55866929842584 48.57912925737035, -117.55872794073125 48.579232372517716, -117.55878450133143 48.57933599534512, -117.55883896845391 48.57944011459849, -117.55889299200797 48.579548085517814, -117.55894318002436 48.57965314600427, -117.55899125346784 48.579758636608936, -117.55903719613121 48.579864551450584, -117.55908237828243 48.57997429641316, -117.55912397197179 48.58008099726062, -117.55916341378283 48.58018805603617, -117.5592006965288 48.580295453374255, -117.55923691036845 48.58040665401681, -117.55926978648883 48.580514685174215, -117.55930048610767 48.580622996899, -117.5593290018834 48.58073157256283, -117.55935614142632 48.580843905550516, -117.55938020575856 48.58095295493723, -117.55940206896325 48.58106220752888, -117.55942173225807 48.58117164142565, -117.55943972054374 48.58128478139364, -117.55945489979632 48.58139453195709, -117.55946786995126 48.58150440603207, -117.55947862779202 48.581614387091406, -117.55948740481766 48.58172800086261, -117.5594939481079 48.58182571113195, -117.55949413323623 48.58182866549306, -117.55947701612904 48.58182916576384, -117.55945286735745 48.58182987582051, -117.55945288525537 48.58183021894231, -117.55961184903467 48.58420749490253, -117.55961739851149 48.58429047810314, -117.55951877454605 48.58429338619754, -117.55949358557069 48.58429413086055, -117.55960666070467 48.58598519629259, -117.565211833779 48.58598632339577, -117.56520063231757 48.57876279060434, -117.56518943271914 48.57153923839251, -117.56059690283645 48.57160656704367))"
14,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,638.15,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.51143473949413 48.585878979016975, -117.50055468467477 48.585852434799655, -117.5004832392823 48.600298281177615, -117.51146484163088 48.60032112986326, -117.52248787218448 48.60033586814942, -117.52226815410089 48.59319489843441, -117.52231139318 48.58593716973389, -117.51143473949413 48.585878979016975))"
15,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,80.01,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.9872420768406 48.365230558094986, -117.98725480642767 48.36885533906093, -117.98726753444636 48.372480093969756, -117.99268515184812 48.37249750811021, -117.99266763941024 48.36524823993613, -117.9872420768406 48.365230558094986))"
