,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,aliquot,data_source,geometry
0,WI,University of Wisconsin,40.0,43.45,Normal School,Board of Commissioners of Public Lands,Forest,36N,12E,04,SWNE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((546333.2384616155 2536424.017088533, 546369.5865969585 2536023.7581768413, 545939.9317896788 2535981.7239153255, 545891.9322244279 2536380.831089878, 546333.2384616155 2536424.017088533))"
1,WI,University of Wisconsin,40.0,39.03,Normal School,Board of Commissioners of Public Lands,Forest,36N,12E,05,SWNE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((544686.4083276687 2535864.217260015, 544290.3601467231 2535831.0510733286, 544234.805415894 2536229.4453396304, 544623.2913018143 2536261.3340231148, 544686.4083276687 2535864.217260015))"
2,WI,University of Wisconsin,40.0,39.3,Normal School,Board of Commissioners of Public Lands,Forest,36N,13E,01,NESE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((560693.757005268 2536991.808287358, 561077.9090715556 2537010.2506909072, 561088.2830288522 2537010.694413232, 561122.5276898893 2536609.740243408, 561067.4535903467 2536607.5211537783, 561045.2152885859 2536606.417709429, 560726.1589962078 2536591.1868553245, 560693.757005268 2536991.808287358))"
3,WI,University of Wisconsin,40.0,39.61,Normal School,Board of Commissioners of Public Lands,Oneida,36N,06E,05,NESE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((486703.1123006292 2532376.9625417762, 486710.0791149903 2531977.18927577, 486313.1692752852 2531942.6000475464, 486304.42624603846 2532347.551983631, 486703.1123006292 2532376.9625417762))"
4,WI,University of Wisconsin,40.0,40.7,Normal School,Board of Commissioners of Public Lands,Langlade,34N,12E,05,SWNE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((546124.0149218186 2517143.8130176114, 546142.1382759628 2516726.7070395956, 545745.3577691276 2516688.327941144, 545730.299943188 2517101.34222794, 546124.0149218186 2517143.8130176114))"
5,WI,University of Wisconsin,40.0,38.43,Normal School,Board of Commissioners of Public Lands,Langlade,34N,12E,02,NWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((550126.9843585794 2517042.0372135914, 550135.3207141054 2516632.59652541, 549760.2982136533 2516606.4124235273, 549742.3963552243 2517013.9485723735, 550126.9843585794 2517042.0372135914))"
6,WI,University of Wisconsin,40.0,40.97,Normal School,Board of Commissioners of Public Lands,Langlade,34N,12E,03,NESE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((549760.2982136533 2516606.4124235273, 549354.4517435002 2516584.669732579, 549339.0327516258 2516995.014456795, 549742.3963552243 2517013.9485723735, 549760.2982136533 2516606.4124235273))"
7,WI,University of Wisconsin,40.0,36.67,Normal School,Board of Commissioners of Public Lands,Langlade,34N,12E,11,NWNW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((550143.638798953 2516223.1502862084, 550151.3917631962 2515811.518921656, 549794.0462483778 2515790.7374206386, 549778.1823867045 2516198.8611826156, 550143.638798953 2516223.1502862084))"
8,WI,University of Wisconsin,40.0,40.17,Normal School,Board of Commissioners of Public Lands,Marinette,34N,18E,23,SWNW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((608027.4227365468 2516555.404627435, 608428.5620917245 2516570.3146770936, 608449.9790459664 2516169.256861747, 608055.9530358622 2516150.5464193923, 608046.376062073 2516150.1389891687, 608027.4227365468 2516555.404627435))"
9,WI,University of Wisconsin,40.0,39.53,Normal School,Board of Commissioners of Public Lands,Marinette,34N,18E,22,NWSE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((607244.2317536223 2516101.759959613, 607645.069333068 2516125.9166772217, 607671.0991922766 2515726.881053671, 607269.96966697 2515705.7747943304, 607244.2317536223 2516101.759959613))"
