,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,township,range,section,data_source,geometry
0,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,170.84,170.71,surface,51,103,38,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-109.293344157354 44.4201729112988, -109.3034930329454 44.42019811618977, -109.30344714538597 44.412553315997634, -109.29831435569498 44.412551122637, -109.29314586101857 44.41254889254451, -109.293245207181 44.416368269013695, -109.293344157354 44.4201729112988))"
1,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,156.86,150.46,surface,20,80,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.4302143333074 41.70686632932756, -106.42256835394929 41.706619369729566, -106.4225913707194 41.713600287189166, -106.43207505261361 41.714000724007576, -106.43201381089186 41.70692443270367, -106.43170375340365 41.70691444124908, -106.43099186815839 41.707744574331336, -106.4302143333074 41.70686632932756))"
2,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,80.2,81.71,surface,51,103,57,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-109.29831435569498 44.412551122637, -109.30344714538597 44.412553315997634, -109.3033629562861 44.40526912203419, -109.2982284116503 44.40528031547065, -109.29831435569498 44.412551122637))"
3,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,165.2,surface,58,87,28,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-107.37488413611197 44.96598136705526, -107.36972420112535 44.966003235577, -107.36973865664363 44.969700950937344, -107.36975311018536 44.973398640322074, -107.37491559940005 44.97336894035849, -107.38007811767285 44.97333901880299, -107.38006107983212 44.96964924548995, -107.38004404281072 44.96595947234519, -107.37488413611197 44.96598136705526))"
4,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,161.38,surface,57,86,9,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-107.24179080590568 44.92254328862809, -107.2366645005204 44.92257829522048, -107.23657406390458 44.92620530060278, -107.2364836251177 44.929832305746025, -107.24161951471584 44.929797993574894, -107.24675540610293 44.929763431342096, -107.2468362860532 44.926135870812956, -107.24691711064403 44.922508282942054, -107.24179080590568 44.92254328862809))"
5,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,161.7,surface,57,84,10,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.97698866144255 44.922115371611504, -106.97181877319952 44.92214645188482, -106.97182399465217 44.925759579879646, -106.9718292442793 44.929372734883785, -106.97695949512763 44.92935690408844, -106.98208971560014 44.92934082358186, -106.98212413212428 44.92571258490998, -106.98215855094479 44.922084319065156, -106.97698866144255 44.922115371611504))"
6,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,640.0,631.09,surface,19,80,26,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.35880478153759 41.58336850664629, -106.3540395801629 41.58339200636126, -106.34927437927718 41.58341547698261, -106.34450920589792 41.58343894941452, -106.34452223576041 41.58704119247338, -106.34453526548303 41.59064346221316, -106.34454829603946 41.59424570548704, -106.34456135334514 41.597847948669816, -106.34935533257352 41.597832336789665, -106.3541493092468 41.597816726687746, -106.35894328753419 41.597801087781825, -106.36373726520632 41.59778547769538, -106.3636954302132 41.594175373435796, -106.36365362405085 41.59056526996956, -106.36361178795411 41.58695516581308, -106.36356995360072 41.58334503428032, -106.35880478153759 41.58336850664629))"
7,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,325.62,surface,57,87,22,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-107.35390086057025 44.90032333101819, -107.3487883689935 44.90032840627609, -107.34367593101123 44.90033326043885, -107.33856346690051 44.900337890704684, -107.33868870208093 44.90397546174207, -107.33881396635515 44.90761305950673, -107.343939876428 44.907636957639156, -107.34906575829564 44.90766088360033, -107.35419166903685 44.90768480956771, -107.35931757954533 44.90770873550321, -107.3591654528335 44.90401338448134, -107.35901332600353 44.90031800576603, -107.35390086057025 44.90032333101819))"
8,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,319.73,surface,57,81,30,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.66521808482301 44.880246958807, -106.66012536001774 44.88024080816628, -106.66012977427611 44.883858805012224, -106.6601341854999 44.88747677576918, -106.66013859839767 44.89109474565469, -106.66014301004533 44.89471274253162, -106.66523379435833 44.89471922266882, -106.67032455098648 44.89472573167559, -106.67032110793133 44.89110615165887, -106.67031766639694 44.88748657344655, -106.67031422337928 44.883869855296886, -106.67031078191928 44.88025313629737, -106.66521808482301 44.880246958807))"
9,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,38.49,38.44,surface,57,81,19,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.67540660935806 44.90196031449111, -106.6754021910986 44.905577199532175, -106.6803380238926 44.90558007117885, -106.68033107545816 44.90517976046618, -106.68027202086762 44.90196396672134, -106.67540660935806 44.90196031449111))"
