present_day_tribe,gis_acres,Royce_ID,state,university
,616319.9,['1005' '447' '431' '' '1004' '1006' '687' '686' '600' '683'],['SD' 'UT' 'TX' 'ND' 'AZ' 'ID' 'WI'],"['South Dakota State University' 'Utah State University' 'Texas A&M'
 'North Dakota State University' 'University of Arizona'
 'University of Idaho' 'University of Wisconsin']"
"Apache Tribe of Oklahoma; Fort Sill Apache Tribe of Oklahoma; Jicarilla Apache Nation, New Mexico; Mescalero Apache Tribe of the Mescalero Reservation, New Mexico; White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",294601.03,['688'],['TX' 'NM'],['Texas A&M' 'New Mexico State University']
"Arapaho Tribe of the Wind River Reservation, Wyoming; Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana; Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota; Crow Creek Sioux Tribe of the Crow Creek Reservat",36699.61,['598' '597'],['SD' 'WY'],['South Dakota State University' 'University of Wyoming']
"Arapaho Tribe of the Wind River Reservation, Wyoming; Cheyenne and Arapaho Tribes, Oklahoma; Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",170871.57,['477' '426'],['CO' 'WY'],['Colorado State University' 'University of Wyoming']
"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana; Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota; Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota; Flandreau Santee Sioux Tribe of Sou",89730.04,['614' '699' '653' '243' '516'],['SD' 'MN' 'ND' 'WI'],"['South Dakota State University' 'University of Minnesota'
 'North Dakota State University' 'University of Wisconsin']"
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's",48435.46,['242'],['MN' 'WI'],['University of Minnesota' 'University of Wisconsin']
"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau",55261.42,['268' '332' '261'],['MN' 'WI'],['University of Minnesota' 'University of Wisconsin']
"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California; Bishop Paiute Tribe, California; Bridgeport Indian Colony, California; Bridgeport Paiute Indian Colony of California; Burns Paiute Tribe of the Burns Paiute In",25829.72,['558'],['UT'],['Utah State University']
"Blackfeet Tribe of the Blackfeet Indian Reservation of Montana; Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana; Nez Perce Tribe of Idaho",22050.11,['399'],['MT'],['Montana State University']
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana; Crow Tribe of Montana; Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,4259.39,['574'],['MT'],['Montana State University']
