HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescription,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ
0A2DD5AF-9296-E011-82A2-00155D28E806,02D1E139-087C-E011-9CF3-00155D960C0A,5,4,34,NE,LOT 3 A/K/A NE/4 NW/4,1,39.98,00:00.0,NULL,NULL,F,279,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 3=NE/4 NW/4=39.98 ACRES,NULL,0,NULL,NULL,1,4,S,5,W,I,0104S05WIM,NW,0104S05WIM NW
0B2DD5AF-9296-E011-82A2-00155D28E806,02D1E139-087C-E011-9CF3-00155D960C0A,5,4,34,NW,LOT 4 A/K/A NW/4 NW/4,1,39.96,00:00.0,NULL,NULL,F,279,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=NW/4 NW/4=39.96 ACRES,NULL,0,NULL,NULL,1,4,S,5,W,I,0104S05WIM,NW,0104S05WIM NW
0C2DD5AF-9296-E011-82A2-00155D28E806,03D1E139-087C-E011-9CF3-00155D960C0A,5,4,34,NW,NW/4 SW/4,1,40,00:00.0,NULL,NULL,F,279,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,1,4,S,5,W,I,0104S05WIM,SW,0104S05WIM SW
0D2DD5AF-9296-E011-82A2-00155D28E806,02D1E139-087C-E011-9CF3-00155D960C0A,5,4,34,SE,SE/4 NW/4,1,40,00:00.0,NULL,NULL,F,279,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,1,4,S,5,W,I,0104S05WIM,NW,0104S05WIM NW
0E2DD5AF-9296-E011-82A2-00155D28E806,02D1E139-087C-E011-9CF3-00155D960C0A,5,4,34,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,F,279,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,1,4,S,5,W,I,0104S05WIM,NW,0104S05WIM NW
449B4EB0-9296-E011-82A2-00155D28E806,5C52D821-E47B-E011-9CF3-00155D960C0A,5,4,23,SE,SE/4 NW/4,1,40,00:00.0,NULL,NULL,F,377-G,,ADMIN,29:19.8,Sfleming,40:24.7,"From Harmon, 1 mile East, 5 miles South, 1 mile East, and 1 1/2 miles South to NW/C of the SW/4 || ",NULL,0,NULL,NULL,11,18,N,22,W,I,1118N22WIM,NW,1118N22WIM NW
459B4EB0-9296-E011-82A2-00155D28E806,6252D821-E47B-E011-9CF3-00155D960C0A,5,4,23,NE,NE/4 SW/4,1,40,00:00.0,NULL,NULL,F,377-G,,ADMIN,29:19.8,Sfleming,40:43.4,"From Harmon, 1 mile East, 5 miles South, 1 mile East, and 1 1/2 miles South to NW/C of the SW/4 || ",NULL,0,NULL,NULL,11,18,N,22,W,I,1118N22WIM,SW,1118N22WIM SW
489B4EB0-9296-E011-82A2-00155D28E806,6252D821-E47B-E011-9CF3-00155D960C0A,5,4,23,NW,NW/4 SW/4,1,40,00:00.0,NULL,NULL,F,377-G,,ADMIN,29:19.8,Sfleming,40:55.0,"From Harmon, 1 mile East, 5 miles South, 1 mile East, and 1 1/2 miles South to NW/C of the SW/4 || ",NULL,0,NULL,NULL,11,18,N,22,W,I,1118N22WIM,SW,1118N22WIM SW
BFA14EB0-9296-E011-82A2-00155D28E806,30ECE139-087C-E011-9CF3-00155D960C0A,5,4,1,NE,E/2 NE/4 NE/4,0.5,20,00:00.0,NULL,NULL,F,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,28,14,N,24,E,I,2814N24EIM,NE,2814N24EIM NE
C0A14EB0-9296-E011-82A2-00155D28E806,7CDDE139-087C-E011-9CF3-00155D960C0A,5,4,1,NE,NW/4 NE/4 NW/4,0.5,10,00:00.0,NULL,NULL,F,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,27,14,N,24,E,I,2714N24EIM,NW,2714N24EIM NW
