HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescription,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ
DF88F03D-9F96-E011-82A2-00155D28E806,NULL,5,1,23,NW,LT 3 SEC 35-20N-23WIM,0,0,59:11.4,00:00.0,00:00.0,,,511032,IMPORT,59:14.1,TLangley,51:27.6,,NULL,0,NULL,NULL,35,20,N,23,W,I,3520N23WIM,SE,3520N23WIM SE
FF88F03D-9F96-E011-82A2-00155D28E806,NULL,5,1,13,,SE/4 SEC 21-1N-2ECM,0,160,59:11.4,00:00.0,00:00.0,,,511536,IMPORT,59:14.5,TLangley,53:41.5,,NULL,0,NULL,NULL,21,1,N,2,E,C,2101N02ECM,SE,2101N02ECM SE
3489F03D-9F96-E011-82A2-00155D28E806,NULL,5,1,13,S,S/2NW/4 SEC 5-5N-3ECM,0,80,59:11.4,NULL,NULL,,,511638,IMPORT,59:15.2,LLocke,28:10.9,"From Dinosaur Bone on Hwy 325 West of Boise City, 3 miles North and 2 miles East (Isolated)",NULL,0,NULL,NULL,5,5,N,3,E,C,0505N03ECM,NW,0505N03ECM NW
3E89F03D-9F96-E011-82A2-00155D28E806,NULL,5,1,13,S,S/2NW/4 SEC 1-5N-1ECM,0,80,59:11.4,NULL,NULL,,,511640,IMPORT,59:15.3,Dwelch,48:43.5,Approx 2 1/2 miles East and 2 miles North of Kenton (Isolated),NULL,0,NULL,NULL,1,5,N,1,E,C,0105N01ECM,NW,0105N01ECM NW
1AF179AF-9F96-E011-82A2-00155D28E806,2C4FD821-E47B-E011-9CF3-00155D960C0A,5,1,8,,SE/4 SEC 31-5N-12WIM,0,160,59:11.4,00:00.0,00:00.0,,,511001,IMPORT,02:25.3,TLangley,43:54.5,"From intersection of Hwys 58 and 19, West of Apache, 3 miles East, 2 1/2 miles South (No Legal Access)  Landlocked",NULL,0,NULL,NULL,31,5,N,12,W,I,3105N12WIM,SE,3105N12WIM SE
34F179AF-9F96-E011-82A2-00155D28E806,4F4FD821-E47B-E011-9CF3-00155D960C0A,5,1,77,SE,SE/4NE/4 SEC 14-25N-18WIM,0,40,59:11.4,NULL,NULL,,,511014,IMPORT,02:25.6,LLocke,17:49.5,"From Mooreland, 13 miles North on Hwy 50, 3 miles East, 1 mile North, 1 mile East and approx 1/4 mile NE on oil and gas right of way roadway (Isolated/poorly accessible tract)",NULL,0,NULL,NULL,14,25,N,18,W,I,1425N18WIM,NE,1425N18WIM NE
39F179AF-9F96-E011-82A2-00155D28E806,564FD821-E47B-E011-9CF3-00155D960C0A,5,1,77,N,N/2SE/4 SEC 14-25N-18WIM,0,80,59:11.4,NULL,NULL,,,511014,IMPORT,02:25.6,Dwelch,18:18.8,"From Mooreland, 13 miles North on Hwy 50, 3 miles East, 1 mile North, 1 mile East and approx 1/4 mile NE on oil and gas right of way roadway (Isolated/poorly accessible tract)",NULL,0,NULL,NULL,14,25,N,18,W,I,1425N18WIM,SE,1425N18WIM SE
3BF179AF-9F96-E011-82A2-00155D28E806,584FD821-E47B-E011-9CF3-00155D960C0A,5,1,77,SE,SE/4SW/4 SEC 26-25N-18WIM,0,40,59:11.4,NULL,NULL,,,511016,IMPORT,02:25.6,Dwelch,28:28.8,"From Mooreland intersection of Hwys 50 & 412, 10 miles North, 2 miles East, 2 miles North, 2 miles East to West boundary of tract",NULL,0,NULL,NULL,26,25,N,18,W,I,2625N18WIM,SW,2625N18WIM SW
3FF179AF-9F96-E011-82A2-00155D28E806,5E4FD821-E47B-E011-9CF3-00155D960C0A,5,1,77,N,N/2SE/4 SEC 26-25N-18WIM,0,80,59:11.4,NULL,NULL,,,511016,IMPORT,02:25.7,Dwelch,28:48.7,"From Mooreland intersection of Hwys 50 & 412, 10 miles North, 2 miles East, 2 miles North, 2 miles East to West boundary of tract",NULL,0,NULL,NULL,26,25,N,18,W,I,2625N18WIM,SE,2625N18WIM SE
40F179AF-9F96-E011-82A2-00155D28E806,604FD821-E47B-E011-9CF3-00155D960C0A,5,1,77,NW,NW/4NW/4 SEC 35-25N-18WIM,0,40,59:11.4,NULL,NULL,,,511016,IMPORT,02:25.7,Dwelch,29:04.4,"From Mooreland intersection of Hwys 50 & 412, 10 miles North, 2 miles East, 2 miles North, 2 miles East to West boundary of tract",NULL,0,NULL,NULL,35,25,N,18,W,I,3525N18WIM,NW,3525N18WIM NW
42F179AF-9F96-E011-82A2-00155D28E806,3B4DD821-E47B-E011-9CF3-00155D960C0A,5,1,77,SE,SE/4SE/4 SEC 18-26N-19WIM,0,40,59:11.4,NULL,NULL,,,511019,IMPORT,02:25.7,Dwelch,16:20.7,"From Cimarron River Bridge, South of Freedom, 3 miles South on Hwy 50, 8 1/4 miles West, 2 miles North and approx 3/4 mile Southeasterly on pasture road (Isolated/poorly accessible tract)",NULL,0,NULL,NULL,18,26,N,19,W,I,1826N19WIM,SE,1826N19WIM SE
48F179AF-9F96-E011-82A2-00155D28E806,684FD821-E47B-E011-9CF3-00155D960C0A,5,1,65,E,E/2SW/4 SEC 24-15N-22WIM,0,80,59:11.4,NULL,NULL,,,511020,IMPORT,02:25.7,LDavis,51:22.5,"From Hammon intersection of Hwys 34 & 33, 6 miles West on Hwy 33, 5.5 miles North and 1/2 mile West to SE corner of property",NULL,0,NULL,NULL,24,15,N,22,W,I,2415N22WIM,SW,2415N22WIM SW
4CF179AF-9F96-E011-82A2-00155D28E806,684FD821-E47B-E011-9CF3-00155D960C0A,5,1,65,SW,SW/4SW/4 SEC 24-15N-22WIM,0,40,59:11.4,NULL,NULL,,,511020,IMPORT,02:25.8,LLocke,44:03.9,"From Hammon intersection of Hwys 34 & 33, 6 miles West on Hwy 33, 5.5 miles North and 1/2 mile West to SE corner of property",NULL,0,NULL,NULL,24,15,N,22,W,I,2415N22WIM,SW,2415N22WIM SW
4EF179AF-9F96-E011-82A2-00155D28E806,6F4FD821-E47B-E011-9CF3-00155D960C0A,5,1,23,E,E/2NE/4 SEC 18-17N-22WIM,0,80,59:11.4,NULL,NULL,,,511023,IMPORT,02:25.8,Dwelch,15:18.2,"From Arnett intersection of Hwys 283 & 51, 7 miles East, 14 1/2 miles South, 2 miles East, and approx 2 miles NE on pasture road (Isolated/poorly accessible tract)",NULL,0,NULL,NULL,18,17,N,22,W,I,1817N22WIM,NE,1817N22WIM NE
53F179AF-9F96-E011-82A2-00155D28E806,754FD821-E47B-E011-9CF3-00155D960C0A,5,1,23,,SW/4 SEC 5-18N-22WIM,0,160,59:11.4,NULL,NULL,,,511024,IMPORT,02:25.9,Dwelch,14:15.4,"From Arnett intersection of Hwys 51 & 283, 7 miles East, 5 1/2 miles South, 1 mile East, 1 mile South and 1 1/2 miles East to SW corner of SE/4 of Sec 7",NULL,0,NULL,NULL,5,18,N,22,W,I,0518N22WIM,SW,0518N22WIM SW
58F179AF-9F96-E011-82A2-00155D28E806,7C4FD821-E47B-E011-9CF3-00155D960C0A,5,1,23,NW,LT 1 SEC 7-18N-22WIM,0,40.5,59:11.4,NULL,NULL,,,511024,IMPORT,02:25.9,Dwelch,31:58.3,"From Arnett intersection of Hwys 51 & 283, 7 miles East, 5 1/2 miles South, 1 mile East, 1 mile South and 1 1/2 miles East to SW corner of SE/4 of Sec 7",NULL,0,00:00.0,{BA350A4C-64C4-4CD3-8C57-2027F8184E9A},7,18,N,22,W,I,0718N22WIM,NW,0718N22WIM NW
59F179AF-9F96-E011-82A2-00155D28E806,7E4FD821-E47B-E011-9CF3-00155D960C0A,5,1,23,NE,NE/4NW/4 SEC 7-18N-22WIM,0,40,59:11.4,NULL,NULL,,,511024,IMPORT,02:25.9,Dwelch,32:13.0,"From Arnett intersection of Hwys 51 & 283, 7 miles East, 5 1/2 miles South, 1 mile East, 1 mile South and 1 1/2 miles East to SW corner of SE/4 of Sec 7",NULL,0,NULL,NULL,7,18,N,22,W,I,0718N22WIM,NW,0718N22WIM NW
5AF179AF-9F96-E011-82A2-00155D28E806,804FD821-E47B-E011-9CF3-00155D960C0A,5,1,23,,NE/4 SEC 7-18N-22WIM,0,160,59:11.4,NULL,NULL,,,511024,IMPORT,02:25.9,Dwelch,32:27.7,"From Arnett intersection of Hwys 51 & 283, 7 miles East, 5 1/2 miles South, 1 mile East, 1 mile South and 1 1/2 miles East to SW corner of SE/4 of Sec 7",NULL,0,NULL,NULL,7,18,N,22,W,I,0718N22WIM,NE,0718N22WIM NE
5BF179AF-9F96-E011-82A2-00155D28E806,824FD821-E47B-E011-9CF3-00155D960C0A,5,1,23,,SE/4 SEC 7-18N-22WIM,0,160,59:11.4,NULL,NULL,,,511024,IMPORT,02:25.9,Dwelch,32:48.3,"From Arnett intersection of Hwys 51 & 283, 7 miles East, 5 1/2 miles South, 1 mile East, 1 mile South and 1 1/2 miles East to SW corner of SE/4 of Sec 7",NULL,0,NULL,NULL,7,18,N,22,W,I,0718N22WIM,SE,0718N22WIM SE
5CF179AF-9F96-E011-82A2-00155D28E806,844FD821-E47B-E011-9CF3-00155D960C0A,5,1,23,,NW/4 SEC 8-18N-22WIM,0,160,59:11.4,NULL,NULL,,,511024,IMPORT,02:25.9,Dwelch,33:03.2,"From Arnett intersection of Hwys 51 & 283, 7 miles East, 5 1/2 miles South, 1 mile East, 1 mile South and 1 1/2 miles East to SW corner of SE/4 of Sec 7",NULL,0,NULL,NULL,8,18,N,22,W,I,0818N22WIM,NW,0818N22WIM NW
5EF179AF-9F96-E011-82A2-00155D28E806,864FD821-E47B-E011-9CF3-00155D960C0A,5,1,23,E,E/2NE/4 SEC 33-18N-22WIM,0,80,59:11.4,NULL,NULL,,,511030,IMPORT,02:25.9,Dwelch,13:42.4,"From Arnett intersection of Hwys 283 & 51, 16 1/2 miles South, 6 miles East, 2 miles North, 6 miles East, 5 miles North and approx 1 1/4 miles West on pasture road (Isolated/poorly accessible tract)",NULL,0,NULL,NULL,33,18,N,22,W,I,3318N22WIM,NE,3318N22WIM NE
63F179AF-9F96-E011-82A2-00155D28E806,8C4FD821-E47B-E011-9CF3-00155D960C0A,5,1,23,NW,NW/4NW/4 SEC 34-20N-23WIM,0,40,59:11.4,NULL,NULL,,,511031,IMPORT,02:26.0,Dwelch,12:59.0,"From Arnett intersection of Hwys 283 & 51, 6 miles East and 2 1/2 miles North to NW corner of lease",NULL,0,NULL,NULL,34,20,N,23,W,I,3420N23WIM,NW,3420N23WIM NW
69F179AF-9F96-E011-82A2-00155D28E806,934FD821-E47B-E011-9CF3-00155D960C0A,5,1,30,NW,NW/4SW/4 SEC 2-27N-23WIM,0,40,59:11.4,00:00.0,00:00.0,,,511033,IMPORT,02:26.0,TLangley,52:14.8,"From Love's in Buffalo, West to end of blacktop, continue West on dirt road 1 mile then 1/4 mile North to SE corner of property (isolated)",NULL,0,NULL,NULL,2,27,N,23,W,I,0227N23WIM,SW,0227N23WIM SW
