HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescriptionOLD,,,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ,Legal_Description,SEARCH_ID
DF88F03D-9F96-E011-82A2-00155D28E806,,5,1,23,NW,LT 3 SEC 35-20N-23WIM,LT 3 SE,L3,0,0,59:11.4,00:00.0,00:00.0,,,511032,IMPORT,59:14.1,TLangley,51:27.6,,,0,,,35,20,N,23,W,17,3520N23WIM,SE,3520N23WIM SE,3,1720N23W35L3
FF88F03D-9F96-E011-82A2-00155D28E806,,5,1,13,,SE/4 SEC 21-1N-2ECM,SE/4 ,SE/4 ,0,160,59:11.4,00:00.0,00:00.0,,,511536,IMPORT,59:14.5,TLangley,53:41.5,,,0,,,21,1,N,2,E,11,2101N02ECM,SE,2101N02ECM SE,NWSE,111N2E21NWSE
FF88F03D-9F96-E011-82A2-00155D28E806,,5,1,13,,SE/4 SEC 21-1N-2ECM,SE/4 ,SE/4 ,0,160,59:11.4,00:00.0,00:00.0,,,511536,IMPORT,59:14.5,TLangley,53:41.5,,,0,,,21,1,N,2,E,11,2101N02ECM,SE,2101N02ECM SE,NESE,111N2E21NESE
FF88F03D-9F96-E011-82A2-00155D28E806,,5,1,13,,SE/4 SEC 21-1N-2ECM,SE/4 ,SE/4 ,0,160,59:11.4,00:00.0,00:00.0,,,511536,IMPORT,59:14.5,TLangley,53:41.5,,,0,,,21,1,N,2,E,11,2101N02ECM,SE,2101N02ECM SE,SWSE,111N2E21SWSE
FF88F03D-9F96-E011-82A2-00155D28E806,,5,1,13,,SE/4 SEC 21-1N-2ECM,SE/4 ,SE/4 ,0,160,59:11.4,00:00.0,00:00.0,,,511536,IMPORT,59:14.5,TLangley,53:41.5,,,0,,,21,1,N,2,E,11,2101N02ECM,SE,2101N02ECM SE,SESE,111N2E21SESE
1AF179AF-9F96-E011-82A2-00155D28E806,2C4FD821-E47B-E011-9CF3-00155D960C0A,5,1,8,,SE/4 SEC 31-5N-12WIM,SE/4 S,SE/4,0,160,59:11.4,00:00.0,00:00.0,,,511001,IMPORT,02:25.3,TLangley,43:54.5,"From intersection of Hwys 58 and 19, West of Apache, 3 miles East, 2 1/2 miles South (No Legal Access)  Landlocked",,0,,,31,5,N,12,W,17,3105N12WIM,SE,3105N12WIM SE,NWSE,175N12W31NWSE
1AF179AF-9F96-E011-82A2-00155D28E806,2C4FD821-E47B-E011-9CF3-00155D960C0A,5,1,8,,SE/4 SEC 31-5N-12WIM,SE/4 S,SE/4,0,160,59:11.4,00:00.0,00:00.0,,,511001,IMPORT,02:25.3,TLangley,43:54.5,"From intersection of Hwys 58 and 19, West of Apache, 3 miles East, 2 1/2 miles South (No Legal Access)  Landlocked",,0,,,31,5,N,12,W,17,3105N12WIM,SE,3105N12WIM SE,NESE,175N12W31NESE
1AF179AF-9F96-E011-82A2-00155D28E806,2C4FD821-E47B-E011-9CF3-00155D960C0A,5,1,8,,SE/4 SEC 31-5N-12WIM,SE/4 S,SE/4,0,160,59:11.4,00:00.0,00:00.0,,,511001,IMPORT,02:25.3,TLangley,43:54.5,"From intersection of Hwys 58 and 19, West of Apache, 3 miles East, 2 1/2 miles South (No Legal Access)  Landlocked",,0,,,31,5,N,12,W,17,3105N12WIM,SE,3105N12WIM SE,SWSE,175N12W31SWSE
1AF179AF-9F96-E011-82A2-00155D28E806,2C4FD821-E47B-E011-9CF3-00155D960C0A,5,1,8,,SE/4 SEC 31-5N-12WIM,SE/4 S,SE/4,0,160,59:11.4,00:00.0,00:00.0,,,511001,IMPORT,02:25.3,TLangley,43:54.5,"From intersection of Hwys 58 and 19, West of Apache, 3 miles East, 2 1/2 miles South (No Legal Access)  Landlocked",,0,,,31,5,N,12,W,17,3105N12WIM,SE,3105N12WIM SE,SESE,175N12W31SESE
69F179AF-9F96-E011-82A2-00155D28E806,934FD821-E47B-E011-9CF3-00155D960C0A,5,1,30,NW,NW/4SW/4 SEC 2-27N-23WIM,NW/4SW/4 S,NW/4SW/4,0,40,59:11.4,00:00.0,00:00.0,,,511033,IMPORT,02:26.0,TLangley,52:14.8,"From Love's in Buffalo, West to end of blacktop, continue West on dirt road 1 mile then 1/4 mile North to SE corner of property (isolated)",,0,,,2,27,N,23,W,17,0227N23WIM,SW,0227N23WIM SW,NWSW,1727N23W2NWSW
