HoldingDetailID,LeaseType,LegalDescription,GISGlobalId,ApprovedforProd,CountyName,Acres,MineralsLeaseID,AuctionUnitID,LeaseNumber,MineralsAuctionDate,MineralsAwardDate,GrossAcres,NetAcres,TractNumber,MineralsAuctionID,TrustName,LocationDescription,Township,TownshipDirection,Range,RangeDirection,Section,QuarterDescription,Meridian,STRM,HoldingDetailTypeID
3089F03D-9F96-E011-82A2-00155D28E806,Agricultural,SE/4SE/4 SEC 31-6N-3ECM,NULL,NULL,CIMARRON,40,NULL,2F89F03D-9F96-E011-82A2-00155D28E806,307643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,N,3,E,31,SE,C,31-06N-03ECM,1
3489F03D-9F96-E011-82A2-00155D28E806,Agricultural,S/2NW/4 SEC 5-5N-3ECM,NULL,NULL,CIMARRON,80,NULL,3389F03D-9F96-E011-82A2-00155D28E806,511638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,N,3,E,5,NW,C,05-05N-03ECM,1
3E89F03D-9F96-E011-82A2-00155D28E806,Agricultural,S/2NW/4 SEC 1-5N-1ECM,NULL,NULL,CIMARRON,80,NULL,3D89F03D-9F96-E011-82A2-00155D28E806,511640,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,N,1,E,1,NW,C,01-05N-01ECM,1
4289F03D-9F96-E011-82A2-00155D28E806,Agricultural,SE/4NE/4 SEC 10-26N-19WIM,NULL,NULL,WOODWARD,40,NULL,4189F03D-9F96-E011-82A2-00155D28E806,409250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,N,19,W,10,NE,I,10-26N-19WIM,1
4589F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 12-26N-19WIM,NULL,NULL,WOODWARD,160,NULL,4489F03D-9F96-E011-82A2-00155D28E806,409251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,N,19,W,12,NE,I,12-26N-19WIM,1
4B89F03D-9F96-E011-82A2-00155D28E806,Agricultural,NW/4 SEC 16-8N-1EIM (SUBJ TO 2.65 AC ESMT),NULL,NULL,CLEVELAND,160,NULL,4A89F03D-9F96-E011-82A2-00155D28E806,100003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Located at SE corner of intersection of Cedar Lane and 156th St  (Hunting/Recreation Potential),8,N,1,E,16,NW,I,16-08N-01EIM,1
5089F03D-9F96-E011-82A2-00155D28E806,Agricultural,W/2SW/4 SEC 16-8N-1EIM(SUBJ TO 1.12 AC ESMT),NULL,NULL,CLEVELAND,80,NULL,4F89F03D-9F96-E011-82A2-00155D28E806,100004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Approximately 12 miles East of Norman; located at SE corner of Post Oak Road and 156th St - (Hunting/Recreation Potential),8,N,1,E,16,SW,I,16-08N-01EIM,1
5589F03D-9F96-E011-82A2-00155D28E806,Agricultural,S/2SE/4 SEC 16-8N-1EIM,NULL,NULL,CLEVELAND,80,NULL,5489F03D-9F96-E011-82A2-00155D28E806,100005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Located at the NW corner of 168th St (Luther Rd) and Post Oak Rd  (Hunting/Recreation Potential),8,N,1,E,16,SE,I,16-08N-01EIM,1
5A89F03D-9F96-E011-82A2-00155D28E806,Agricultural,SW/4 SEC 36-8N-1EIM,NULL,NULL,CLEVELAND,160,NULL,5989F03D-9F96-E011-82A2-00155D28E806,100006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of McGuire Road and 180th St, 1 mile East to NW corner of property (Hunting/Recreation Potential)",8,N,1,E,36,SW,I,36-08N-01EIM,1
6089F03D-9F96-E011-82A2-00155D28E806,Agricultural,NW/4 SEC 16-6N-2EIM,NULL,NULL,POTTAWATOMIE,160,NULL,5F89F03D-9F96-E011-82A2-00155D28E806,100009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From Cleveland/Pottawatomie county line on Hwy 39, 2 miles East and 1 mile South to NW corner of property (Hunting/Recreation Potential)",6,N,2,E,16,NW,I,16-06N-02EIM,1
6489F03D-9F96-E011-82A2-00155D28E806,Agricultural,SE/4 SEC 16-6N-2EIM,NULL,NULL,POTTAWATOMIE,160,NULL,5F89F03D-9F96-E011-82A2-00155D28E806,100009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From Cleveland/Pottawatomie county line on Hwy 39, 2 miles East and 1 mile South to NW corner of property (Hunting/Recreation Potential)",6,N,2,E,16,SE,I,16-06N-02EIM,1
6689F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 16-10N-1EIM,NULL,NULL,CLEVELAND,160,NULL,6589F03D-9F96-E011-82A2-00155D28E806,100017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SE Corner of property is located approx 1/2 mile North of intersection of Luther Rd and SE 134th St (Hunting/Recreation Potential),10,N,1,E,16,NE,I,16-10N-01EIM,1
6B89F03D-9F96-E011-82A2-00155D28E806,Agricultural,NW/4 SEC 16-10N-1EIM (SUBJ TO 1.02 AC ESMT),NULL,NULL,CLEVELAND,160,NULL,6A89F03D-9F96-E011-82A2-00155D28E806,100018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of SE 104th St, 1 mile South on Peebly Rd to NW corner of property (Hunting/Recreation Potential)",10,N,1,E,16,NW,I,16-10N-01EIM,1
7089F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 36-10N-1EIM,NULL,NULL,CLEVELAND,160,NULL,6F89F03D-9F96-E011-82A2-00155D28E806,100019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From the intersection of Peebly Rd and SE 149th St, 4 miles East and 1 mile South to NE corner of property - Access across deeded land on the North side  (No Legal Access) (Hunting/Recreation Potential)",10,N,1,E,36,NE,I,36-10N-01EIM,1
7889F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 36-11N-1EIM ,NULL,NULL,OKLAHOMA,160,NULL,7789F03D-9F96-E011-82A2-00155D28E806,100022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NE/4 and SE/4 are separated by I-40.From intersection of I-40 and Harrah Road, 1/2 mile North and 1/2 mile East to NW corner of NE/4",11,N,1,E,36,NE,I,36-11N-01EIM,1
7E89F03D-9F96-E011-82A2-00155D28E806,Agricultural,SW/4 SEC 36-11N-1EIM (SUBJ TO 10 AC ESMT)(LESS 2.15 AC SOLD) ,{B44DA4DC-5191-4216-9B3D-78B0D69CAEE4},00:00.0,OKLAHOMA,157.85,NULL,7D89F03D-9F96-E011-82A2-00155D28E806,100023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Northwest corner of lease is located at the intersection of I-40 and Harrah Road, South of Harrah/Newalla",11,N,1,E,36,SW,I,36-11N-01EIM,1
