HoldingDetailID,LeaseType,LegalDescription,GISGlobalId,ApprovedforProd,CountyName,Acres,MineralsLeaseID,AuctionUnitID,LeaseNumber,MineralsAuctionDate,MineralsAwardDate,GrossAcres,NetAcres,TractNumber,MineralsAuctionID,TrustName,LocationDescription,Township,TownshipDirection,Range,RangeDirection,Section,QuarterDescription,Meridian,STRM,HoldingDetailTypeID
1EF2E249-9F96-E011-82A2-00155D28E806,Long-term Commercial,NE/4 SEC 16-12N-6EIM,NULL,NULL,LINCOLN,160,NULL,1DF2E249-9F96-E011-82A2-00155D28E806,100682,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of Hwys 62 and 99 in Prague, 2 1/2 miles North on Hwy 99 and 1/2 miles East to NW corner of lease",12,N,6,E,16,NE,I,16-12N-06EIM,2
22F2E249-9F96-E011-82A2-00155D28E806,Long-term Commercial,NW/4 SEC 16-12N-6EIM (SUBJ TO 4.21 AC ESMT)(LESS 2.996 AC SOLD),{BB324035-3553-4EBD-AC77-3D0184C9521D},00:00.0,LINCOLN,157.004,NULL,21F2E249-9F96-E011-82A2-00155D28E806,100683,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of Hwys 62 and 99 in Prague, 2 miles North on Hwy 99 to SW corner of property",12,N,6,E,16,NW,I,16-12N-06EIM,2
26F2E249-9F96-E011-82A2-00155D28E806,Long-term Commercial,SW/4 SEC 16-12N-6EIM (LESS 2 AC SOLD)(LESS .31 AC STCL 106202),{948250F5-AF19-41E4-BD43-BF496B94611B},00:00.0,LINCOLN,157.69,NULL,25F2E249-9F96-E011-82A2-00155D28E806,100684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of Hwys 62 and 99 in Prague, 1 1/4 miles North on Hwy 99 to SW corner of property (On East side of road)",12,N,6,E,16,SW,I,16-12N-06EIM,2
4A55DD4F-9F96-E011-82A2-00155D28E806,Long-term Commercial,70.94 AC IN SW/4 SEC 16-13N-3WIM (LESS .127 AC STCL 106354),{38E4F8B6-35FD-4BBE-9BD2-5AADB4346B96},00:00.0,OKLAHOMA,70.94,NULL,4955DD4F-9F96-E011-82A2-00155D28E806,101015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,13,N,3,W,16,SW,I,16-13N-03WIM,2
951FD25B-9F96-E011-82A2-00155D28E806,Long-term Commercial,NW/4 SEC 16-24N-10WIM,NULL,NULL,ALFALFA,160,NULL,941FD25B-9F96-E011-82A2-00155D28E806,101379,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From South Quick Trip in Helena, 1 mile North on Hwy 58 to SE corner of NE/4 of property (North of Crabtree Prison)",24,N,10,W,16,NW,I,16-24N-10WIM,2
981FD25B-9F96-E011-82A2-00155D28E806,Long-term Commercial,NE/4 SEC 16-24N-10WIM (LESS 5 AC SOLD),{17D15DE8-D0F8-460F-BF29-FA5C5969C0C9},00:00.0,ALFALFA,155,NULL,941FD25B-9F96-E011-82A2-00155D28E806,101379,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From South Quick Trip in Helena, 1 mile North on Hwy 58 to SE corner of NE/4 of property (North of Crabtree Prison)",24,N,10,W,16,NE,I,16-24N-10WIM,2
A435AD85-9F96-E011-82A2-00155D28E806,Long-term Commercial,E/2SW/4 & NW/4SW/4 SEC 16-21N-25WIM,{0CE98060-1AC9-4DA5-BC29-58CF8A33EB19},00:00.0,ELLIS,120,NULL,A335AD85-9F96-E011-82A2-00155D28E806,105664,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,21,N,25,W,16,SW,I,16-21N-25WIM,2
A635AD85-9F96-E011-82A2-00155D28E806,Long-term Commercial,E/2SW/4 & NW/4SW/4 SEC 16-21N-25WIM,{0CE98060-1AC9-4DA5-BC29-58CF8A33EB19},00:00.0,ELLIS,0,NULL,A335AD85-9F96-E011-82A2-00155D28E806,105664,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,21,N,25,W,16,SW,I,16-21N-25WIM,2
0734A58B-9F96-E011-82A2-00155D28E806,Long-term Commercial,W/2 SEC 16-20N-9EIM ,NULL,NULL,PAWNEE,0,NULL,0634A58B-9F96-E011-82A2-00155D28E806,105750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Northeast corner of NW/4 is located at Westport exit on Cimarron turnpike (Hunting Potential),20,N,9,E,16,NW,I,16-20N-09EIM,2
1D36A58B-9F96-E011-82A2-00155D28E806,Long-term Commercial,Lot 1 SEC 36-12N-3WIM,{F504AA9E-D138-4EA8-B44A-60A9E9C3DBA8},00:00.0,OKLAHOMA,27.11,NULL,1C36A58B-9F96-E011-82A2-00155D28E806,106033,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ON NORTH 10TH STREET, ON THE WEST SIDE OF HWY 1-35.",12,N,3,W,36,NE,I,36-12N-03WIM,2
