HoldingDetailID,LeaseType,LegalDescription,GISGlobalId,ApprovedforProd,CountyName,Acres,MineralsLeaseID,AuctionUnitID,LeaseNumber,MineralsAuctionDate,MineralsAwardDate,GrossAcres,NetAcres,TractNumber,MineralsAuctionID,TrustName,LocationDescription,Township,TownshipDirection,Range,RangeDirection,Section,QuarterDescription,Meridian,STRM,HoldingDetailTypeID
3B89F03D-9F96-E011-82A2-00155D28E806,Short-term Commercial,"LT 12 SHAWNEE SCHOOL LAND PLAT, IN S/2 & SE/4NE/4 SEC16-10N-02EIM",{E2A8B071-EE42-418B-BFCC-D5DEF32F908A},00:00.0,POTTAWATOMIE,1.18,NULL,3A89F03D-9F96-E011-82A2-00155D28E806,106472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,N,2,E,16,SE,I,16-10N-02EIM,3
838FE843-9F96-E011-82A2-00155D28E806,Short-term Commercial,NE/4 SEC 36-18N-2EIM SUBJ TO ESMTS AND ROWS OF RECORD,{C7B48478-5A78-4330-8C61-0BE43BA32CF1},00:00.0,PAYNE,160,NULL,828FE843-9F96-E011-82A2-00155D28E806,100203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,18,N,2,E,36,NE,I,36-18N-02EIM,3
EC92E843-9F96-E011-82A2-00155D28E806,Short-term Commercial,"an 8.1 acre parcel located in the NE/4 of Sec. 16-14N-4E more particularly described as bounded by US 66 along the north side, SH 18 on the West side, the ROW for the SFSL RR (now BNSF) on the south side, and a parcel described at 1907/790 and 252/554 both recorded in the county clerks records for Lincoln County and as described on Plat recorded in the County Clerks records for the NE/4 of Sec. 16-14N-4E.",{A0DB6271-EC20-49B7-B18C-C15800F41565},00:00.0,LINCOLN,8.1,NULL,EB92E843-9F96-E011-82A2-00155D28E806,100459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of Hwys 18 and 66, South edge of Chandler, 1/4 mile South to NW corner of property",14,N,4,E,16,NE,I,16-14N-04EIM,3
4FA8B379-9F96-E011-82A2-00155D28E806,Short-term Commercial,4.30 AC IN NW/4 SW/4 NW/4 SEC 16-16N-02WIM; BEG AT APPROX 425'N OF THE SW/C NW/4;TH N0.0140W 570.53; TH N89.3701E 330.45'; TH S0.0106W 569.54'; TH S89.2638W 330' TO POB.,{A203463D-89F0-4234-893D-F4966EA2F40E},00:00.0,LOGAN,4.3,NULL,4EA8B379-9F96-E011-82A2-00155D28E806,103009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Adjacent to Guthrie on East side of Division St at South edge of Guthrie,16,N,2,W,16,NW,I,16-16N-02WIM,3
1E6BB07F-9F96-E011-82A2-00155D28E806,Short-term Commercial,"GOVT LOTS 1, 2 & E/2NW4 &  W/2NE/4 SEC 7-6S-25EIM (LESS 22 AC STCL 106437)",{6CF14AA7-13E8-4B6C-8901-7A53C34921CF},NULL,MCCURTAIN,218,NULL,1D6BB07F-9F96-E011-82A2-00155D28E806,103535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FROM HWY 3 & HWY 259 (IN BROKEN BOW) NORTH 1.5 MILE TO THE SW/C OF THE LEASE.,6,S,25,E,7,NE,I,07-06S-25EIM,3
A234AD85-9F96-E011-82A2-00155D28E806,Short-term Commercial,0.10 AC IN SW/4 NW/4 NW/4 SEC 36-14N-01EIM; SIGN SITE ,{9C04490D-87BD-43C1-B19A-A2E9A67A58DA},00:00.0,OKLAHOMA,0.1,NULL,A134AD85-9F96-E011-82A2-00155D28E806,105493,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of Luther Road and Hwy 66, 1 mile South on Luther Road and 2 miles East to NW corner of lease on South side of road",14,N,1,E,36,NW,I,36-14N-01EIM,3
D334AD85-9F96-E011-82A2-00155D28E806,Short-term Commercial,"A 4.1 acre tract in Lot 4 Sec. 36-18N-6EIM, more particularly described as lying adjacent to the Section line on the north side of State Highway 33 covering 600' of highway frontage and being 200' deep on the west half of tract and 407' deep on the East half of the tract mol",{07AB90EA-4C28-40CD-94A7-E919783782E5},00:00.0,PAYNE,4.1,NULL,D234AD85-9F96-E011-82A2-00155D28E806,105540,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FROM THE INTERSECTION OF SH-99 & SH-33; 1.5 MILES EAST ON SH-33 TO THE SW/C OF THE LEASE ON NORTH SIDE OF RD.,18,N,6,E,36,SW,I,36-18N-06EIM,3
DA34AD85-9F96-E011-82A2-00155D28E806,Short-term Commercial,a 7.084 acre tract in the NE/4 SE/4 described as beginning at the NE corner of the SE/4 thence West 568' thence South 319.45' thece West 71.29' thence South 126.85' thence East 71.29' thence south 163.70 thence East 250 thence North 52 thence East 315.78 thence N 562.91 to POB in Sec 16-14N-04WIM,{4CD60C73-CF1B-40AF-88E2-5F8E383A2259},00:00.0,OKLAHOMA,7.084,NULL,D934AD85-9F96-E011-82A2-00155D28E806,105542,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From NW 206th and Rockwell, 6/10 mile East on North side of road",14,N,4,W,16,SE,I,16-14N-04WIM,3
1A35AD85-9F96-E011-82A2-00155D28E806,Short-term Commercial,2.0 AC IN SE/4 SE/4 SE/4 SEC 17-02N-10WIM; 295'x295' SQUARE IN THE SE/C OF SE/4.,{787CB74C-6B36-4C60-9002-B4DF436186D0},00:00.0,COMANCHE,2,NULL,1935AD85-9F96-E011-82A2-00155D28E806,105571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of SE 45th St and Hwy 7 in Lawton, 4 miles East and 3 miles North to SE corner of lease",2,N,10,W,17,SE,I,17-02N-10WIM,3
5935AD85-9F96-E011-82A2-00155D28E806,Short-term Commercial,8.81 AC IN SW/4 NW/4 NW/4 SEC 16-16N-02WIM;  LYING EAST OF OLD HWY 77. ,{B6A259DD-3C17-4D65-8035-D368DB33C8C5},00:00.0,LOGAN,8.81,NULL,5835AD85-9F96-E011-82A2-00155D28E806,105597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Adjacent to Guthrie on East side of Division St at South edge of Guthrie,16,N,2,W,16,NW,I,16-16N-02WIM,3
7B35AD85-9F96-E011-82A2-00155D28E806,Short-term Commercial,SE/4SE/4NW/4 OF SEC 36-20N-08EIM,{92DD45EE-130C-4197-8B09-94F8F731E787},00:00.0,PAWNEE,1,NULL,7A35AD85-9F96-E011-82A2-00155D28E806,105625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of Hwys 64 and 48, 3 1/2 miles South on Hwy 48 to NE corner of property",20,N,8,E,36,NW,I,36-20N-08EIM,3
8F35AD85-9F96-E011-82A2-00155D28E806,Short-term Commercial,1.15 AC IN THE SE/4 SW/4 SW/4 SEC 16-20N-02EIM; BEG APPROX 350'N & 945'E OF THE SW/C; TH 345'N; TH 145'E; TH 345'S; TH 145'W TO POB.,{A1D69274-3B4A-46D6-A17E-FAD778C324F7},00:00.0,PAYNE,1.15,NULL,8E35AD85-9F96-E011-82A2-00155D28E806,105634,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of Hwys 177 and 51, 6 miles North and 2 1/2 miles West to SE corner of property (Hunting/Recreation Potential)",20,N,2,E,16,SW,I,16-20N-02EIM,3
A835AD85-9F96-E011-82A2-00155D28E806,Short-term Commercial,0.06 AC M/L IN SE/4 SEC 36-25N-11WIM; BEG AT PT 1479'N & 243'W OF SE/C; TH 50' NRTHESTRLY; TH 50' NRTHWSTRLY; TH 50' SOTHWSTRLY; TH 50 SOTHESTRLY TO POB,{7044241E-3E08-448C-A504-3F7622C150A2},00:00.0,ALFALFA,0.06,NULL,A735AD85-9F96-E011-82A2-00155D28E806,105672,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of Hwys 45 & 58 at SE corner of Helena,  4 miles North on Hwy 58 and 3 3/8 miles West on county road  to SE corner of lease.  On North side of road",25,N,11,W,36,SE,I,36-25N-11WIM,3
AF35AD85-9F96-E011-82A2-00155D28E806,Short-term Commercial,3.6 AC M/L IN NW/4 SEC 16-21N-02EIM; BEG APPROX 361'W OF THE NE/C; TH 200'W; TH 785'S; TH 200'E; TH 785'N TO POB.,{C39DC261-4128-4716-8E92-73AF801B4AA1},00:00.0,NOBLE,3.6,NULL,AE35AD85-9F96-E011-82A2-00155D28E806,105679,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From intersection of Hwys 64 and 177, 2 miles West and 1/2 mile North to SW corner of property (Flood Control Lake on property)",21,N,2,E,16,NW,I,16-21N-02EIM,3
