HoldingDetailID,LeaseType,LegalDescription,Legal_Description,GISGlobalId,ApprovedforProd,CountyName,Acres,MineralsLeaseID,AuctionUnitID,LeaseNumber,MineralsAuctionDate,MineralsAwardDate,GrossAcres,NetAcres,TractNumber,MineralsAuctionID,TrustName,LocationDescription,Township,TownshipDirection,Range,RangeDirection,Section,QuarterDescription,Meridian-OLD,Meridian,STRM,HoldingDetailTypeID
3089F03D-9F96-E011-82A2-00155D28E806,Agricultural,SE/4SE/4 SEC 31-6N-3ECM,SESE,,,CIMARRON,40,,2F89F03D-9F96-E011-82A2-00155D28E806,307643,,,,,,,,,6,N,3,E,31,SE,C,11,31-06N-03ECM,1
C4F271B5-9F96-E011-82A2-00155D28E806,Agricultural,E/2NW/4 SEC 10-5N-2ECM,NENW,,,CIMARRON,80,,BAF271B5-9F96-E011-82A2-00155D28E806,613244,,,,,,,,"From Kenton, 8 miles East and 1 1/2 miles North",5,N,2,E,10,NW,C,11,10-05N-02ECM,1
C4F271B5-9F96-E011-82A2-00155D28E806,Agricultural,E/2NW/4 SEC 10-5N-2ECM,SENW,,,CIMARRON,80,,BAF271B5-9F96-E011-82A2-00155D28E806,613244,,,,,,,,"From Kenton, 8 miles East and 1 1/2 miles North",5,N,2,E,10,NW,C,11,10-05N-02ECM,1
7DA9944F-130F-E311-9FDA-00155D28EA07,Agricultural,E/2NW/4 SEC 10-5N-4ECM,NENW,,,CIMARRON,80,,29F481A9-9F96-E011-82A2-00155D28E806,307272,,,,,,,,,5,N,4,E,10,NW,C,11,10-05N-04ECM,1
7DA9944F-130F-E311-9FDA-00155D28EA07,Agricultural,E/2NW/4 SEC 10-5N-4ECM,SENW,,,CIMARRON,80,,29F481A9-9F96-E011-82A2-00155D28E806,307272,,,,,,,,,5,N,4,E,10,NW,C,11,10-05N-04ECM,1
A5F281A9-9F96-E011-82A2-00155D28E806,Agricultural,E/2NE/4 SEC 10-25N-17WIM,NENE,,,WOODS,80,,9CF281A9-9F96-E011-82A2-00155D28E806,307005,,,,,,,,"From Freedom, 5 miles East on blacktop river road, 1 mile South, 3 miles East, 3 miles South, 1 mile West, approx 2 miles Southwest on pasture and oil and gas access roads to isolated lease. No developed legal access",25,N,17,W,10,NE,I,17,10-25N-17WIM,1
A5F281A9-9F96-E011-82A2-00155D28E806,Agricultural,E/2NE/4 SEC 10-25N-17WIM,SENE,,,WOODS,80,,9CF281A9-9F96-E011-82A2-00155D28E806,307005,,,,,,,,"From Freedom, 5 miles East on blacktop river road, 1 mile South, 3 miles East, 3 miles South, 1 mile West, approx 2 miles Southwest on pasture and oil and gas access roads to isolated lease. No developed legal access",25,N,17,W,10,NE,I,17,10-25N-17WIM,1
E0F379AF-9F96-E011-82A2-00155D28E806,Agricultural,E/2NE/4 SEC 11-22N-17WIM,NENE,,,WOODWARD,80,,DBF379AF-9F96-E011-82A2-00155D28E806,613008,,,,,,,,"From Mooreland, 12 3/4 miles East, 2 miles South, 1/2 mile East and 1/2 mile North to isolated and poorly accessible tract",22,N,17,W,11,NE,I,17,11-22N-17WIM,1
E0F379AF-9F96-E011-82A2-00155D28E806,Agricultural,E/2NE/4 SEC 11-22N-17WIM,SENE,,,WOODWARD,80,,DBF379AF-9F96-E011-82A2-00155D28E806,613008,,,,,,,,"From Mooreland, 12 3/4 miles East, 2 miles South, 1/2 mile East and 1/2 mile North to isolated and poorly accessible tract",22,N,17,W,11,NE,I,17,11-22N-17WIM,1
7BF381A9-9F96-E011-82A2-00155D28E806,Agricultural,E/2SE/4 SEC 10-5N-1ECM,NESE,,,CIMARRON,80,,74F381A9-9F96-E011-82A2-00155D28E806,307098,,,,,,,,"From Kenton, 1 1/2 miles East to West side of property",5,N,1,E,10,SE,C,11,10-05N-01ECM,1
