HoldingDetailID,LeaseType,LegalDescription,Legal_Description,GISGlobalId,ApprovedforProd,CountyName,Acres,MineralsLeaseID,AuctionUnitID,LeaseNumber,MineralsAuctionDate,MineralsAwardDate,GrossAcres,NetAcres,TractNumber,MineralsAuctionID,TrustName,LocationDescription,Township,TownshipDirection,Range,RangeDirection,Section,QuarterDescription,Meridian-OLD,Meridian,STRM,HoldingDetailTypeID
388BF03D-9F96-E011-82A2-00155D28E806,Agricultural,NW//4 SEC 16-16N-2EIM,NW,{BB6C87F1-3BB7-444F-94A6-299884F869BE},00:00.0,LINCOLN,160.0,,378BF03D-9F96-E011-82A2-00155D28E806,100184.0,,,,,,,,"From Tryon, 7 miles West on Hwy 105",16,N,2,E,16,NW,I,17,16-16N-02EIM,1
FEF079AF-9F96-E011-82A2-00155D28E806,Agricultural,E/2NW/4 SEC 2-7N-3EIM,NENW,{B734F1BD-6DB6-4256-81DA-59D8EBA96890},00:00.0,POTTAWATOMIE,80.0,,FDF079AF-9F96-E011-82A2-00155D28E806,409227.0,,,,,,,,"From intersection of Hwys 177 & 59B, East of Macomb, 2 miles South on Hwy 177, 1 1/2 miles West to NE corner of property (Hunting/Recreation Potential)",7,N,3,E,2,NW,I,17,02-07N-03EIM,1
7CF271B5-9F96-E011-82A2-00155D28E806,Agricultural,N/2NE/4 SEC 1-5N-2ECM,NWNE,,,CIMARRON,80.0,,4FF271B5-9F96-E011-82A2-00155D28E806,613239.0,,,,,,,,"From Kenton, 3 1/2 miles East",5,N,2,E,1,NE,C,11,01-05N-02ECM,1
7CF271B5-9F96-E011-82A2-00155D28E806,Agricultural,N/2NE/4 SEC 1-5N-2ECM,NENE,,,CIMARRON,80.0,,4FF271B5-9F96-E011-82A2-00155D28E806,613239.0,,,,,,,,"From Kenton, 3 1/2 miles East",5,N,2,E,1,NE,C,11,01-05N-02ECM,1
4589F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 12-26N-19WIM,NE,,,WOODWARD,160.0,,4489F03D-9F96-E011-82A2-00155D28E806,409251.0,,,,,,,,,26,N,19,W,12,NE,I,17,12-26N-19WIM,1
6689F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 16-10N-1EIM,NE,,,CLEVELAND,160.0,,6589F03D-9F96-E011-82A2-00155D28E806,100017.0,,,,,,,,SE Corner of property is located approx 1/2 mile North of intersection of Luther Rd and SE 134th St (Hunting/Recreation Potential),10,N,1,E,16,NE,I,17,16-10N-01EIM,1
7089F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 36-10N-1EIM,NE,,,CLEVELAND,160.0,,6F89F03D-9F96-E011-82A2-00155D28E806,100019.0,,,,,,,,"From the intersection of Peebly Rd and SE 149th St, 4 miles East and 1 mile South to NE corner of property - Access across deeded land on the North side  (No Legal Access) (Hunting/Recreation Potential)",10,N,1,E,36,NE,I,17,36-10N-01EIM,1
7889F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 36-11N-1EIM ,NE,,,OKLAHOMA,160.0,,7789F03D-9F96-E011-82A2-00155D28E806,100022.0,,,,,,,,"NE/4 and SE/4 are separated by I-40.From intersection of I-40 and Harrah Road, 1/2 mile North and 1/2 mile East to NW corner of NE/4",11,N,1,E,36,NE,I,17,36-11N-01EIM,1
A789F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 16-15N-1EIM,NE,,,LOGAN,160.0,,A689F03D-9F96-E011-82A2-00155D28E806,100033.0,,,,,,,,"From Lincoln and Logan County line on Hwy 105,  3 miles West and 6 miles South to NE corner of lease",15,N,1,E,16,NE,I,17,16-15N-01EIM,1
BB89F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 16-16N-1EIM ,NE,,,LOGAN,160.0,,BA89F03D-9F96-E011-82A2-00155D28E806,100043.0,,,,,,,,"From Lincoln and Logan County line on Hwy 105, 3 miles West to NE corner of lease",16,N,1,E,16,NE,I,17,16-16N-01EIM,1
C589F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 16-17N-1EIM,NE,{DBC9729B-E684-49F6-B6F7-8C1371321596},00:00.0,PAYNE,160.0,,C489F03D-9F96-E011-82A2-00155D28E806,100051.0,,,,,,,,"From Cimarron river bridge at Coyle, 1 mile East, 1 mile South and 1/2 mile East to NW corner of property (Hunting Potential)",17,N,1,E,16,NE,I,17,16-17N-01EIM,1
EF89F03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 36-18N-1EIM,NE,,,PAYNE,160.0,,EE89F03D-9F96-E011-82A2-00155D28E806,100064.0,,,,,,,,"From intersection of Hwys 33 and 177, West of Perkins, 5 miles West and 1/2 mile North to SE corner of property",18,N,1,E,36,NE,I,17,36-18N-01EIM,1
0A8AF03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 16-26N-1EIM,NE,,,KAY,160.0,,098AF03D-9F96-E011-82A2-00155D28E806,100080.0,,,,,,,,"From intersection of Hwy 156 & new Hwy 60 near Ponca City, 3 miles West, 3 miles North to SE corner of property",26,N,1,E,16,NE,I,17,16-26N-01EIM,1
2E8AF03D-9F96-E011-82A2-00155D28E806,Agricultural,NE/4 SEC 16-27N-1EIM,NE,,,KAY,160.0,,2D8AF03D-9F96-E011-82A2-00155D28E806,100088.0,,,,,,,,"From intersection of Hwys 11 and 177 in Blackwell, 5 miles East and 1/2 mile North to SE corner of property (Located on West side of road)",27,N,1,E,16,NE,I,17,16-27N-01EIM,1
