STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,PLSSID,STEWARD,TWNSHPLAB,FRSTDIVID,FRSTDIVTYP,FRSTDIVTXT,FRSTDIVNO,FRSTDIVDUP,FRSTDIVLAB,SECDIVID,SECDIVTYP,SECDIVTXT,SECDIVNO,SECDIVSUF,SECDIVNOTE,SECDIVLAB,SURVID,SURVTYP,SURVTYPTXT,SRVNAME,SURVNO,SURVSUF,SURVNOTE,SURVDIV,SURVLAB,QSEC,QQSEC,GOVLOT,SOURCEREF,SOURCEDATE,RECRDAREATX,RECRDAREANO,GISACRE,REVISEDDATE,GlobalID,OBJECTID,Shape.STArea(),Shape.STLength(),geometry
SD,05,5th Meridian,109,0,N,056,0,W,0,SD051090N0560W0,BLM Cadastral - MT,109N 56W,SD051090N0560W0SN010,SN,Section,01,0,01,SD051090N0560W0SN010L3,L,Government Lot,3,,,L 3,,,,,,,,,,NW,SENW,L3,,,17.3 Acres,17.3,16.84174548,1343692800000,{BF1AF592-2085-4107-AA91-221F82D35842},152301,133038.9296875,1718.6565034946138,"[[-10854154.3791, 5508214.306400001], [-10854042.7787, 5508063.817699999], [-10854377.0193, 5508063.825300001], [-10854373.7255, 5508628.0276999995], [-10854154.5834, 5508628.014200002], [-10854154.3791, 5508214.306400001]]"
SD,05,5th Meridian,109,0,N,056,0,W,0,SD051090N0560W0,BLM Cadastral - MT,109N 56W,SD051090N0560W0SN010,SN,Section,01,0,01,SD051090N0560W0SN010L4,L,Government Lot,4,,,L 4,,,,,,,,,,NW,NENW,L4,,,13.35 Acres,13.35,12.71277498,1343692800000,{AF84D1FE-78F9-4045-98AE-1317AF509A16},152261,100434.25390625,1410.1432155659904,"[[-10854154.724, 5508916.723700002], [-10854154.5834, 5508628.014200002], [-10854373.7255, 5508628.0276999995], [-10854370.586, 5509165.054099999], [-10854286.4537, 5509165.073899999], [-10854154.724, 5508916.723700002]]"
SD,05,5th Meridian,110,0,N,067,0,W,0,SD051100N0670W0,BLM Cadastral - MT,110N 67W,SD051100N0670W0SN030,SN,Section,03,0,03,SD051100N0670W0SN030L3,L,Government Lot,3,,,L 3,,,,,,,,,,NW,NENW,L3,,,40.03 Acres,40.03,40.10066523,1343692800000,{25F68C1B-DA7F-470F-8B49-3DC4E597B085},168040,317869.10546875,2255.231273626506,"[[-11006614.5279, 5522384.180500001], [-11007177.1288, 5522384.2914], [-11007180.7662, 5522949.773000002], [-11006617.7201, 5522948.260399997], [-11006614.5279, 5522384.180500001]]"
SD,05,5th Meridian,110,0,N,067,0,W,0,SD051100N0670W0,BLM Cadastral - MT,110N 67W,SD051100N0670W0SN030,SN,Section,03,0,03,SD051100N0670W0SN030L4,L,Government Lot,4,,,L 4,,,,,,,,,,NW,NWNW,L4,,,40.13 Acres,40.13,40.20152366,1343692800000,{EC86A890-58ED-4B49-AAD9-68A490A378F1},168039,318668.72265625,2258.079491984105,"[[-11007177.1288, 5522384.2914], [-11007739.7266, 5522384.3675], [-11007743.8155, 5522951.289800003], [-11007180.7662, 5522949.773000002], [-11007177.1288, 5522384.2914]]"
SD,05,5th Meridian,110,0,N,067,0,W,0,SD051100N0670W0,BLM Cadastral - MT,110N 67W,SD051100N0670W0SN030,SN,Section,03,0,03,SD051100N0670W0SN030ASWNW,A,Aliquot Part,SWNW,,,SWNW,,,,,,,,,,NW,SWNW,,,,40 Acres,40.0,40.02290449,1343692800000,{0A8BAB1E-72C5-4D89-B073-22326402B835},168063,317213.7578125,2252.899140584206,"[[-11007173.5007, 5521820.237499997], [-11007735.6594, 5521820.305100001], [-11007739.7266, 5522384.3675], [-11007177.1288, 5522384.2914], [-11007173.5007, 5521820.237499997]]"
SD,05,5th Meridian,110,0,N,067,0,W,0,SD051100N0670W0,BLM Cadastral - MT,110N 67W,SD051100N0670W0SN020,SN,Section,02,0,02,SD051100N0670W0SN020ANWSE,A,Aliquot Part,NWSE,,,NWSE,,,,,,,,,,SE,NWSE,,,,40 Acres,40.0,40.01468696,1343692800000,{C32F3948-9554-4C8C-85CD-7F4B32FBDAFB},168093,317109.1796875,2252.510469827064,"[[-11003801.1724, 5521254.069700003], [-11004362.5735, 5521254.531099997], [-11004363.7309, 5521819.194300003], [-11003802.0454, 5521818.828199998], [-11003801.1724, 5521254.069700003]]"
SD,05,5th Meridian,110,0,N,067,0,W,0,SD051100N0670W0,BLM Cadastral - MT,110N 67W,SD051100N0670W0SN020,SN,Section,02,0,02,SD051100N0670W0SN020ANESE,A,Aliquot Part,NESE,,,NESE,,,,,,,,,,SE,NESE,,,,40 Acres,40.0,40.02157183,1343692800000,{EF7D5AE7-1185-4B85-AD43-D333A0820694},168094,317163.65625,2252.703339671026,"[[-11003239.7713, 5521253.574000001], [-11003801.1724, 5521254.069700003], [-11003802.0454, 5521818.828199998], [-11003240.3566, 5521818.427599996], [-11003239.7713, 5521253.574000001]]"
SD,05,5th Meridian,110,0,N,067,0,W,0,SD051100N0670W0,BLM Cadastral - MT,110N 67W,SD051100N0670W0SN030,SN,Section,03,0,03,SD051100N0670W0SN030ASENW,A,Aliquot Part,SENW,,,SENW,,,,,,,,,,NW,SENW,,,,40 Acres,40.0,40.02251174,1343692800000,{AA869BC6-E65C-4E24-B576-386BF40796FC},168064,317210.6171875,2252.8826033436108,"[[-11006611.3389, 5521820.135200001], [-11007173.5007, 5521820.237499997], [-11007177.1288, 5522384.2914], [-11006614.5279, 5522384.180500001], [-11006611.3389, 5521820.135200001]]"
SD,05,5th Meridian,110,0,N,067,0,W,0,SD051100N0670W0,BLM Cadastral - MT,110N 67W,SD051100N0670W0SN020,SN,Section,02,0,02,SD051100N0670W0SN020ASWSE,A,Aliquot Part,SWSE,,,SWSE,,,,,,,,,,SE,SWSE,,,,40 Acres,40.0,39.99719637,1343692800000,{FC7DB101-1C2C-48F5-9277-6DDAE72BB5C4},168117,316931.59375,2251.881745262109,"[[-11003800.2996, 5520689.333400004], [-11004361.413, 5520689.902500004], [-11004362.5735, 5521254.531099997], [-11003801.1724, 5521254.069700003], [-11003800.2996, 5520689.333400004]]"
SD,05,5th Meridian,110,0,N,067,0,W,0,SD051100N0670W0,BLM Cadastral - MT,110N 67W,SD051100N0670W0SN020,SN,Section,02,0,02,SD051100N0670W0SN020ASESE,A,Aliquot Part,SESE,,,SESE,,,,,,,,,,SE,SESE,,,,40 Acres,40.0,40.00380726,1343692800000,{8ABCA471-5A4D-46F6-BD1B-0854AB7A4AB6},168118,316983.8984375,2252.066789847295,"[[-11003239.186, 5520688.7597], [-11003800.2996, 5520689.333400004], [-11003801.1724, 5521254.069700003], [-11003239.7713, 5521253.574000001], [-11003239.186, 5520688.7597]]"
