,Column1,Column2,Column3,Column4,Column42,Column43,Column8,FIXED PLSS ID,Column9,Column5,Column6,Column7
0,1120N0,480W0,SN12,2,2,L2,1120N0480W0SN12L2,1120N0480W0SN12L2,1120N0480W0SN12L2,176.9,Brookings,SDSU EXP. STATION
1,1120N0,480W0,SN13,2,2,L2,1120N0480W0SN13L2,1120N0480W0SN13L2,1120N0480W0SN13L2,360.85,Brookings,SDSU EXP. STATION
2,1120N0,480W0,SN12,3,3,L3,1120N0480W0SN12L3,1120N0480W0SN12L3,1120N0480W0SN12L3,176.9,Brookings,SDSU EXP. STATION
3,1120N0,480W0,SN13,3,3,L3,1120N0480W0SN13L3,1120N0480W0SN13L3,1120N0480W0SN13L3,360.85,Brookings,SDSU EXP. STATION
4,1120N0,480W0,SN12,4                                                 ,4,L4,1120N0480W0SN12L4,1120N0480W0SN12L4,1120N0480W0SN12L4,176.9,Brookings,SDSU EXP. STATION
5,1120N0,480W0,SN13,4,4,L4,1120N0480W0SN13L4,1120N0480W0SN13L4,,360.85,Brookings,SDSU EXP. STATION
6,1120N0,480W0,SN13,L1,L1,L1,1120N0480W0SN13L1,1120N0480W0SN13L1,1120N0480W0SN13L1,360.85,Brookings,SDSU EXP. STATION
7,1120N0,480W0,SN12,LOT 1,LOT 1,L1,1120N0480W0SN12L1,1120N0480W0SN12L1,1120N0480W0SN12L1,176.9,Brookings,SDSU EXP. STATION
8,1120N0,480W0,SN13,N28 SENE                              ,N28 SENE,AN28 SENE,1120N0480W0SN13AN28 SENE,1120N0480W0SN13AN28 SENE,,360.85,Brookings,SDSU EXP. STATION
9,1120N0,480W0,SN13,SE,SE,ASE,1120N0480W0SN13ASE,1120N0480W0SN13ANWSE,,360.85,Brookings,SDSU EXP. STATION
10,1120N0,480W0,SN13,SE,SE,ASE,1120N0480W0SN13ASE,1120N0480W0SN13ANESE,,360.85,Brookings,SDSU EXP. STATION
11,1120N0,480W0,SN13,SE,SE,ASE,1120N0480W0SN13ASE,1120N0480W0SN13ASWSE,,360.85,Brookings,SDSU EXP. STATION
12,1120N0,480W0,SN13,SE,SE,ASE,1120N0480W0SN13ASE,1120N0480W0SN13ASESE,,360.85,Brookings,SDSU EXP. STATION
13,1120N0,480W0,SN13,SENW,SENW,ASENW,1120N0480W0SN13ASENW,1120N0480W0SN13ASENW,1120N0480W0SN13ASENW,360.85,Brookings,SDSU EXP. STATION
14,1120N0,480W0,SN13,SWNE,SWNE,ASWNE,1120N0480W0SN13ASWNE,1120N0480W0SN13ASWNE,1120N0480W0SN13ASWNE,360.85,Brookings,SDSU EXP. STATION
15,1270N0,780W0,SN07, LOT 4,LOT 4,L4,1270N0780W0SN07L4,1270N0780W0SN07L4,1270N0780W0SN07L4,194.34,Campbell,SOUTH DAKOTA STATE UNIVERSITY
16,1260N0,780W0,SN21,SE4,SE4,ASE,1260N0780W0SN21ASE,1260N0780W0SN21ANWSE,,160.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
17,1260N0,780W0,SN21,SE4,SE4,ASE,1260N0780W0SN21ASE,1260N0780W0SN21ANESE,,160.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
18,1260N0,780W0,SN21,SE4,SE4,ASE,1260N0780W0SN21ASE,1260N0780W0SN21ASWSE,,160.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
19,1260N0,780W0,SN21,SE4,SE4,ASE,1260N0780W0SN21ASE,1260N0780W0SN21ASESE,,160.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
20,1260N0,780W0,SN22,W2,W2,AW½,1260N0780W0SN22AW½,1260N0780W0SN22ANWSW,,320.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
21,1260N0,780W0,SN22,W2,W2,AW½,1260N0780W0SN22AW½,1260N0780W0SN22ANESW,,320.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
22,1260N0,780W0,SN22,W2,W2,AW½,1260N0780W0SN22AW½,1260N0780W0SN22ASWSW,,320.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
23,1260N0,780W0,SN22,W2,W2,AW½,1260N0780W0SN22AW½,1260N0780W0SN22ASESW,,320.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
24,1260N0,780W0,SN22,W2,W2,AW½,1260N0780W0SN22AW½,1260N0780W0SN22ANWNW,,320.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
25,1260N0,780W0,SN22,W2,W2,AW½,1260N0780W0SN22AW½,1260N0780W0SN22ANENW,,320.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
26,1260N0,780W0,SN22,W2,W2,AW½,1260N0780W0SN22AW½,1260N0780W0SN22ASWNW,,320.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
27,1260N0,780W0,SN22,W2,W2,AW½,1260N0780W0SN22AW½,1260N0780W0SN22ASENW,,320.0,Campbell,SOUTH DAKOTA STATE UNIVERSITY
28,1270N0,780W0,SN07,E2W2,E2W2,AE½W½,1270N0780W0SN07AE½W½,1270N0780W0SN07ANENW,,194.34,Campbell,SOUTH DAKOTA STATE UNIVERSITY
29,1270N0,780W0,SN07,E2W2,E2W2,AE½W½,1270N0780W0SN07AE½W½,1270N0780W0SN07ASENW,,194.34,Campbell,SOUTH DAKOTA STATE UNIVERSITY
30,1270N0,780W0,SN07,E2W2,E2W2,AE½W½,1270N0780W0SN07AE½W½,1270N0780W0SN07ANESW,,194.34,Campbell,SOUTH DAKOTA STATE UNIVERSITY
31,1270N0,780W0,SN07,E2W2,E2W2,AE½W½,1270N0780W0SN07AE½W½,1270N0780W0SN07ASESW,,194.34,Campbell,SOUTH DAKOTA STATE UNIVERSITY
32,1190N0,590W0,SN13,S2SW,S2SW,AS½SW,1190N0590W0SN13AS½SW,1190N0590W0SN13ASWSW,,75.96,Clark,SOUTH DAKOTA STATE UNIVERSITY
33,1190N0,590W0,SN13,S2SW,S2SW,AS½SW,1190N0590W0SN13AS½SW,1190N0590W0SN13ASESW,,75.96,Clark,SOUTH DAKOTA STATE UNIVERSITY
34,1190N0,590W0,SN14,N2NE,N2NE,AN½NE,1190N0590W0SN14AN½NE,1190N0590W0SN14ANWNE,,80.0,Clark,SOUTH DAKOTA STATE UNIVERSITY
35,1190N0,590W0,SN14,N2NE,N2NE,AN½NE,1190N0590W0SN14AN½NE,1190N0590W0SN14ANENE,,80.0,Clark,SOUTH DAKOTA STATE UNIVERSITY
36,1190N0,590W0,SN22,N2NW,N2NW,AN½NW,1190N0590W0SN22AN½NW,1190N0590W0SN22ANENW,,69.25,Clark,SOUTH DAKOTA STATE UNIVERSITY
