Cession_Number,Royce_ID,Royce_ID_Num,State,County,State_and_County,Tribe_Named_in_Land_Cessions_1784-1894,Present_Day_Tribe,US_Acquired_Mode,Cession_State,Yr_US_Acquired,Date_US_Acquired,Total_Acreage,US_Paid_Total,US_Paid_Per_Acre,US_Paid_Per_Acre_if_N/A,KEEP IN THE DATA,INFLATION FACTOR FOR YEAR,US PAID TOTAL - INFLATION ADJUSTED to 2023,US_Paid_Per_Acre - Inflation Adjusted,Total_Area_Source,US_Paid_Total_Source,Notes,Citation_1,Citation_2,Royce_Schedule_Date_1,URL_for_Royce_Schedule_Entry_1,URL_for_Treaty_Text_Catalogued_by_Kappler_1,Royce_Schedule_Date_2,URL_for_Royce_Schedule_Entry_2,URL_for_Treaty_Text_Catalogued_by_Kappler_2,Royce_Schedule_Date_3,URL_for_Royce_Schedule_Entry_3,URL_for_Treaty_Text_Catalogued_by_Kappler_3,Royce_Schedule_Date_4,URL_for_Royce_Schedule_Entry_4,URL_for_Treaty_Text_Catalogued_by_Kappler_4,Royce_Schedule_Date_5,URL_for_Royce_Schedule_Entry_5,URL_for_Treaty_Text_Catalogued_by_Kappler_5,Map Name,Map_Name_1,Map_Name_2,Map_Name_3,Map_Name_4,Map_Name_5,Map_Name_6,Map_URL_1,Map_URL_2,Map_URL_3,Map_URL_4,Map_URL_5,Map_URL_6,URL for Federal Statute,URL for Executive Order,SHAPE_Length,SHAPE_Area,GIS_Source,,,,,,,,,,,,,,,year,Conversion Factor from 2023,year
94,94,94,AR; LA; OK,Ashley; Atoka; Beckham; Blaine; Bossier; Bryan; Caddo; Canadian; Carter; Chicot; Choctaw; Claiborne; Clark; Cleveland; Coal; Columbia; Comanche; Conway; Cotton; Custer; Dallas; Desha; Drew; East Carroll; Franklin; Garland; Garvin; Grady; Greer; Harmon; H,AR:Ashley; AR:Chicot; AR:Clark; AR:Cleveland; AR:Columbia; AR:Conway; AR:Dallas; AR:Desha; AR:Drew; AR:Franklin; AR:Garland; AR:Hempstead; AR:Hot Spring; AR:Howard; AR:Lafayette; AR:Lincoln; AR:Little River; AR:Logan; AR:Montgomery; AR:Nevada; AR:Ouachit,Quapaw,"Quapaw Tribe of Indians, Oklahoma","Ceded by treaty, August 24, 1818",AR; LA; OK,1818,18180824,"34,755,448","$19,630.00",$0.00 ,,YES,0.041277301,"$475,564.04",$0.01,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",,Tiller 648,"3 DITA, 192; Hodge 333-34",1818/08/24 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/688/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=168,,,,,,,,,,,,,"Louisiana, Arkansas 1, Indian Territory 1",Louisiana,Arkansas 1,Indian Territory 1,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=28,https://www.loc.gov/resource/g3701em.gct00002/?sp=5,https://www.loc.gov/resource/g3701em.gct00002/?sp=21,,,,,,3620528.074,2.11E+11,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1635,0.026976865,1635
123,123,123,AR; KS; MO; OK,Adair; Alfalfa; Allen; Anderson; Barton; Bates; Benton; Blaine; Bourbon; Butler; Canadian; Cass; Chase; Cherokee; Cleveland; Coffey; Craig; Crawford; Creek; Delaware; Dewey; Dickinson; Edwards; Ellis; Ellsworth; Finney; Ford; Franklin; Garfield; Grant; G,AR:Benton; KS:Allen; KS:Anderson; KS:Barton; KS:Bourbon; KS:Butler; KS:Chase; KS:Cherokee; KS:Coffey; KS:Crawford; KS:Dickinson; KS:Edwards; KS:Ellsworth; KS:Finney; KS:Ford; KS:Franklin; KS:Gray; KS:Greenwood; KS:Harvey; KS:Hodgeman; KS:Lane; KS:Linn; K,Great and Little Osage,"The Osage Nation, Oklahoma","Ceded by treaty, June 2, 1825",AR; KS; MO; OK,1825,18250602,"37,081,154","$808,261.40",$0.02 ,,YES,0.032178004,"$25,118,444.15",$0.68,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",,2 Hodge 156,"DeMallie 476, 495",1825/06/02 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/708/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=225,,,,,,,,,,,,,"Arkansas 1, Missouri 1, Kansas 1, Indian Territory 1",Arkansas 1,Missouri 1,Kansas 1,Indian Territory 1,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=5,https://www.loc.gov/resource/g3701em.gct00002/?sp=37,https://www.loc.gov/resource/g3701em.gct00002/?sp=26,https://www.loc.gov/resource/g3701em.gct00002/?sp=21,,,,,2827414.285,2.97E+11,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1636,0.048428867,1636
124,124,124,KS; MO; NE,Atchison; Brown; Clay; Cloud; Decatur; Dickinson; Doniphan; Douglas; Ellis; Ellsworth; Fillmore; Gage; Geary; Gove; Graham; Holt; Jackson; Jefferson; Jewell; Johnson; Lancaster; Leavenworth; Lincoln; Logan; Marshall; McPherson; Mitchell; Morris; Nemaha;,KS:Atchison; KS:Brown; KS:Clay; KS:Cloud; KS:Decatur; KS:Dickinson; KS:Doniphan; KS:Douglas; KS:Ellis; KS:Ellsworth; KS:Geary; KS:Gove; KS:Graham; KS:Jackson; KS:Jefferson; KS:Jewell; KS:Johnson; KS:Leavenworth; KS:Lincoln; KS:Logan; KS:Marshall; KS:McPh,Kansas,"Kaw Nation, Oklahoma","Ceded by treaty, June 3, 1825",KS; MO; NE,1825,18250603,"18,314,240","$106,555.42",$0.01 ,,YES,0.032178004,"$3,311,436.58",$0.18,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",,"DeMallie 462, 474-75",1 Hodge 653-59,1825/06/03 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/708/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=230,,,,,,,,,,,,,"Missouri 1, Kansas 1, Nebraska",Missouri 1,Kansas 1,Nebraska,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=37,https://www.loc.gov/resource/g3701em.gct00002/?sp=26,https://www.loc.gov/resource/g3701em.gct00002/?sp=41,,,,,,2145218.548,1.52E+11,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1637,0.041603721,1637
158,158,158,WI,Brown; Menominee; Oconto; Outagamie; Shawano,WI:Brown; WI:Menominee; WI:Oconto; WI:Outagamie; WI:Shawano,Menomini,Menominee Indian Tribe of Wisconsin,"Ceded by treaty (for conversion to reservation), February 8, 1831",WI,1831,18310208,"4,009,000","$114,970.40",$0.03 ,,YES,0.02827715,"$4,065,841.22",$1.01,"11 ICC 336, p. 385","11 ICC 336, p. 385","Total area combines Royce areas 158, 160, 219, and 271",1 Hodge 842-844,Clark 141,1831/02/08 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/728/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=327,1832/10/27 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/742/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=385,,,,,,,,,,Wisconsin 1,Wisconsin 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,,,,,,,,318233.895,3996355189,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1638,0.021775725,1638
160,160,160,WI,Brown; Calumet; Door; Fond du Lac; Kewaunee; Manitowoc; Ozaukee; Sheboygan; Washington,WI:Brown; WI:Calumet; WI:Door; WI:Fond du Lac; WI:Kewaunee; WI:Manitowoc; WI:Ozaukee; WI:Sheboygan; WI:Washington,Menomini,Menominee Indian Tribe of Wisconsin,"Ceded by treaty, February 8, 1831",WI,1831,18310208,"4,009,000","$114,970.40",$0.03 ,,YES,0.02827715,"$4,065,841.22",$1.01,"11 ICC 336, p. 385","11 ICC 336, p. 385","Total area combines Royce areas 158, 160, 219, and 271",1 Hodge 842-844,Clark 141,1831/02/08 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/728/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=327,,,,,,,,,,,,,Wisconsin 1,Wisconsin 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,,,,,,,,1071812.146,19146019054,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1639,0.035752439,1639
174,174,174,IL; WI,Columbia; Dane; Dodge; Fond du Lac; Green; Green Lake; Jefferson; Marquette; Rock; Winnebago,IL:Winnebago; WI:Columbia; WI:Dane; WI:Dodge; WI:Fond du Lac; WI:Green; WI:Green Lake; WI:Jefferson; WI:Marquette; WI:Rock; WI:Winnebago,Winnebago,Ho-Chunk Nation of Wisconsin; Winnebago Tribe of Nebraska,,IL; WI,1832,18320915,"4,345,420","$447,205.29",$0.10 ,,YES,0.027950729,"$15,999,771.70",$3.68,"General Services Administration Report Re : Petitions of the Winnebago Tribe and Nation of Indians, et al Indian Claims Commission Nos 243, 244, 245, p. 3; Acres measured in GIS, USFS shapefile",,NEED TO FIND,,,1832/09/15 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/736/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=353,,,,,,,,,,,,,"Wisconsin 1, Illinois 1",Wisconsin 1,Illinois 1,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,https://www.loc.gov/resource/g3701em.gct00002/?sp=17,,,,,,,842779.6872,17585308513,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1640,0.031201442,1640
191,191,191,KS; NE,Adams; Butler; Clay; Dawson; Decatur; Fillmore; Frontier; Furnas; Gosper; Hall; Hamilton; Harlan; Hayes; Hitchcock; Kearny; Lincoln; Norton; Phelps; Phillips; Rawlins; Red Willow; Seward; Sheridan; Smith; Thomas; Webster; York,KS:Decatur; KS:Norton; KS:Phillips; KS:Rawlins; KS:Sheridan; KS:Smith; KS:Thomas; NE:Adams; NE:Butler; NE:Clay; NE:Dawson; NE:Fillmore; NE:Frontier; NE:Furnas; NE:Gosper; NE:Hall; NE:Hamilton; NE:Harlan; NE:Hayes; NE:Hitchcock; NE:Kearny; NE:Lincoln; NE:,"Confederated Pawnee: Grand Pawnee, Pawnee Loup, Pawnee Republicans, Pawnee Tappaye residing on the Platt and Loup Fork",Pawnee Nation of Oklahoma,"Ceded by treaty, October 9, 1833",KS; NE,1833,18331009,"13,074,000","$148,200.00",$0.01 ,,YES,0.027300587,"$5,428,454.70",$0.42,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",,Tiller 644,"DeMallie 515, 544-45",1833/10/09 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/750/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=424,,,,,,,,,,,,,"Kansas 1, Nebraska",Kansas 1,Nebraska,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=26,https://www.loc.gov/resource/g3701em.gct00002/?sp=41,,,,,,,1398985.05,60967238181,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1641,0.031201442,1641
219,219,219,MI; WI,Brown; Delta; Dickinson; Florence; Marinette; Menominee; Oconto; Outagamie; Shawano; Waupaca; Winnebago,MI:Delta; MI:Dickinson; MI:Menominee; WI:Brown; WI:Florence; WI:Marinette; WI:Menominee; WI:Oconto; WI:Outagamie; WI:Shawano; WI:Waupaca; WI:Winnebago,Menomini,Menominee Indian Tribe of Wisconsin,"Ceded by treaty, September 3, 1836",MI; WI,1836,18360903,"4,009,000","$114,970.40",$0.03 ,,YES,0.030227577,"$3,803,493.76",$0.95,"11 ICC 336, p. 385","11 ICC 336, p. 385","Total area combines Royce areas 158, 160, 219, and 271",1 Hodge 842-844,Clark 141,1836/09/03 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/760/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=471,,,,,,,,,,,,,"Michigan 1, Wisconsin 1",Michigan 1,Wisconsin 1,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,,,,,,,985245.7319,22128981351,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1642,0.031201442,1642
242,242,242,MN; WI,Anoka; Ashland; Barron; Bayfield; Burnett; Chippewa; Chisago; Clark; Douglas; Dunn; Eau Claire; Forest; Isanti; Langlade; Lincoln; Marathon; Oneida; Polk; Portage; Price; Ramsey; Rusk; Sawyer; Sherburne; St. Croix; Taylor; Washburn; Washington; Wood,MN:Anoka; MN:Chisago; MN:Isanti; MN:Ramsey; MN:Sherburne; MN:Washington; WI:Ashland; WI:Barron; WI:Bayfield; WI:Burnett; WI:Chippewa; WI:Clark; WI:Douglas; WI:Dunn; WI:Eau Claire; WI:Forest; WI:Langlade; WI:Lincoln; WI:Marathon; WI:Oneida; WI:Polk; WI:Po,Chippewa,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's","Ceded by treaty, July 29, 1837",MN; WI,1837,18370729,"13,664,871","$835,378.08",$0.06 ,,YES,0.031201442,"$26,773,701.34",$1.96,"26 ICC 22, p. 59; 32 ICC 192, p. 213","26 ICC 22, p. 59; 32 ICC 192, p. 213",,Tiller 427; Tiller 428; Tiller 431; Tiller 433; Tiller 434; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 787; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809,Trigger 745,1837/07/29 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/766/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=499,,,,,,,,,,,,,"Minnesota 1, Wisconsin 1",Minnesota 1,Wisconsin 1,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=33,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,,,,,,,1729249.413,1.13E+11,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1643,0.045178155,1643
243,243,243,MN; WI,Anoka; Buffalo; Clark; Dunn; Eau Claire; Jackson; La Crosse; Pepin; Pierce; Ramsey; Sherburne; St. Croix; Trempealeau; Vernon; Washington,MN:Anoka; MN:Ramsey; MN:Sherburne; MN:Washington; WI:Buffalo; WI:Clark; WI:Dunn; WI:Eau Claire; WI:Jackson; WI:La Crosse; WI:Pepin; WI:Pierce; WI:St. Croix; WI:Trempealeau; WI:Vernon,Sioux,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana; Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota; Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota; Flandreau Santee Sioux Tribe of Sou","Ceded by treaty, September 29, 1837",MN; WI,1837,18370929,"3,778,700","$759,991.00",$0.20 ,,YES,0.031201442,"$24,357,560.42",$6.45,"18 ICC 477, p. 479; 10 ICC 137, p. 160; 16 ICC 81, p. 116","18 ICC 477, p. 479; 10 ICC 137, p. 160; 16 ICC 81, p. 116","Case (ICC Docket 360) was settled for $1,129,359 (18 ICC 477, p. 479). The parties agreed the Sioux had an interest in 3,778,700 acres of Royce Area 243, with the Winnebago controlling east of the Black River (see 10 ICC 137, p. 160) but no final determi",,,1837/09/29 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/766/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=501,,,,,,,,,,,,,"Minnesota 1, Wisconsin 1",Minnesota 1,Wisconsin 1,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=33,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,,,,,,,1297583.228,31048775343,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1644,0.032501727,1644
