"
UA Properties by County, August 2022",,
Apache County,,
,,
Parcel Number,Parcel Address,Parcel Size
102-25-020A,,1.00
,,
Cochise County,,
,,
Parcel Number,Parcel Address,Parcel Size
101-34-009,,2.09
101-34-013,,2.09
101-34-115,,2.06
101-34-117,,2.06
101-35-114,,2.06
101-37-089,,2.07
101-37-115,,1.00
105-46-001H,"56 E. Folklore Trail, Hereford",4.33
106-22-084,,0.68
106-47-014B,,14.50
107-16-011J,"1140 N. Colombo, Sierra Vista",6.14
109-18-003,,0.69
112-48-006,,0.34
112-48-029,,0.14
203-31-059,,0.03
203-37-008,,0.16
203-42-001,,0.23
203-42-002,,0.17
203-42-003,,2.09
203-42-004,,2.09
203-42-004A,,0.17
203-42-005,,0.17
203-42-006,,0.17
203-42-015,,0.20
203-42-016,,0.17
203-42-018,,0.17
203-42-019,,0.17
203-42-025,,0.23
203-42-032,,0.26
203-42-035,,0.16
203-42-045,,0.19
203-42-065,,0.17
203-42-090,,0.19
203-42-099,,0.21
203-42-151,,0.24
208-78-018,,0.10
302-07-025,,0.41
302-10-060,,0.17
302-10-074,,1.10
302-27-015,,0.32
303-06-005,,14.72
303-33-131,,0.10
303-33-350,,0.16
303-45-006,,20.02
305-21-006,,0.07
401-21-113,,5.05
407-74-192,,0.20
407-77-286,,0.22
407-77-287,,0.18
410-21-002C,"2017 Rogers Avenue, Douglas",3.10
607-02-001,,55.41
607-02-002,,20.66
607-03-001,,60.29
609-12-022,,12.32
,,
Coconino County,,
,,
Parcel Number,Parcel Address,Parcel Size
203-17-006B,"7145 E. 4H Club Camp Rd, Williams",6.98
203-17-006D,"7203 E. 4H Club Camp Rd, Williams",6.01
402-21-002C,"4005 Forest Rd 618, Rimrock",47.71
402-21-002F,"4005 Forest Rd 618, Rimrock",2.05
,,
Graham County,,
,,
Parcel Number,Parcel Address,Parcel Size
103-32-055A,"1605 W. 25th St., Safford",0.30
106-31-035,"1830 W. State Route 386, Safford",13.93
103-16-008,"2134 S. Montierth Lane, Safford",62.80
,,
Maricopa County,,
,,
Parcel Number,Parcel Address,Parcel Size
111-44-104,"604 E. Pierce St., Phoenix",0.14
111-44-105,"705 N. 6th St., Phoenix",0.14
111-44-106,"709 N. 6th St., Phoenix",0.14
111-44-107,"713 N. 6th St., Phoenix",0.14
111-44-108,"717 N. 6th St., Phoenix",0.14
111-44-109,"721 N. 6th St., Phoenix",0.14
111-44-110,"722 N. 7th St., Phoenix",0.12
111-44-111,"718 N. 7th St., Phoenix",0.12
111-44-112,"710 N. 7th St., Phoenix",0.12
111-44-113,"710 N. 7th St., Phoenix",0.12
111-44-114,"706 N. 7th St., Phoenix",0.12
111-44-115,"626 E. Pierce St., Phoenix",0.12
111-46-151A,"425 N. 5th St., Phoenix",0.88
112-02-115,,0.16
112-02-116,,0.17
112-02-117,,0.16
112-02-118,,0.16
112-02-119,"1502 W. Washington St., Phoenix",0.16
116-33-048A,"701 E. Polk St., Phoenix",0.12
