,present_day_tribe,cession_count,cession_number,subsurface_acres,surface_acres,timber_acres,university,state
1,Apache Tribe of Oklahoma,2,"448, 688",1950752.06,1889052.21,,"Oklahoma State University, New Mexico State University, Texas A&M","NM, OK, TX"
2,"Arapaho Tribe of the Wind River Reservation, Wyoming",6,"525, 598, 599, 477, 597, 426",107246.24,86057.75,,"North Dakota State University, Colorado State University, South Dakota State University, University of Wyoming, Oklahoma State University, Montana State University","SD, OK, CO, ND, WY, MT"
3,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",11,"597, 598, 581, 632, 516, 653, 243, 599, 699, 693, 614",105218.84,48192.76,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
4,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",5,"336, 332, 242, 268, 261",29240.6,85792.34,,"University of Minnesota, University of Wisconsin","WI, MN"
5,"Bay Mills Indian Community, Michigan",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","WI, MN"
6,"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California",1,558,8324.61,1858.16,,Utah State University,UT
7,"Bishop Paiute Tribe, California",1,558,8324.61,1858.16,,Utah State University,UT
8,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,5,"399, 574, 565, 692, 398",207898.94,128369.79,,Montana State University,MT
9,"Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota",2,"482, 242",18027.53,35126.36,,"University of Minnesota, University of Wisconsin","WI, MN"
10,Bridgeport Paiute Indian Colony of California,1,558,8324.61,1858.16,,Utah State University,UT
11,Burns Paiute Tribe of the Burns Paiute Indian Colony of Oregon,1,558,8324.61,1858.16,,Utah State University,UT
12,"Cherokee Nation, Oklahoma",1,489,5921.11,1185.96,,Oklahoma State University,OK
13,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
