type,secdivid
subsurface,127069SN23
subsurface,123072SN32
subsurface,117073SN34
subsurface,126078SN21ANWSW
subsurface,010005SN15
subsurface,0040007SN009ANENE
subsurface,005N017ESN33ANENE
subsurface,118073SN34
subsurface,128068SN22
subsurface,128068SN23
subsurface,113080SN33ANWNW
subsurface,125070SN13ANESE
subsurface,0040007SN009ASWNE
subsurface,122076SN26
subsurface,112080SN04L7
subsurface,128068SN12
subsurface,121054SN30L2
subsurface,113080SN32ANWSE
subsurface,113080SN32ASWNE
subsurface,128067SN09
subsurface,121054SN30L7
subsurface,128068SN11
subsurface,125056SN25
subsurface,010005SN13
subsurface,121054SN30L5
subsurface,128068SN32ASESW
subsurface,010005SN14
subsurface,123073SN9ASENE
subsurface,017002SN11
subsurface,121054SN30L1
subsurface,128068SN28ASWSW
subsurface,125070SN28
subsurface,125055SN19ASENWE½SW
subsurface,121054SN23L3
subsurface,119053SN29L2W½NW
subsurface,125056SN15
subsurface,125056SN34
subsurface,128068SN13
subsurface,113080SN32ANESE
subsurface,0040007SN010ASWNW
subsurface,123073SN9ASWNE
subsurface,126078SN21ASWSW
subsurface,125056SN11
subsurface,Township0RangeSNSectionL
subsurface,123073SN9ANENW
subsurface,113080SN32ANENE
subsurface,125056SN26
subsurface,125056SN35
subsurface,0040007SN010ANENW
subsurface,125056SN12
subsurface,123073SN9ANENE
subsurface,125059SN16
subsurface,126069SN34
subsurface,128067SN08
subsurface,125056SN23
subsurface,121054SN30L6
subsurface,125056SN14
subsurface,128068SN32ASWSW
subsurface,126078SN21ASESW
subsurface,123073SN9ANWNW
subsurface,010005SN10
subsurface,125056SN27
subsurface,125056SN24
subsurface,123073SN9ASWNW
subsurface,017002SN10
subsurface,125056SN28
subsurface,118055SN18L5E½NW
subsurface,0040007SN009ASENE
subsurface,121054SN30L4
subsurface,113080SN32ASENE
subsurface,128068SN28ANESW
subsurface,126078SN21ANESW
subsurface,128068SN26
subsurface,0040007SN009ANWNE
subsurface,126078SN21ANWSE
subsurface,128067SN17
subsurface,0040007SN010ASENW
subsurface,010005SN12
subsurface,125055SN32
subsurface,124056SN20L2
subsurface,125056SN13
subsurface,125056SN33
subsurface,010005SN11
subsurface,125056SN32
subsurface,123073SN9ANWNE
subsurface,121054SN30L3
subsurface,125056SN22
subsurface,125056SN19L8NWNW
subsurface,125055SN09AN½SNW
subsurface,0040007SN010ANWNW
subsurface,123073SN9ASENW
subsurface,128068SN27
subsurface,113080SN32ANWNE
