,TOWNSHIP,RANGE - FINAL,RANGE,SECTION,SECTION SN,Column4,Column5,Column6,ALIQUOT/LOT,PLSS Number,FIXED PLSS NUMBER,Does it match? (McPherson),Match to SDQQ,Column7,Column8
0,112,048,48,14,SN14,NW4SE - A,NW4SE,NWSE,ANWSE,112048SN14ANWSE,112048SN14ANWSE,112048SN14ANWSE,112048SN14ANWSE,40.00,Brookings
1,127,078,78,07,SN07,"LOT 4, E2NW, E2SW - A", E2NW,E½NW,AE½NW,127078SN07AE½NW,127078SN07ANENW,,,194.34,Campbell
2,127,078,78,07,SN07,"LOT 4, E2NW, E2SW - A", E2NW,E½NW,AE½NW,127078SN07AE½NW,127078SN07ASENW,,,194.34,Campbell
3,127,078,78,07,SN07,"LOT 4, E2NW, E2SW - A", E2SW,E½SW,AE½SW,127078SN07AE½SW,127078SN07ANESW,,,194.34,Campbell
4,127,078,78,07,SN07,"LOT 4, E2NW, E2SW - A", E2SW,E½SW,AE½SW,127078SN07AE½SW,127078SN07ASESW,,,194.34,Campbell
5,127,078,78,07,SN07,"LOT 4, E2NW, E2SW - A",LOT 4,L4,L4,127078SN07L4,127078SN07L4,127078SN07L4,127078SN07L4,194.34,Campbell
6,126,078,78,21,SN21,S2 -A,S2,S½,AS½,126078SN21AS½,126078SN21ANWSW,,,320.00,Campbell
7,126,078,78,21,SN21,S2 -A,S2,S½,AS½,126078SN21AS½,126078SN21ANESW,,,320.00,Campbell
8,126,078,78,21,SN21,S2 -A,S2,S½,AS½,126078SN21AS½,126078SN21ASWSW,,,320.00,Campbell
9,126,078,78,21,SN21,S2 -A,S2,S½,AS½,126078SN21AS½,126078SN21ASESW,,,320.00,Campbell
10,126,078,78,21,SN21,S2 -A,S2,S½,AS½,126078SN21AS½,126078SN21ANWSE,,,320.00,Campbell
11,126,078,78,21,SN21,S2 -A,S2,S½,AS½,126078SN21AS½,126078SN21ANESE,,,320.00,Campbell
12,126,078,78,21,SN21,S2 -A,S2,S½,AS½,126078SN21AS½,126078SN21ASWSE,,,320.00,Campbell
13,126,078,78,21,SN21,S2 -A,S2,S½,AS½,126078SN21AS½,126078SN21ASESE,,,320.00,Campbell
14,126,078,78,22,SN22,W2 - A,W2,W½,AW½,126078SN22AW½,126078SN22ANWSW,,,320.00,Campbell
15,126,078,78,22,SN22,W2 - A,W2,W½,AW½,126078SN22AW½,126078SN22ANESW,,,320.00,Campbell
16,126,078,78,22,SN22,W2 - A,W2,W½,AW½,126078SN22AW½,126078SN22ASWSW,,,320.00,Campbell
17,126,078,78,22,SN22,W2 - A,W2,W½,AW½,126078SN22AW½,126078SN22ASESW,,,320.00,Campbell
18,126,078,78,22,SN22,W2 - A,W2,W½,AW½,126078SN22AW½,126078SN22ANWNW,,,320.00,Campbell
19,126,078,78,22,SN22,W2 - A,W2,W½,AW½,126078SN22AW½,126078SN22ANENW,,,320.00,Campbell
20,126,078,78,22,SN22,W2 - A,W2,W½,AW½,126078SN22AW½,126078SN22ASWNW,,,320.00,Campbell
21,126,078,78,22,SN22,W2 - A,W2,W½,AW½,126078SN22AW½,126078SN22ASENW,,,320.00,Campbell
22,119,059,59,14,SN14,E2 - A,E2,E½,AE½,119059SN14AE½,119059SN14ANWSE,,,320.00,Clark
23,119,059,59,14,SN14,E2 - A,E2,E½,AE½,119059SN14AE½,119059SN14ANESE,,,320.00,Clark
24,119,059,59,14,SN14,E2 - A,E2,E½,AE½,119059SN14AE½,119059SN14ASWSE,,,320.00,Clark
25,119,059,59,14,SN14,E2 - A,E2,E½,AE½,119059SN14AE½,119059SN14ASESE,,,320.00,Clark
26,119,059,59,14,SN14,E2 - A,E2,E½,AE½,119059SN14AE½,119059SN14ANWNE,,,320.00,Clark
27,119,059,59,14,SN14,E2 - A,E2,E½,AE½,119059SN14AE½,119059SN14ANENE,,,320.00,Clark
