,present_day_tribe,cession_count,cession_number,subsurface_acres,surface_acres,timber_acres,university,state
0,Apache Tribe of Oklahoma,2,"448, 688",1950752.06,1889052.21,,"Texas A&M, New Mexico State University, Oklahoma State University","TX, OK, NM"
1,"Arapaho Tribe of the Wind River Reservation, Wyoming",6,"598, 599, 426, 597, 525, 477",107190.38,86057.75,,"University of Wyoming, Colorado State University, South Dakota State University, North Dakota State University, Montana State University, Oklahoma State University","CO, ND, MT, OK, WY, SD"
2,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",11,"693, 598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,48192.76,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
3,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",5,"336, 332, 261, 268, 242",29240.6,85792.34,,"University of Minnesota, University of Wisconsin","MN, WI"
4,"Bay Mills Indian Community, Michigan",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","MN, WI"
5,"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California",1,558,8324.61,1858.16,,Utah State University,UT
6,"Bishop Paiute Tribe, California",1,558,8324.61,1858.16,,Utah State University,UT
7,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,5,"574, 565, 692, 399, 398",81145.97,128369.79,,Montana State University,MT
8,"Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota",2,"242, 482",18027.53,35126.36,,"University of Minnesota, University of Wisconsin","MN, WI"
9,Bridgeport Paiute Indian Colony of California,1,558,8324.61,1858.16,,Utah State University,UT
10,Burns Paiute Tribe of the Burns Paiute Indian Colony of Oregon,1,558,8324.61,1858.16,,Utah State University,UT
11,"Cherokee Nation, Oklahoma",1,489,5921.11,1185.96,,Oklahoma State University,OK
12,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
13,"Cheyenne and Arapaho Tribes, Oklahoma",3,"426, 525, 477",84288.05,65009.23,,"University of Wyoming, Colorado State University, Oklahoma State University","OK, WY, CO"
14,"Chickasaw Nation, Oklahoma",3,"367, 485, 368",9397.83,320.47,,Oklahoma State University,OK
15,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",2,"242, 445",21347.25,35113.4,,"University of Minnesota, North Dakota State University, University of Wisconsin","MN, WI, ND"
16,Choctaw Nation of Oklahoma,3,"367, 485, 368",9397.83,320.47,,Oklahoma State University,OK
17,"Coeur D'Alene Tribe, Idaho",2,"553, 552",29807.85,18467.85,3118.64,"University of Idaho, Washington State University","ID, WA"
18,"Comanche Nation, Oklahoma",3,"511, 510, 478",1802257.27,1596289.99,,"Texas A&M, Colorado State University, New Mexico State University, Oklahoma State University","TX, OK, CO, NM"
19,"Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana",2,"399, 373",59485.74,78377.1,,"University of Idaho, Montana State University","ID, MT"
20,"Confederated Tribes and Bands of the Yakama Nation, Washington",2,"458, 364",96746.06,86329.33,86992.15,Washington State University,WA
21,"Confederated Tribes of the Chehalis Reservation, Washington",1,458,48143.39,47091.49,47754.31,Washington State University,WA
22,"Confederated Tribes of the Colville Reservation, Washington",4,"536, 532, 533, 373",86034.21,84478.53,30911.1,"University of Idaho, Montana State University, Washington State University","ID, WA, MT"
23,Confederated Tribes of the Goshute Reservation,1,520,56310.6,27318.64,,"University of Idaho, University of Wyoming, Utah State University","UT, WY, ID"
24,"Confederated Tribes of the Umatilla Indian Reservation, Oregon",1,362,1881.61,1570.94,1570.94,Washington State University,WA
25,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
26,Crow Tribe of Montana,7,"574, 565, 714, 517, 619, 557, 635",61336.74,81670.19,,"Montana State University, University of Wyoming","WY, MT"
27,Duwamish Tribe of Indians [Unrecognized],1,347,29111.83,28874.47,28537.74,Washington State University,WA
28,Eastern Band of Cherokee Indians of North Carolina,1,489,5921.11,1185.96,,Oklahoma State University,OK
29,Flandreau Santee Sioux Tribe of South Dakota,10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
30,"Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","MN, WI"
31,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,8,"692, 574, 565, 712, 713, 529, 621, 620",39807.22,44514.8,,"Montana State University, North Dakota State University","ND, MT"
32,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",1,558,8324.61,1858.16,,Utah State University,UT
33,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",1,558,8324.61,1858.16,,Utah State University,UT
34,Fort Sill Apache Tribe of Oklahoma,2,"448, 688",1950752.06,1889052.21,,"Texas A&M, New Mexico State University, Oklahoma State University","TX, OK, NM"
35,"Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","MN, WI"
36,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","MN, WI"
37,Ho-Chunk Nation of Wisconsin,4,"361, 174, 245, 468",827.19,243.0,,"University of Minnesota, South Dakota State University, University of Wisconsin","MN, WI, SD"
38,"Jamestown S'Klallam Tribe, Washington",1,353,7335.76,6417.08,6417.08,Washington State University,WA
39,"Jena Band of Choctaw Indians, Louisiana",3,"367, 485, 368",9397.83,320.47,,Oklahoma State University,OK
40,"Jicarilla Apache Nation, New Mexico",2,"448, 688",1950752.06,1889052.21,,"Texas A&M, New Mexico State University, Oklahoma State University","TX, OK, NM"
41,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona",1,558,8324.61,1858.16,,Utah State University,UT
42,"Keweenaw Bay Indian Community, Michigan",2,"242, 398",55112.41,88303.45,,"Montana State University, University of Minnesota, University of Wisconsin","MN, WI, MT"
43,Kiowa Indian Tribe of Oklahoma,3,"511, 510, 478",1802257.27,1596289.99,,"Texas A&M, Colorado State University, New Mexico State University, Oklahoma State University","TX, OK, CO, NM"
44,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,5,"336, 332, 261, 268, 242",29240.6,85792.34,,"University of Minnesota, University of Wisconsin","MN, WI"
45,"Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan",6,"332, 336, 261, 268, 242, 398",66732.95,139376.9,,"Montana State University, University of Minnesota, University of Wisconsin","MN, WI, MT"
46,Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,5,"336, 332, 261, 268, 242",29240.6,85792.34,,"University of Minnesota, University of Wisconsin","MN, WI"
47,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
48,"Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota",7,"332, 336, 261, 268, 269, 357, 242",44980.13,93807.65,,"University of Minnesota, University of Wisconsin","MN, WI"
49,"Lone Pine Paiute-Shoshone Tribe, California",1,558,8324.61,1858.16,,Utah State University,UT
50,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
51,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
52,"Lower Elwha Tribal Community, Washington",1,353,7335.76,6417.08,6417.08,Washington State University,WA
53,Lower Sioux Indian Community in the State of Minnesota,10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
54,"Makah Indian Tribe of the Makah Indian Reservation, Washington",1,355,1701.01,1701.01,1701.01,Washington State University,WA
55,Menominee Indian Tribe of Wisconsin,4,"271, 160, 321, 219",118.98,119.55,,"University of Minnesota, University of Wisconsin","MN, WI"
56,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",3,"644, 448, 688",1952422.92,1889423.84,,"Texas A&M, New Mexico State University, Oklahoma State University","TX, OK, NM"
57,"Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota",6,"332, 336, 261, 268, 357, 242",44861.15,93807.65,,"University of Minnesota, University of Wisconsin","MN, WI"
58,"Minnesota Chippewa Tribe, Minnesota",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","MN, WI"
59,"Mississippi Band of Choctaw Indians, Mississippi",3,"367, 485, 368",9397.83,320.47,,Oklahoma State University,OK
60,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
61,"Muscogee (Creek) Nation, Oklahoma",1,698,934.29,641.72,,Oklahoma State University,OK
62,"Navajo Nation, Arizona, New Mexico & Utah",1,519,20045.12,20278.19,,"University of Arizona, New Mexico State University","AZ, NM"
63,Nez Perce Tribe of Idaho,6,"659, 642, 618, 441, 399, 366",135512.61,136458.23,3173.18,"University of Idaho, Montana State University, Washington State University","ID, WA, MT"
64,"Nisqually Indian Tribe of the Nisqually Reservation, Washington",1,345,1282.5,1898.29,1898.29,Washington State University,WA
65,Nonfederally Recognized Indian Groups,1,345,1282.5,1898.29,1898.29,Washington State University,WA
66,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",5,"598, 599, 426, 597, 477",100433.08,85209.7,,"University of Wyoming, Colorado State University, South Dakota State University, North Dakota State University, Montana State University","CO, ND, MT, WY, SD"
67,Northwestern Band of Shoshoni Nation of Utah (Washakie),1,444,75371.4,26426.26,,"University of Idaho, Utah State University","UT, ID"
68,"Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota",10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
69,Paiute Indian Tribe of Utah,1,558,8324.61,1858.16,,Utah State University,UT
70,"Paiute-Shoshone Indians of the Bishop Community of the Bishop Colony, California",1,558,8324.61,1858.16,,Utah State University,UT
71,"Paiute-Shoshone Indians of the Lone Pine Community of the Lone Pine Reservation, California",1,558,8324.61,1858.16,,Utah State University,UT
72,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
73,Pawnee Nation of Oklahoma,1,591,320.08,,,Oklahoma State University,OK
74,"Poarch Band of Creeks, Alabama",1,698,934.29,641.72,,Oklahoma State University,OK
